gene,resTime,Z_resTime,,
iYLR264W,74.19697724,4.613862316,,
iYAL034C,54.81350855,5.766840306,,
iYLR286C,51.93120735,3.119633126,,
iYMR229C,76.67111206,4.417597816,,
iYiL122W,45.2347007,4.335681127,,
iYPL190C,57.15731304,4.217133362,,
iYGR085C,102.8572298,3.962334743,,
iYDL192W,100.3412204,4.534295654,,
iYOL053C-A,48.22172271,3.615954451,,
iYBR117C,89.82532388,5.128626397,,
iYMR265C,42.21291231,3.946610896,,
iYPL017C,63.86554922,4.222337149,,
YLR184W,92.41423312,3.837345924,,
iYGL116W,54.32199362,2.576992123,,
iYNL217W,51.55304582,4.148839966,,
iYPR029C,55.79345886,3.498639212,,
iYOR354C-1,67.11261658,4.487566209,,
iYLR441C,106.9053821,4.226790442,,
iYGR258C-0,68.93498617,2.518607809,,
iLSR1,73.94757442,2.930818628,,
iYJL134W,50.95515437,3.162853964,,
iYDR449C,110.2386093,4.493401774,,
iYOR161C,54.81691589,3.677673202,,
iYBR181C,94.48255871,5.418539026,,
YOR183W,135.8870311,4.788871648,,
iYKL063C-1,44.71015391,5.068887907,,
iYHR096C,54.03665717,4.072840644,,
iYDR447C,89.3974771,3.520316062,,
iYGR033C,74.74200182,4.073458027,,
iYGR027C,99.01868522,4.382817052,,
iYLR287C-A,88.99539858,6.08219473,,
iYLR060W,87.48800758,3.691250483,,
iYOL120C,81.34505678,4.549945536,,
iYDR040C,64.74196572,4.013967327,,
iYML073C,85.56407431,4.754562981,,
YFL015C,65.20584703,3.595795427,,
iYDL137W,74.02183111,4.583171886,,
iYDR405W,40.88293067,3.33746796,,
iYKL176C,33.40477278,2.820828413,,
iYKL200C,62.26365495,5.548452331,,
iYOR312C,77.97964108,3.231199516,,
iYMR015C,49.00744247,3.567994712,,
iYLR166C,89.44631834,3.991830236,,
iYPL090C,102.0334658,4.139860022,,
iYJL090C,57.29790856,2.122724479,,
iYPL145C,42.2695252,4.084458204,,
iYDL184C,85.76873661,5.70292629,,
iYBR047W,102.8057752,4.635242413,,
