"","cluster","TF","overlap","TFtargetYes_clusterNo","clusterYes_TFtargetNo","neither","p","FDR","logFDR"
"1","1","Aap1",0,13,99,1317,1,1,0
"2","1","Abf1",9,242,90,1235,0.985487953908902,1,0
"3","1","Ace2",0,25,99,1316,1,1,0
"4","1","Aco1",0,3,99,1318,1,1,0
"5","1","Acs2",6,79,93,1312,0.502949776061175,1,0
"6","1","Ada1",0,42,99,1314,1,1,0
"7","1","Ada2",21,128,78,1305,0.000294320222590046,0.0429830158407547,1.36670311613522
"8","1","Ade12",0,2,99,1318,1,1,0
"9","1","Adr1",0,6,99,1318,1,1,0
"10","1","Aft2",0,11,99,1316,1,1,0
"11","1","Ahc1",0,7,99,1318,1,1,0
"12","1","Aor1",0,33,99,1310,1,1,0
"13","1","Apc5",0,18,99,1316,1,1,0
"14","1","Arg81",0,2,99,1317,1,1,0
"15","1","Arg82",0,23,99,1316,1,1,0
"16","1","Aro3",0,1,99,1318,1,1,0
"17","1","Aro4",0,3,99,1318,1,1,0
"18","1","Aro80",0,2,99,1318,1,1,0
"19","1","Aro9",0,5,99,1318,1,1,0
"20","1","Arp4",0,1,99,1318,1,1,0
"21","1","Arp5",0,2,99,1318,1,1,0
"22","1","Arp6",0,10,99,1318,1,1,0
"23","1","Arp7",1,77,98,1302,0.996148173498422,1,0
"24","1","Arp8",0,5,99,1318,1,1,0
"25","1","Arr1",0,1,99,1317,1,1,0
"26","1","Arx1",0,7,99,1318,1,1,0
"27","1","Asf1",0,2,99,1318,1,1,0
"28","1","Asf2",0,25,99,1317,1,1,0
"29","1","Asg1",1,105,98,1310,0.999411868350576,1,0
"30","1","Ash1",0,35,99,1314,1,1,0
"31","1","Ask10",0,7,99,1318,1,1,0
"32","1","Azf1",0,17,99,1317,1,1,0
"33","1","Bas1",1,40,98,1312,0.947112336590158,1,0
"34","1","Bcy1",0,60,99,1318,1,1,0
"35","1","Bdf1",54,580,45,1093,6.7213742924659e-05,0.0117792084475465,1.92888389277581
"36","1","Bdf2",50,221,49,1255,2.65234255509268e-15,1.03294007284443e-12,11.985924873822
"37","1","Bdp1",0,16,99,1317,1,1,0
"38","1","Bem4",0,5,99,1318,1,1,0
"39","1","Bim1",0,2,99,1318,1,1,0
"40","1","Bmh1",0,3,99,1318,1,1,0
"41","1","Bre1",0,46,99,1318,1,1,0
"42","1","Bre2",0,20,99,1318,1,1,0
"43","1","Brf1",0,9,99,1318,1,1,0
"44","1","Brn1",0,20,99,1315,1,1,0
"45","1","Bud22",0,1,99,1318,1,1,0
"46","1","Bud6",0,5,99,1318,1,1,0
"47","1","Bur2",14,237,85,1293,0.684856161746774,1,0
