"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular biosynthetic process","GO:0044249","0.00006849500478661422","4.164341099642062","2070","151","79","6539","YBR036C,YDR463W,YJL055W,YER120W,YNR046W,YLR204W,YLR203C,YAL009W,YBR126C,YFL021W,YPR106W,YJR066W,YJL183W,YMR149W,YMR116C,YDR174W,YMR024W,YMR230W,YOR025W,YOL061W,YHR208W,YDR418W,YGL147C,YDR447C,YLR193C,YCR053W,YLR438C-A,YDR091C,YER056C-A,YLR056W,YCL005W,YIL094C,YML126C,YIL035C,YPL028W,YOR359W,YHR064C,YLR060W,YBR079C,YMR309C,YJL063C,YJL062W-A,YAL043C,YPR023C,YDL208W,YNL248C,YNL247W,YMR236W,YLR095C,YDR429C,YOL004W,YML022W,YNR022C,YDL131W,YGR063C,YOR172W,YLR375W,YLR208W,YGL022W,YNL071W,YDR462W,YLR291C,YDR392W,YER130C,YLR357W,YKR006C,YBR205W,YMR202W,YPL015C,YOL067C,YHR190W,YGR200C,YGL220W,YBL006C,YHR101C,YPL128C,YER088C,YKR048C,YGL026C"
"GO:BP","biosynthetic process","GO:0009058","0.00011270354171496661","3.948062436011586","2131","151","80","6539","YBR036C,YDR463W,YJL055W,YER120W,YNR046W,YLR204W,YLR203C,YAL009W,YBR126C,YFL021W,YPR106W,YJR066W,YJL183W,YDR511W,YMR149W,YMR116C,YDR174W,YMR024W,YMR230W,YOR025W,YOL061W,YHR208W,YDR418W,YGL147C,YDR447C,YLR193C,YCR053W,YLR438C-A,YDR091C,YER056C-A,YLR056W,YCL005W,YIL094C,YML126C,YIL035C,YPL028W,YOR359W,YHR064C,YLR060W,YBR079C,YMR309C,YJL063C,YJL062W-A,YAL043C,YPR023C,YDL208W,YNL248C,YNL247W,YMR236W,YLR095C,YDR429C,YOL004W,YML022W,YNR022C,YDL131W,YGR063C,YOR172W,YLR375W,YLR208W,YGL022W,YNL071W,YDR462W,YLR291C,YDR392W,YER130C,YLR357W,YKR006C,YBR205W,YMR202W,YPL015C,YOL067C,YHR190W,YGR200C,YGL220W,YBL006C,YHR101C,YPL128C,YER088C,YKR048C,YGL026C"
"GO:BP","organic substance biosynthetic process","GO:1901576","0.00018970179099533297","3.721928568870333","2115","151","79","6539","YBR036C,YDR463W,YER120W,YNR046W,YLR204W,YLR203C,YAL009W,YBR126C,YFL021W,YPR106W,YJR066W,YJL183W,YDR511W,YMR149W,YMR116C,YDR174W,YMR024W,YMR230W,YOR025W,YOL061W,YHR208W,YDR418W,YGL147C,YDR447C,YLR193C,YCR053W,YLR438C-A,YDR091C,YER056C-A,YLR056W,YCL005W,YIL094C,YML126C,YIL035C,YPL028W,YOR359W,YHR064C,YLR060W,YBR079C,YMR309C,YJL063C,YJL062W-A,YAL043C,YPR023C,YDL208W,YNL248C,YNL247W,YMR236W,YLR095C,YDR429C,YOL004W,YML022W,YNR022C,YDL131W,YGR063C,YOR172W,YLR375W,YLR208W,YGL022W,YNL071W,YDR462W,YLR291C,YDR392W,YER130C,YLR357W,YKR006C,YBR205W,YMR202W,YPL015C,YOL067C,YHR190W,YGR200C,YGL220W,YBL006C,YHR101C,YPL128C,YER088C,YKR048C,YGL026C"
"GO:BP","macromolecule biosynthetic process","GO:0009059","0.010476536881675793","1.9797822537772811","1541","151","59","6539","YDR463W,YNR046W,YLR204W,YLR203C,YFL021W,YJR066W,YJL183W,YMR149W,YMR116C,YDR174W,YMR024W,YMR230W,YOR025W,YDR418W,YGL147C,YDR447C,YLR438C-A,YDR091C,YER056C-A,YCL005W,YIL035C,YOR359W,YHR064C,YLR060W,YBR079C,YMR309C,YJL063C,YJL062W-A,YAL043C,YPR023C,YDL208W,YNL248C,YNL247W,YMR236W,YLR095C,YDR429C,YOL004W,YNR022C,YGR063C,YOR172W,YLR375W,YLR208W,YGL022W,YDR462W,YLR291C,YDR392W,YER130C,YLR357W,YKR006C,YBR205W,YPL015C,YOL067C,YGR200C,YGL220W,YBL006C,YHR101C,YPL128C,YER088C,YKR048C"
"GO:BP","gene expression","GO:0010467","0.04443167873061469","1.3523072778086553","1841","151","65","6539","YDR463W,YML117W,YER120W,YNR046W,YLR204W,YLR203C,YFL021W,YJR066W,YMR116C,YDR174W,YMR024W,YPL183C,YMR230W,YOR025W,YKL012W,YDR418W,YGL147C,YDR447C,YLR438C-A,YDR091C,YER056C-A,YIL035C,YOR359W,YHR064C,YLR060W,YLR059C,YBR079C,YMR309C,YJL063C,YJL062W-A,YBR175W,YAL043C,YJL076W,YPR023C,YDL208W,YNL248C,YNL247W,YMR235C,YMR236W,YLR095C,YOR310C,YDR429C,YOL004W,YNR022C,YGR063C,YKL195W,YOR172W,YLR375W,YLR066W,YLR208W,YDR462W,YLR291C,YDR392W,YER130C,YLR357W,YKR006C,YPL015C,YOL067C,YGR200C,YGL220W,YBL006C,YER032W,YPL128C,YER088C,YKR048C"
"GO:CC","eukaryotic translation initiation factor 3 complex","GO:0005852","0.0028999199474835004","2.537613990668643","8","151","4","6566","YDR091C,YBR079C,YMR309C,YDR429C"
"GO:CC","intracellular organelle","GO:0043229","0.0038071929904966283","2.4193951077973","4668","151","129","6566","YMR195W,YIL105C,YBR036C,YDR463W,YJL055W,YML117W,YER120W,YER119C,YOR332W,YNR046W,YLR204W,YLR203C,YHR199C-A,YAL010C,YAL009W,YIL155C,YBR126W-A,YAR019C,YFL021W,YOR215C,YJR066W,YJR065C,YJL183W,YDR511W,YOR382W,YAL041W,YMR149W,YMR116C,YDR174W,YHR116W,YKL213C,YLR008C,YMR024W,YPL183C,YLR130C,YMR230W,YFL038C,YOR025W,YOL062C,YHR208W,YKL012W,YKL013C,YDR418W,YGL147C,YDR447C,YLR193C,YDL167C,YCR053W,YLR438C-A,YDR091C,YER056C-A,YHR183W,YLR056W,YCL005W,YIL094C,YML126C,YIL035C,YPL028W,YGR167W,YOR359W,YHR064C,YLR059C,YBR079C,YJL123C,YKL063C,YHR163W,YMR309C,YJL063C,YJL062W-A,YBR175W,YBR173C,YAL043C,YAL042W,YJL076W,YPR023C,YDL208W,YNL248C,YNL247W,YMR235C,YMR236W,YLR095C,YOR310C,YDR429C,YOL004W,YML022W,YNR022C,YDL131W,YGR063C,YIR011C,YKL196C,YKL195W,YOR172W,YLR375W,YLR066W,YLR208W,YGL022W,YNL071W,YDR462W,YLR291C,YDR392W,YER130C,YMR027W,YLR357W,YIL041W,YIL042C,YKR007W,YKR006C,YBR205W,YJL051W,YMR202W,YDR476C,YFL066C,YPL015C,YOL067C,YGL247W,YHR190W,YGR200C,YGL220W,YFR004W,YBL006C,YDL226C,YHR101C,YLR437C,YER031C,YPL128C,YEL065W,YER088C,YKR048C,YGL026C"
"GO:CC","organelle","GO:0043226","0.003937462469273316","2.404783572749056","4670","151","129","6566","YMR195W,YIL105C,YBR036C,YDR463W,YJL055W,YML117W,YER120W,YER119C,YOR332W,YNR046W,YLR204W,YLR203C,YHR199C-A,YAL010C,YAL009W,YIL155C,YBR126W-A,YAR019C,YFL021W,YOR215C,YJR066W,YJR065C,YJL183W,YDR511W,YOR382W,YAL041W,YMR149W,YMR116C,YDR174W,YHR116W,YKL213C,YLR008C,YMR024W,YPL183C,YLR130C,YMR230W,YFL038C,YOR025W,YOL062C,YHR208W,YKL012W,YKL013C,YDR418W,YGL147C,YDR447C,YLR193C,YDL167C,YCR053W,YLR438C-A,YDR091C,YER056C-A,YHR183W,YLR056W,YCL005W,YIL094C,YML126C,YIL035C,YPL028W,YGR167W,YOR359W,YHR064C,YLR059C,YBR079C,YJL123C,YKL063C,YHR163W,YMR309C,YJL063C,YJL062W-A,YBR175W,YBR173C,YAL043C,YAL042W,YJL076W,YPR023C,YDL208W,YNL248C,YNL247W,YMR235C,YMR236W,YLR095C,YOR310C,YDR429C,YOL004W,YML022W,YNR022C,YDL131W,YGR063C,YIR011C,YKL196C,YKL195W,YOR172W,YLR375W,YLR066W,YLR208W,YGL022W,YNL071W,YDR462W,YLR291C,YDR392W,YER130C,YMR027W,YLR357W,YIL041W,YIL042C,YKR007W,YKR006C,YBR205W,YJL051W,YMR202W,YDR476C,YFL066C,YPL015C,YOL067C,YGL247W,YHR190W,YGR200C,YGL220W,YFR004W,YBL006C,YDL226C,YHR101C,YLR437C,YER031C,YPL128C,YEL065W,YER088C,YKR048C,YGL026C"
"TF","Factor: Abf1p; motif: YCGTNNNNNRTGAYNN","TF:M01901","0.0011705135391321632","2.931623558527475","696","151","34","6599","YPR036W-A,YDR463W,YJL055W,YOR332W,YJL183W,YAL041W,YHR116W,YFL038C,YDR188W,YCR053W,YLR438C-A,YLR056W,YIL035C,YPL028W,YGR167W,YHR064C,YLR060W,YLR059C,YJL063C,YJL062W-A,YAL043C,YAL042W,YJL076W,YPR023C,YMR235C,YMR236W,YLR095C,YDR429C,YDL131W,YGR063C,YGL022W,YNL071W,YDR462W,YKR006C"
"TF","Factor: STRE; motif: MAGGGGN; match class: 1","TF:M00308_1","0.010899738652373602","1.9625839151963242","5","151","3","6599","YBR126C,YBR126W-A,YPL015C"
