"","TF","overlap","TFtargetYes_longTFFIFno","longTFFIFyes_TFtargetNo","neither","p","FDR","logFDR"
"1","Abf1",36,107,432,2289,0.00362430291313527,0.0282292926900869,1.54930000334938
"2","Acs2",21,16,447,2380,1.96438872078824e-08,1.93948801869374e-07,6.71231289893645
"3","Ada2",49,38,419,2358,5.05208963491729e-18,6.94414673348435e-17,16.1583811108631
"4","Bdf1",186,247,282,2149,1.96576112668143e-48,5.29999442232184e-47,46.2757245874475
"5","Bdf2",122,73,346,2323,1.23666946396881e-52,3.61210539267555e-51,50.4422395864899
"6","Bur2",45,77,423,2319,1.55217854686385e-08,1.57692342224863e-07,6.80218939614627
"7","Bur6",118,147,350,2249,1.29145689697981e-30,2.38239811784959e-29,28.6229856626946
"8","Cbc2",27,43,441,2353,5.04337154099128e-06,4.77757223004715e-05,4.32079273831298
"9","Ccl1",232,253,236,2143,5.73312839619245e-76,5.02365375716363e-74,73.298980300906
"10","Cet1",355,991,113,1405,7.67137822118231e-44,1.85435728725821e-42,41.7318065846817
"11","CTDSer5",223,235,245,2161,3.73395151841571e-74,2.61750001440941e-72,71.5821133072583
"12","CTDSer7",201,207,267,2189,2.77011115153205e-66,1.14226348071998e-64,63.9422337078026
"13","Ctk1",6,5,462,2391,0.0040823728718165,0.0305640440550566,1.51478918299563
"14","Ctr9",9,11,459,2385,0.00237720878073724,0.0196049806505507,1.70763358199745
"15","Dat1",16,27,452,2369,0.000716168461451506,0.00635486191743678,2.19689388163976
"16","Dbp2",6,5,462,2391,0.0040823728718165,0.0305640440550566,1.51478918299563
"17","Dst1",25,18,443,2378,4.04342545994412e-10,4.42881444909505e-09,8.35371251466268
"18","Eaf6",9,2,459,2394,3.13341117210997e-06,3.00893319403985e-05,4.52158745459356
"19","Elf1",26,25,442,2371,8.23930356077295e-09,8.62052506880871e-08,7.06446628086422
"20","Esa1",22,30,446,2366,6.67276199445918e-06,6.23680821082118e-05,4.20503761080901
"21","Fhl1",50,33,418,2363,3.79438002191934e-20,5.42828652115399e-19,18.2653372370491
"22","God1",27,21,441,2375,2.21673831345034e-10,2.46656120274395e-09,8.60790810392606
"23","H2BK123ub",6,4,462,2392,0.00214965403082739,0.0179393747096429,1.74619269868793
"24","Hda1",11,18,457,2378,0.0040984595451859,0.0305640440550566,1.51478918299563
"25","Hmo1",38,5,430,2391,1.49874021236366e-25,2.38776565651574e-24,23.6220082985963
"26","Ifh1",42,17,426,2379,3.37254479010543e-21,5.03011467630618e-20,19.298422113807
"27","Iws1",19,36,449,2360,0.000685465916884671,0.00616040522738659,2.21039071929181
"28","Kin28",348,927,120,1469,1.71953393316601e-46,4.30497602553349e-45,44.3660292627951
"29","Leo1",19,24,449,2372,1.35280064109592e-05,0.000124778059132664,3.90386177391106
"30","Lys20",14,22,454,2374,0.000924434873282271,0.00800035612556632,2.09689068051731
"31","Mot1",90,139,378,2257,1.7403719416556e-18,2.44000146220115e-17,16.6126099134048
"32","Nab2",6,5,462,2391,0.0040823728718165,0.0305640440550566,1.51478918299563
"33","Ncb2",88,83,380,2313,2.92379751592482e-28,4.9989806308861e-27,26.3011185459671
"34","Nhp6a",31,25,437,2371,1.68434139118492e-11,1.90439244390424e-10,9.72024355035296
"35","Nrd1",95,211,373,2185,7.54168588536853e-12,8.6667570584317e-11,10.0621433771596
"36","Paf1",9,12,459,2384,0.00356904111201302,0.0281112114552936,1.55112043802784
"37","Pob3",79,64,389,2332,4.41982960862204e-28,7.37690608486679e-27,26.1321257454943
"38","Rad3",349,968,119,1428,7.25331350498806e-43,1.69485758899888e-41,40.7708667876735
"39","Rap1",18,25,450,2371,5.57151832110721e-05,0.000507225239363137,3.29479914423631
"40","RPB11",117,152,351,2244,3.7266070677661e-29,6.69833731924111e-28,27.1740329857606
"41","Rpb2",168,184,300,2212,6.17945809374255e-51,1.73272004948541e-49,48.7612715993085
"42","Rpb3",169,348,299,2048,4.22315625197714e-25,6.57873896141327e-24,23.1818573456847
"43","Rpb4",126,168,342,2228,8.253651823846e-31,1.60716942458779e-29,28.7939383383673
"44","Rpb7",156,197,312,2199,2.89126562355319e-41,6.53799097455093e-40,39.1845556832823
"45","Rpb9",125,142,343,2254,2.20887800143264e-35,4.69219236061904e-34,33.3286241919011
"46","Rpo21",67,62,401,2334,9.21232165528536e-22,1.40387771312066e-20,19.8526707204326
"47","Rsc1",22,56,446,2340,0.00524045238355888,0.0386690223249977,1.41263680812415
"48","Rvb1",83,136,385,2260,6.55413654907421e-16,8.20437450160896e-15,14.0859545237949
"49","Sen1",62,72,406,2324,6.63687867660822e-17,8.45900354964066e-16,15.0726807927979
"50","Set3",10,14,458,2382,0.00275274436771123,0.0221801586409836,1.6540353519354
"51","Sfp1",19,9,449,2387,1.32459262458245e-09,1.42852219974199e-08,7.84511300613841
"52","Sgf11",43,42,425,2354,1.10600035897177e-13,1.31407839260884e-12,11.8813787257489
"53","Sgf29",75,37,393,2359,1.0890872354988e-34,2.24544162377841e-33,32.6486982310936
"54","Sgf73",61,53,407,2343,1.00676502826917e-20,1.47029642670144e-19,18.8325950982433
"55","Shg1",10,14,458,2382,0.00275274436771123,0.0221801586409836,1.6540353519354
"56","Spp1",10,13,458,2383,0.00187444637821912,0.0158311676039952,1.800487053219
"57","Spt15",284,450,184,1946,4.69430505463382e-71,2.35050560235593e-69,68.6288387093473
"58","Spt16",93,158,375,2238,4.5164874867954e-17,5.86306986711773e-16,15.2318749305256
"59","Spt4",55,108,413,2288,1.45501532354278e-08,1.49994962029925e-07,6.82392332760664
"60","Spt5",106,198,362,2198,3.01010491465341e-17,3.98128970787177e-16,15.3999762188107
"61","Spt6",84,142,384,2254,1.66689474994445e-15,2.04998810475625e-14,13.6882486589704
"62","Spt7",57,108,411,2288,2.82189127624531e-09,2.99719058279994e-08,7.523285640629
"63","Ssl1",346,797,122,1599,3.71645475314413e-60,1.30261739097702e-58,57.8851831279469
"64","Ssl2",384,1249,84,1147,8.98655677309907e-36,1.96861759310702e-34,33.7058386380177
