TF,label1,label2
Abf1,BAF1,
Acs2,Other,Acetylation
Ada2,SAGA,"SLIK, ADA"
Bdf1,TFIID,
Bdf2,TFIID,
Bur2,Pol II elongation,
Bur6,NC2,TBP
Cbc2,Other,"mRNA transport, telomere elongation"
Ccl1,TFIIH,
Cet1,Pol II pausing,
CTDSer5,Pol II,
CTDSer7,Pol II,
Ctk1,Other,transcription and translation regulation
Ctr9,Pol II elongation,
Dat1,Transcription repression,
Dbp2,Other,"transcription termination, mRNA decay, rRNA processing"
Dst1,RP regulation,
Eaf6,NUA4,
Elf1,Pol II elongation,
Esa1,NUA4,
Fhl1,RP regulation,
God1,"SWR1, NUA4",
H2BK123ub,Nucleosomes,
Hda1,Deacetylation,
Hmo1,RP regulation,
Ifh1,RP regulation,
Iws1,Transcription regulation,
Kin28,TFIIH,
Leo1,PAF1,
Lys20,Other,"DNA repair, lysine biosynthesis"
Mot1,SNF/SWI,
Nab2,Other,"mRNA transport, Pol III transcription regulation"
Ncb2,NC2,
Nhp6a,Chromatin remodeler,
Nrd1,NRD1,
Paf1,PAF1,
Pob3,FACT,
Rad3,TFIIH,NEF3
Rap1,Transcription regulation,
RPB11,Pol II,
Rpb2,Pol II,
Rpb3,Pol II,
Rpb4,Pol II,
Rpb7,Pol II,
Rpb9,Pol II,
Rpo21,Pol II,
Rsc1,Chromatin remodeler,
Rvb1,SWR1,
Sen1,NRD1,
Set3,Deacetylation,
Sfp1,RP regulation,
Sgf11,SAGA,
Sgf29,SAGA,
Sgf73,SAGA,
Shg1,COMPASS,
Spp1,COMPASS,
Spt15,TBP,
Spt16,FACT,
Spt4,Transcription regulation,
Spt5,Pol II elongation,
Spt6,Chromatin remodeler,
Spt7,SAGA,
Ssl1,TFIIH,
Ssl2,TFIIH,
Stb3,rRNA binding,
Sua7,TFIIB,
Sub1,Pol II elongation,
Swc7,SWR1,
Swr1,SWR1,
Taf1,"TFIID, SAGA",
Taf10,"TFIID, SAGA",
Taf11,TFIID,
Taf12,"TFIID, SAGA",
Taf13,TFIID,
Taf14,TFIID,"TFIIF, INO80, SNF/SWI"
Taf2,TFIID,
Taf3,TFIID,
Taf4,TFIID,
Taf5,"TFIID, SAGA",
Taf6,"TFIID, SAGA",
TAF7,TFIID,
Taf8,TFIID,
Taf9,"TFIID, SAGA",
TFA1,TFIIE,
Tfa2,TFIIE,
Tfb1,TFIIH,
Tfb2,TFIIH,
Tfb3,TFIIH,
Tfb4,TFIIH,
Tfg1,TFIIF,
TOA1,TFIIA,
Vps71,SWR1,
Ydr1,NA,
Yng2,NUA4,
Yta7,Histone gene expression,
