,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YDL246C,5,96,0,2,4,17,2,27,31,0,4,7,7,0,15,5,10,2,4,11,2,24,9,6
YDL243C,20,2785,16,814,8,419,9,607,54,12,30,17,31,5,22,6,25,184,39,164,26,735,45,189
YDR387C,83,1811,40,448,34,298,35,383,123,14,145,27,65,12,148,6,97,146,98,88,139,476,148,97
YDR438W,38,787,12,199,16,130,11,145,86,7,58,8,47,1,99,3,56,63,55,43,77,247,69,48
YDR523C,0,38,2,10,1,3,2,8,4,0,4,1,1,0,0,2,1,2,3,1,6,6,9,6
YDR492W,21,1807,50,412,29,191,24,279,25,4,34,11,12,0,17,4,12,16,22,31,15,60,7,18
YDR018C,10,298,7,76,3,34,4,40,45,4,17,8,8,2,6,0,8,2,6,6,7,30,10,5
YDL189W,25,1448,19,424,8,167,27,483,47,3,94,21,35,1,109,7,17,64,69,87,33,304,139,131
YDR508C,188,12126,264,2295,309,3244,284,4044,435,54,259,60,296,37,523,54,173,316,182,227,325,2989,349,691
YDR462W,22,1360,50,354,13,203,24,323,58,3,13,8,23,2,17,2,17,19,19,8,17,138,15,12
YDR175C,135,4294,114,1161,68,730,76,1168,441,71,276,203,143,72,325,97,156,231,210,287,219,1066,271,308
YDR186C,36,4736,174,889,142,765,201,1129,100,16,71,8,84,4,113,9,48,68,62,87,81,519,107,135
YDR150W,228,27011,1132,4867,580,3320,921,5290,846,120,621,200,317,43,663,74,354,403,502,444,689,3602,751,750
YDR243C,42,2122,39,452,29,278,30,450,82,6,80,3,60,0,105,3,58,67,48,73,92,479,105,74
YDL182W,6,1388,49,219,31,337,69,560,18,1,14,5,13,10,19,14,2,8,4,6,9,114,23,33
YDR362C,45,2264,31,385,32,337,49,498,127,1,98,6,91,5,110,7,46,88,100,62,92,434,136,149
YDR232W,260,11837,629,2500,357,2037,486,2730,591,204,316,262,226,106,379,170,306,367,285,210,313,1514,256,342
YDR158W,1473,14977,539,3833,536,3172,410,4192,3212,1153,1961,2246,1742,1374,2621,2284,1477,2164,1745,1715,2400,12211,2614,2674
YDR439W,10,786,15,173,3,133,16,196,28,4,6,5,11,0,26,1,12,15,9,8,21,79,18,32
YDL206W,38,1001,30,203,35,203,52,240,72,5,73,18,41,9,94,4,52,70,49,35,71,298,73,58
YDR125C,39,874,37,222,9,131,24,147,56,2,65,9,21,4,66,6,25,38,46,38,32,159,59,49
YDR338C,39,2642,46,624,35,384,31,497,120,4,91,5,51,4,78,2,67,110,100,74,113,581,108,99
YDR533C,32,6594,40,1863,17,775,9,1324,168,53,72,74,37,16,43,31,49,181,56,178,53,772,60,177
YDR272W,543,4395,147,1075,106,821,85,1093,1246,279,705,646,375,131,611,260,759,918,652,619,573,2797,656,581
YDR197W,10,1434,28,391,23,220,21,400,68,9,11,6,10,0,15,5,6,9,7,8,9,74,15,28
YDR512C,27,889,82,245,12,122,22,196,126,71,113,146,29,22,106,90,37,112,114,112,56,392,108,100
YDR489W,0,444,6,120,6,73,14,79,15,0,4,0,8,0,9,0,6,5,3,2,2,47,8,10
YDR299W,63,6276,116,1430,65,836,94,1550,166,2,128,21,90,4,178,21,54,151,106,172,163,1037,171,259
YDL015C,259,7487,271,1692,138,1523,125,1579,723,218,411,374,313,145,500,233,196,482,293,331,451,2561,452,490
YDR304C,629,4919,222,1031,121,899,114,1101,1957,652,960,1114,553,440,925,640,846,1075,735,699,767,3974,852,775
YDL181W,65,5101,396,1317,176,1114,197,1552,256,87,182,179,85,54,172,139,76,105,125,142,120,967,151,224
YDR367W,54,3005,52,756,47,646,43,868,305,48,176,128,114,46,233,56,102,155,99,144,139,830,124,186
YDR085C,49,2912,56,561,14,205,32,323,134,29,84,29,26,4,64,10,69,77,55,63,60,197,73,45
YDL097C,85,11399,173,2299,114,1735,126,2476,420,103,188,157,155,39,241,75,81,143,112,118,134,755,112,259
YDL139C,2,253,10,56,4,49,3,93,10,1,5,0,3,0,2,1,3,6,2,2,2,15,5,6
YDR200C,54,1854,47,438,31,249,32,449,41,16,57,15,26,4,58,7,37,45,58,33,20,180,41,60
YDR191W,16,667,11,176,7,90,3,137,49,3,33,1,12,0,22,0,29,44,28,31,31,127,21,44
YDR451C,16,1093,19,211,4,130,16,203,27,1,37,4,20,1,30,3,18,18,14,15,21,111,13,33
YDR469W,69,1215,26,328,11,212,42,297,64,4,131,81,54,12,156,39,77,118,129,143,85,500,143,153
YDR470C,32,2524,61,509,47,382,35,559,114,35,82,50,37,10,66,13,28,59,46,45,50,277,31,87
YDR105C,222,3313,57,702,34,511,29,526,420,28,249,57,190,9,231,14,198,185,203,193,216,801,263,213
YDR483W,115,5677,261,1449,137,982,187,1488,261,76,189,148,66,45,139,110,116,136,131,102,89,564,88,166
YDL123W,1,226,2,52,5,38,10,34,3,0,2,0,0,0,8,0,3,1,0,1,2,21,3,1
YDL199C,7,431,18,93,6,60,8,77,20,4,17,4,6,0,6,3,17,6,13,9,7,49,9,5
YDR505C,301,10440,232,2263,209,1679,201,2013,546,37,709,74,367,24,707,44,355,489,527,448,593,2748,644,503
YDL045W-A,30,1016,29,260,15,176,22,324,25,12,37,17,15,1,31,6,29,33,22,26,24,106,38,30
YDL045C,45,2677,37,523,36,351,30,470,242,11,90,12,54,7,115,5,73,119,104,116,85,504,123,134
YDR361C,248,4519,76,1129,63,861,57,1185,315,91,349,198,314,110,535,146,244,533,269,404,449,2360,521,459
YDR266C,55,3575,57,723,42,499,71,725,95,13,64,23,35,6,64,16,50,52,52,58,48,288,41,62
YDL242W,0,91,0,26,0,16,3,20,5,0,0,0,0,0,1,1,1,0,0,1,0,15,1,3
YDR002W,860,8052,298,2242,196,1572,229,2637,1845,654,1488,1964,970,787,2049,1696,1395,1931,1451,1733,1633,8794,2196,2163
YDR214W,133,16794,318,4113,152,2636,151,3837,667,152,354,338,193,97,321,152,223,598,342,514,324,3510,316,606
YDR130C,39,1625,23,409,16,269,29,413,140,2,63,12,43,1,93,0,51,76,55,72,55,434,92,108
YDL176W,13,1204,19,202,17,104,21,237,52,0,47,7,25,3,40,5,27,28,38,39,22,197,36,57
YDR358W,62,2367,58,594,40,393,38,549,170,13,174,32,92,5,181,18,85,99,136,90,117,529,139,127
YDR460W,54,1986,46,461,23,332,41,541,132,11,106,12,83,10,156,6,93,141,103,101,126,651,147,135
snR84,7580,6476,943,2021,855,1594,616,2163,35223,9356,11403,14349,7508,8194,12265,14913,11286,13859,10991,10322,10225,50514,14179,12195
YDR034W-B,6,86,18,29,4,14,2,21,28,11,46,37,12,2,36,9,6,16,33,10,18,32,22,14
YDL028C,19,2370,40,561,37,399,46,615,75,1,58,5,32,0,49,5,21,31,36,31,35,248,22,52
YDR061W,376,5706,131,1205,74,809,66,1100,704,127,525,232,308,51,453,77,567,639,453,542,446,2088,548,428
YDR060W,870,26825,503,5759,388,3659,457,5617,1178,231,1434,611,931,198,1957,304,1115,1839,1089,1491,1654,8316,1937,1769
YDR169C-A,2,18,0,10,0,4,1,5,5,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1
YDR363W,7,1466,38,322,39,215,28,376,60,1,40,2,28,0,61,0,15,19,18,24,41,231,49,70
YDR422C,19,2921,87,635,54,390,85,629,63,13,39,8,27,1,61,3,21,45,35,36,83,274,37,46
YDR119W,679,10171,282,2617,155,1501,124,2237,855,147,858,286,517,111,857,170,694,969,850,749,930,4101,954,967
tR(ACG)D,3,9,1,4,0,2,0,0,6,0,2,0,1,0,1,0,1,0,2,0,2,10,3,0
YDR097C,435,7749,215,1622,100,720,127,1155,549,60,579,181,299,34,659,55,439,575,488,462,402,1720,545,425
YDR042C,0,33,1,2,1,9,0,6,2,0,1,3,4,0,5,1,1,0,1,1,0,18,7,5
YDL160C,34,4544,161,913,80,673,142,980,51,7,33,22,41,5,62,9,33,25,37,48,25,242,30,62
YDR425W,7,481,20,98,2,79,13,90,2,0,3,3,10,3,4,0,10,5,10,8,2,56,2,16
snR13,4,213,3,68,12,163,10,69,17,0,10,4,33,1,31,4,7,27,10,14,44,221,35,39
YDR228C,26,1081,22,218,14,170,21,274,50,12,46,4,25,2,53,3,28,27,41,27,35,201,40,41
YDR319C,122,1976,28,449,45,456,23,386,220,8,156,16,133,14,166,5,115,159,153,124,163,711,172,164
YDR471W,311,12426,500,3831,364,2707,340,3808,957,456,1450,1611,665,430,2026,1644,418,1017,1075,1249,845,5802,1706,1856
YDR089W,17,2084,28,420,29,261,30,422,158,4,81,5,51,6,82,3,43,60,51,40,82,268,73,86
YDR275W,151,2008,31,415,43,222,23,370,397,5,192,14,152,3,222,8,270,202,198,159,206,549,253,156
YDR043C,3,312,14,74,4,62,13,84,17,1,13,6,22,2,21,2,10,6,23,17,14,34,31,18
YDR129C,1270,16011,732,3862,420,2698,526,4034,2476,675,2525,1716,1121,423,2280,847,1608,1774,2044,1913,1778,7453,2581,1688
YDR136C,0,8,4,5,0,5,1,1,8,0,1,0,0,2,0,0,1,2,0,0,2,2,0,0
YDL066W,325,11780,608,2746,343,1807,335,2329,2605,1338,1585,2518,856,932,1391,1637,1175,2141,1397,1522,1618,8534,1489,1630
YDR302W,148,2281,39,637,30,445,20,545,213,13,166,25,148,9,220,15,151,253,155,183,186,945,282,223
YDR239C,13,2005,37,422,26,312,23,388,83,1,40,14,25,2,45,3,26,43,17,44,57,292,58,52
YDR539W,75,3407,88,844,53,565,52,736,214,53,136,83,91,39,166,55,96,150,136,138,157,805,190,230
YDL125C,226,4118,118,1050,104,1370,97,1456,611,115,326,134,326,63,455,105,298,239,324,181,417,1954,485,358
YDR493W,16,1027,33,229,10,163,19,314,60,13,44,31,17,9,34,28,19,29,32,40,19,228,30,47
YDR101C,257,16762,251,3874,220,2834,216,3856,813,112,554,256,482,136,807,227,303,659,443,627,776,4021,825,1059
YDR182W-A,1,8,1,1,0,2,0,2,2,0,1,0,0,0,1,3,0,0,0,0,3,4,0,2
YDR212W,794,16421,343,3804,324,2844,250,3841,2602,575,1320,1141,908,487,1347,763,1230,2039,1296,1612,1341,7756,1476,1710
YDR476C,11,960,43,233,12,171,20,244,29,13,17,11,6,1,19,11,15,24,8,16,19,146,16,37
YDL131W,17,3654,190,945,106,793,164,1161,106,17,35,21,37,11,42,26,18,25,16,16,32,258,22,45
YDR458C,85,4760,77,1137,62,607,89,1050,200,20,216,36,113,11,291,22,96,125,133,156,136,625,234,235
YDR081C,77,4149,89,912,55,537,45,752,184,4,128,12,91,0,201,5,85,152,97,119,169,760,191,154
YDR113C,4,765,12,135,13,102,7,186,10,1,4,1,2,0,6,1,6,7,3,4,7,59,5,14
