cluster,gene
1,YGL037C
1,YOR344C
1,YOR347C
1,YJR009C
1,YHR132C
1,YHR132W-A
1,YNR029C
1,YMR110C
1,YML123C
1,YFR053C
1,YPR026W
1,YPL075W
1,YBR286W
1,YML130C
1,YOL077W-A
1,YFR021W
1,YHR051W
1,YHR050W-A
1,YLR395C
1,YJR117W
1,YPR149W
1,YLR300W
1,YDR277C
1,YPR187W
1,YJL154C
1,YLR429W
1,YKR093W
1,YLR297W
1,YDR155C
1,YGR055W
1,YJR113C
1,YDR002W
1,YJR093C
1,YGL058W
1,YPR016C
1,YPR016W-A
1,YER177W
1,YBR183W
1,YIL049W
1,YHR201C
1,YPL004C
1,YNR061C
1,YPL003W
1,YMR256C
1,YGL092W
1,YER134C
1,YNL054W
1,YMR091C
1,YBR251W
1,YDL159W-A
1,YPR010C-A
1,YLL026W
1,YBR082C
1,YDL051W
1,YPR020W
1,YLR192C
1,YBR172C
1,YLR196W
1,YPR074W-A
1,YNL110C
1,YPR041W
1,YHR193C
1,YDR035W
1,YLR327C
1,YMR155W
1,YDL074C
1,YKL051W
1,YER055C
1,YOR027W
1,YML017W
1,YOR375C
1,YPL176C
1,YOR122C
1,YLL018C
1,YLR396C
1,YPR069C
1,YOR279C
1,YDR178W
1,YCL057C-A
1,YCL057W
1,YKR039W
1,YBR052C
1,YGL040C
1,YBL042C
1,YHR039C
1,YHL027W
1,YDR228C
1,YDR373W
1,snR9
1,YKL060C
1,YGR192C
1,YGR054W
1,snR19
1,YFL039C
1,YKL044W
1,YBR102C
1,YNL015W
1,YOR261C
1,YOR262W
1,YKR061W
1,YPL178W
1,YKL139W
1,YHR007C
1,YOR376W
1,YGR146C-A
1,YER165W
1,YLL024C
1,YKL179C
1,YKR045C
1,YGR169C-A
1,YFL032W
1,YDR481C
1,YDR119W-A
1,YFL010C
1,YJR137C
1,YBR196C-A
1,YMR258C
1,YCR098C
1,YMR081C
1,YBR296C-A
1,YDR050C
1,YCR005C
1,YGL125W
1,YJR051W
1,YOR350C
1,YDL212W
1,YDR131C
1,YDR322C-A
1,YJL109C
1,YJR007W
1,YMR108W
1,YMR125W
1,YOR136W
1,YPL210C
1,YOL088C
1,YNL051W
1,YLL041C
1,YFL004W
1,YGL191W
1,YER077C
1,YGR285C
1,YGR203W
1,YJR070C
1,YGR282C
1,YHR065C
1,YPL026C
1,YER171W
1,YDR341C
1,YFL045C
1,YDR441C
1,YGR279C
1,YKL085W
1,YER043C
1,snR34
1,YOR020C
1,YLR249W
1,YOL159C-A
1,YEL014C
1,YER064C
1,YEL026W
1,YDL192W
1,YDL015C
1,YML087C
1,YPL271W
1,YGL195W
1,YGR257C
1,YKR059W
1,YFR001W
1,YHR214C-C
1,YML107C
1,YPR080W
1,YGR183C
1,YMR186W
1,YLR372W
1,YPL106C
1,YKR069W
1,YPL188W
1,YLR107W
1,YDR106W
1,YER021W
1,YDR177W
1,YNL091W
1,YOL013C
1,YNL287W
1,YGL212W
1,YBR160W
1,YPL259C
1,YPL051W
1,YFL022C
1,YAR027W
1,YMR222C
1,YLR069C
1,YLR044C
1,YDR342C
1,YNL070W
1,YEL017C-A
1,YMR072W
1,YPL265W
1,YBR095C
