"","TBP","TFIIA","TFIIB","TFIIE","TFIIF"
"YER185W",4.249807588,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YPL203W",3.382360502,10.41813171,7.683658112,7.253073492,5.99105896115469
"YLR286C",1.649128625,5.443044466,7.96465491268707,8.77343409700929,5.99105896115469
"YLR174W",3.367139459,5.05743785414047,4.273150744,8.554245575,5.99105896115469
"snR52",3.32565812,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YGL162W",1.359112076,3.798673175,7.660990667,6.812271972,5.99105896115469
"YHR083W",2.041020614,3.485449904,6.61707595,8.77343409700929,7.581361723
"YPL057C",3.274105333,5.05743785414047,7.96465491268707,10.66601915,5.99105896115469
"YDR171W",1.271632656,2.088082666,1.634031628,4.917116602,5.99105896115469
"YDR178W",1.312985572,2.135310192,5.022229053,14.09296591,5.99105896115469
"YIL082W",3.10763066,1.664909661,5.301163578,8.77343409700929,5.99105896115469
"YIL082W-A",3.10763066,1.664909661,5.301163578,8.77343409700929,5.99105896115469
"YMR058W",3.325729218,5.05743785414047,7.96465491268707,14.9027454,7.434149491
"YBL045C",2.00719236,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YBL102W",1.182869418,3.625748751,7.96465491268707,6.954544928,5.99105896115469
"YAR009C",1.388787132,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YKR009C",1.077636022,5.05743785414047,5.187833375,8.77343409700929,5.99105896115469
"YBR088C",1.286591919,3.286227796,7.96465491268707,6.841104102,5.99105896115469
"YFR053C",1.36122465,12.18030355,3.862972604,16.53105942,5.99105896115469
"YBL051C",2.088849926,3.009439487,5.715875467,8.830300054,5.99105896115469
"YHR132C",1.554423294,9.283125814,7.96465491268707,14.8846448,5.99105896115469
"YJL101C",3.565462717,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YDR435C",7.081543024,5.05743785414047,15.23497494,8.77343409700929,7.352437844
"YOR161C",1.352857233,7.446717087,7.96465491268707,12.73546679,2.698534732
"YCR098C",1.285400281,5.05743785414047,7.96465491268707,16.05872508,5.99105896115469
"YGR150C",2.731547902,5.05743785414047,5.796964271,10.66228379,5.99105896115469
"YOR171C",5.630934048,3.786851452,6.102718041,7.331338938,5.99105896115469
"YPL082C",3.690400504,5.05743785414047,7.96465491268707,8.77343409700929,7.467137313
"YDL020C",1.863394876,2.311709121,7.96465491268707,8.77343409700929,5.99105896115469
"YDR397C",9.87156969,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YNL251C",1.915023981,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YPR009W",3.681056211,5.05743785414047,6.696586111,8.77343409700929,5.99105896115469
"YGL200C",2.127104472,3.244697352,1.790464873,8.360310795,5.99105896115469
"YOR231W",2.317006995,2.905333612,4.233277503,9.189989845,1.841771032
"YLR251W",3.58703817,6.955441629,7.96465491268707,7.768833948,5.99105896115469
"YDR074W",6.802921967,5.05743785414047,15.57458453,13.37882568,5.99105896115469
"YEL065W",1.930255039,2.224559973,2.761396327,8.202187856,7.972398992
"RDN5-6",5.327314311,5.05743785414047,4.056095705,8.77343409700929,5.99105896115469
"YER020W",7.711726056,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YNL293W",2.485318244,2.542437756,29.26224058,5.796311763,5.99105896115469
"YML031W",1.687062157,5.05743785414047,5.006385727,5.684665482,5.99105896115469
"YDR098C-B",3.608863286,4.235695385,7.96465491268707,5.518634987,5.99105896115469
"YDR098C-A",3.608863286,4.235695385,7.96465491268707,5.518634987,5.99105896115469
"YDR388W",3.166776836,5.219299694,7.96465491268707,5.710135464,5.99105896115469
"YGL198W",2.127104472,3.244697352,1.790464873,8.360310795,5.99105896115469
"snR6",3.983833472,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YJL063C",2.615309348,5.05743785414047,2.461617897,7.805556296,7.835097069
"YBR049C",1.718321974,5.05743785414047,7.96465491268707,2.197042753,5.99105896115469
"YNL021W",1.301300686,4.90589412,17.69012868,5.423178276,5.99105896115469
"YML032C",1.687062157,5.05743785414047,5.006385727,5.684665482,5.99105896115469
"YMR115W",3.4830875,5.05743785414047,7.96465491268707,1.259161237,5.99105896115469
"YJL062W-A",2.615309348,5.05743785414047,2.461617897,7.805556296,7.835097069
"YBL001C",2.728007249,5.05743785414047,2.386762283,4.066413993,5.99105896115469
"YPL207W",3.655547487,5.05743785414047,3.609111168,7.34703336,5.99105896115469
"YNL138W-A",2.023090094,2.232506597,7.96465491268707,7.839524561,5.99105896115469
"YDR353W",2.508396467,2.987141715,13.23252971,8.77343409700929,5.99105896115469
"YER094C",1.554445404,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YBR214W",2.987006381,10.61774671,7.96465491268707,5.125541221,5.99105896115469
"YMR072W",2.182197149,4.246983249,7.96465491268707,13.26829292,5.99105896115469
"YKR011C",2.428597917,2.102223487,11.19804777,5.731264873,5.99105896115469
"YPL265W",1.833436797,5.143730011,7.96465491268707,13.45878404,5.99105896115469
"YNL192W",1.615304003,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YGR048W",2.719273248,2.97522604,8.310310394,4.457111132,5.99105896115469
"tP(UGG)O1",3.923524468,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YER035W",1.341456915,4.260899664,10.70317349,15.06928899,5.99105896115469
"YMR202W",1.905795784,5.05743785414047,5.518296607,4.633487931,6.556936706
"YBR067C",1.455621382,4.61865706,15.1942652,12.98045513,5.99105896115469
"YNL015W",2.871605511,3.244212802,1.702560736,16.21456666,5.99105896115469
"YFR037C",1.43449216,5.05743785414047,24.67878994,5.313047058,5.99105896115469
"YFR038W",1.43449216,5.05743785414047,24.67878994,5.313047058,5.99105896115469
"YCL039W",1.670636311,5.05743785414047,21.02725904,7.990136173,5.99105896115469
"YER025W",1.402679159,1.99802089,7.189996782,9.721434458,5.99105896115469
"YFL015W-A",3.189083708,5.05743785414047,5.577423296,8.548672413,5.99105896115469
"YHR008C",2.379555395,10.70192196,8.435482461,14.29894495,5.99105896115469
"YHR037W",1.785689576,1.834418021,7.96465491268707,3.483517507,5.99105896115469
"YNL071W",3.233698258,1.936401363,6.668407378,7.290354098,7.624188862
"YOR173W",10.41700507,15.41782137,7.96465491268707,8.77343409700929,5.99105896115469
"YNL297C",3.77495967,9.062879848,4.052093928,10.63686014,5.99105896115469
"YNL135C",3.418625729,1.942354307,8.595834539,9.882760475,5.99105896115469
"YHR132W-A",1.554423294,9.283125814,7.96465491268707,14.8846448,5.99105896115469
"YPR132W",1.912950028,5.05743785414047,2.471304515,15.50074177,8.186501574
"YJR049C",3.387673968,5.05743785414047,7.96465491268707,10.871704,5.99105896115469
"YBR038W",1.644862685,8.027391359,7.96465491268707,4.986805077,5.99105896115469
"YAL054C",2.886653298,5.05743785414047,6.109047618,5.750911324,5.99105896115469
"YFL016C",3.189083708,5.05743785414047,5.577423296,8.548672413,5.99105896115469
"YBR033W",2.687385624,5.05743785414047,14.26738793,8.77343409700929,5.99105896115469
"YDL079C",1.748852998,5.05743785414047,2.388012142,8.77343409700929,5.99105896115469
"YGR020C",2.242291176,5.245992589,7.96465491268707,7.791638351,5.99105896115469
"YPL127C",2.253990593,5.05743785414047,7.96465491268707,3.950443674,5.99105896115469
"YGR161C-C",1.226573992,1.343812056,7.96465491268707,8.77343409700929,5.99105896115469
"YGR161C-D",1.226573992,1.343812056,7.96465491268707,8.77343409700929,5.99105896115469
"YMR082C",1.627872395,19.63051312,7.96465491268707,2.092403664,5.99105896115469
"YOL005C",4.543088639,3.016897649,13.13709682,8.77343409700929,7.48420104
"YML063W",1.440606412,5.05743785414047,6.032351121,16.21705072,8.411637495
"YLR114C",1.471278648,8.073992346,4.203298143,7.487595433,5.99105896115469
"tK(CUU)D2",5.60232715,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YML069W",1.444223811,3.015642173,6.794242844,7.069832186,5.99105896115469
"YIR033W",4.573993246,5.05743785414047,7.96465491268707,8.77343409700929,4.189217609
"YJR003C",1.1780254,5.05743785414047,7.96465491268707,11.06353587,1.423241561
"YOL103W-A",2.272292211,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YOL103W-B",2.272292211,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"snR191",2.258179614,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YML030W",2.064174193,5.071713316,7.96465491268707,7.461376058,5.99105896115469
"YIR016W",3.138414271,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YPR030W",10.39961228,7.488468624,31.75438475,3.123902386,5.99105896115469
"YJL194W",2.367179192,3.946453912,1.560396701,8.77343409700929,5.99105896115469
"YOR286W",1.620310626,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YMR022W",1.494819217,2.108316283,4.632505819,4.059833528,5.99105896115469
"YMR140W",3.994732242,5.4453514,5.827123209,6.699862244,5.99105896115469
"YDR500C",1.483617637,5.05743785414047,6.707815695,17.15649779,8.388282809
"YJL202C",2.058655481,3.745700532,7.96465491268707,3.246663152,5.99105896115469
"YOL013W-A",3.923524468,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"tE(CUC)D",5.47260313,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YLR441C",1.587977716,5.05743785414047,6.863086117,21.84972319,8.315102888
"YBR221W-A",1.567270574,4.672883321,7.96465491268707,5.44412768,5.99105896115469
"YNR035C",2.178755331,5.05743785414047,3.145621576,9.834394143,5.99105896115469
"YML028W",2.63930854,5.05743785414047,3.68817895,14.61285309,7.612550938
"YBL007C",1.967209459,5.390591696,7.96465491268707,7.512923039,1.625084835
"tT(UGU)H",2.367998395,3.247462127,7.96465491268707,8.77343409700929,5.99105896115469
"RDN5-4",3.321302074,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YDL174C",1.714416351,13.0573434,1.793756124,4.663880897,5.99105896115469
"YDL161W",7.688846729,5.05743785414047,8.925748632,3.158925319,5.99105896115469
"YKL031W",1.836332564,3.872091003,3.10556501,9.276903927,7.201175689
"YNL327W",1.540799858,5.05743785414047,12.32638611,8.77343409700929,7.100838833
"YJL217W",3.765478705,5.05743785414047,7.96465491268707,4.110190691,5.99105896115469
"YJL201W",2.058655481,3.745700532,7.96465491268707,3.246663152,5.99105896115469
"snR53",1.960994404,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YDR445C",5.60232715,5.05743785414047,7.96465491268707,5.43377905,5.99105896115469
"YNL157W",1.608455243,3.125455675,2.45121063,3.983811144,5.99105896115469
"YNL121C",1.401849887,5.05743785414047,2.579647006,9.749244648,5.99105896115469
"YML089C",2.235978098,1.612570612,7.96465491268707,8.77343409700929,5.99105896115469
"YMR159C",10.27099052,3.221595819,7.355638134,8.77343409700929,5.99105896115469
"snR61",1.722326822,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YMR135C",3.069711824,5.05743785414047,7.96465491268707,5.205591164,5.99105896115469
"YKR094C",2.474604895,5.05743785414047,7.195354658,16.58879953,8.719927645
"YKL190W",1.263991618,2.77875987,12.39464739,6.287461683,5.99105896115469
"YDR278C",5.47260313,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YLR312W-A",3.592942872,5.05743785414047,3.301855424,5.587752262,5.99105896115469
"YER019C-A",1.26475465,5.05743785414047,7.96465491268707,8.77343409700929,7.084894844
"RDN5-3",5.514743851,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YFL021W",4.741885943,6.949908971,11.85173709,13.67312543,8.3730368
"YHR180W-A",2.367998395,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YPL015C",3.012870443,3.453163277,2.584875709,3.477308504,7.359748987
"RDN5-5",4.915978848,5.05743785414047,4.3900849,8.77343409700929,5.99105896115469
"YDL162C",7.688846729,5.05743785414047,7.96465491268707,8.77343409700929,5.99105896115469
"YCR064C",3.024044888,2.15745264,7.96465491268707,4.977105127,5.99105896115469
"YML017W",2.9127527350411,2.082195876,5.069744006,8.77343409700929,5.99105896115469
"YOL113W",2.9127527350411,12.19549491,7.96465491268707,3.60652563,5.99105896115469
"YDL049C",2.9127527350411,2.329641666,14.51279003,14.79594971,5.99105896115469
"YBR202W",2.9127527350411,2.246065645,3.109315185,11.80607066,5.99105896115469
"YMR313C",2.9127527350411,1.637798959,12.03767638,8.77343409700929,5.99105896115469
"YGL166W",2.9127527350411,2.068508717,4.424749075,8.77343409700929,5.99105896115469
"YKL126W",2.9127527350411,2.209479491,7.96465491268707,3.630700674,5.99105896115469
"YKR098C",2.9127527350411,7.431002876,7.96465491268707,8.77343409700929,5.99105896115469
