Locus,resTime,pol,
tA(AGC)M1,15.86,Pol III,
tW(CCA)J,10.098,Pol III,
tL(UAA)J,10.901,Pol III,
tV(AAC)L,8.899,Pol III,
YNL138W,1.564,Pol II,
tV(AAC)J,9.234,Pol III,
tY(GUA)F1,7.543,Pol III,
tF(GAA)M,2.922,Pol III,
tF(GAA)P2,10.466,Pol III,
tE(UUC)P,7.271,Pol III,
tM(CAU)J1,11.714,Pol III,
tI(AAU)P1,8.926,Pol III,
tQ(UUG)B,10.026,Pol III,
tG(CCC)D,8.966,Pol III,
tG(GCC)F2,9.136,Pol III,
tK(CUU)E1,10.211,Pol III,
tK(CUU)E2,12.433,Pol III,
tK(CUU)I,9.216,Pol III,
YLR149C,2.158,Pol II,
snR30,1.714,Pol II,
tT(AGU)N1,4.911,Pol III,
tD(GUC)M,5.212,Pol III,
tS(AGA)B,12.505,Pol III,
YBL074C,1.936,Pol II,
tM(CAU)O2,5.416,Pol III,
tY(GUA)J1,10,Pol III,
YOR182C,1.403,Pol II,
tY(GUA)M1,5.621,Pol III,
tK(CUU)J,11.054,Pol III,
tR(UCU)G2,10.489,Pol III,
snR34,2.445,Pol II,
tL(UAG)J,5.544,Pol III,
YKL119C,8.876,Pol II,
tN(GUU)N1,12.771,Pol III,
RPR1,9.609,Pol II,
tQ(UUG)D3,10.488,Pol III,
tG(GCC)D1,15.993,Pol III,
snR10,2.605,Pol II,
tN(GUU)G,5.507,Pol III,
tN(GUU)L,10.478,Pol III,
tG(GCC)F1,11.311,Pol III,
tS(GCU)F,4.481,Pol III,
tF(GAA)H2,11.322,Pol III,
tQ(CUG)M,10.216,Pol III,
tA(AGC)K1,10.46,Pol III,
tQ(UUG)E2,14.22,Pol III,
tA(AGC)F,14.214,Pol III,
tI(AAU)E1,8.959,Pol III,
tL(CAA)A,9.93,Pol III,
tI(AAU)L1,13.161,Pol III,
tN(GUU)C,11.755,Pol III,
YGL247W,2.389,Pol II,
tV(AAC)M2,12.45,Pol III,
tD(GUC)J1,5.187,Pol III,
tI(AAU)E2,12.898,Pol III,
YOL121C,1.738,Pol II,
tC(GCA)P2,10.139,Pol III,
YJR042W,8.894,Pol II,
tW(CCA)P,4.059,Pol III,
tQ(UUG)D1,4.951,Pol III,
tV(AAC)E2,4.98,Pol III,
YBL076C,1.893,Pol II,
tN(GUU)O2,9.235,Pol III,
tF(GAA)B,9.571,Pol III,
tK(CUU)G1,8.483,Pol III,
tT(AGU)I2,13.726,Pol III,
tL(CAA)D,14.566,Pol III,
tD(GUC)J4,5.424,Pol III,
tM(CAU)O1,4.845,Pol III,
tT(UGU)G1,7.549,Pol III,
tE(UUC)E2,12.504,Pol III,
tY(GUA)F2,11.955,Pol III,
tL(UAG)L2,6.77,Pol III,
tR(ACG)K,8.686,Pol III,
tV(AAC)E1,5.48,Pol III,
