gene,time
YOR142W,<1
YEL035C,<1
YHL040C,<1
YHR020W,<1
YLL026W,<1
YOL004W,<1
YJL165C,<1
YNL055C,<1
YGR211W,<1
YBR150C,<1
YCL057W,<1
YBR109C,<1
YLR348C,<1
YOR141C,<1
YHR051W,<1
YNR003W-A,<1
YJL078C,<1
YOR293W,<1
YGR155W,<1
YPL003W,<1
YLR008C,<1
YJR057W,<1
YJL100W,<1
YDR264C,<1
YPR190C,<1
YDR009W,<1
YCL057C-A,<1
YER178W,<1
YOR136W,<1
YGR035C,<1
YOL101C,<1
YDR127W,<1
YKL213C,<1
YPL231W,<1
YAL060W,<1
YBL005W-A,<1
YBL005W-B,<1
YER163C,<1
YHR019C,<1
YHL032C,<1
YBR126C,<1
YPL158C,<1
YLL039C,<1
YNL186W,<1
YDR237W,<1
YDL095W,<1
YDL067C,<1
YHR043C,<1
YOR343W-A,<1
YOR343W-B,<1
YOR185C,<1
YBR199W,<1
YLR395C,<1
YKL020C,<1
YMR036C,<1
YPL078C,<1
YPR108W,<1
YHL003C,<1
YER032W,<1
YDR231C,<1
YPL117C,<1
YMR196W,<1
YIL115C,<1
YDR394W,<1
YDL097C,<1
YDR186C,<1
YML018C,<1
YML128C,<1
YER103W,<1
YGR116W,<1
YPL011C,<1
YHR161C,<1
YDR377W,<1
YOR330C,<1
YKR093W,<1
YMR315W,<1
YLR194C,<1
YHR001W-A,<1
YER119C,<1
YDR405W,<1
YDR046C,<1
YGL115W,<1
YIL091C,<1
YIL158W,<1
YBL085W,<1
YHL026C,<1
YCR081C-A,<1
YGR257C,<1
YPL151C,<1
YDR452W,<1
YFL052W,<1
YDR210W-A,<1
YDR210W-B,<1
YPL022W,<1
YKL100C,<1
YKL196C,<1
YJL089W,<1
YHR012W,<1
YLR400W,<1
YJL177W,<1
YDL010W,<1
YOL086W-A,<1
YML117W,<1
YPL004C,<1
YOL123W,<1
YFL010C,<1
YLR214W,<1
YDR516C,<1
YPL010W,<1
YOR260W,<1
YLR299C-A,<1
YGR082W,<1
YNL277W,<1
YCL049C,<1
YMR002W,<1
YPL178W,<1
YKL085W,<1
YOR220W,<1
YLR078C,<1
