gene,synthesis_perCell_perMin
YDL243C,0.121615941
YDR387C,0.080145472
YDR438W,0.030310995
YDL189W,0.067824536
YDR175C,0.233239001
YDR362C,0.089527813
YDR158W,0.582685221
YDL206W,0.047488279
YDR125C,0.035778577
YDR338C,0.13931491
YDR272W,0.171262875
YDR512C,0.040209994
YDL015C,0.317048804
YDR304C,0.176997586
YDR367W,0.237129857
YDR469W,0.069674374
YDR105C,0.097187077
YDR505C,0.404647806
YDL045C,0.114533765
YDR361C,0.194318429
YDR002W,0.401378687
YDR358W,0.142208544
YDR460W,0.095691017
snR84,0.285547892
YDR034W-B,0.01485623
YDR061W,0.168599357
YDR060W,0.866206324
YDR119W,0.349362355
YDR097C,0.185657739
YDR319C,0.069530795
YDR471W,1.130957286
YDR275W,0.068613084
YDR129C,0.542454168
YDL066W,0.34898914
YDR302W,0.105089932
YDR539W,0.160345406
YDL125C,0.9902914
YDR101C,0.812045102
YDR212W,0.554153463
YDR458C,0.394078316
YDR168W,0.224535079
YDR265W,0.089150231
YDL076C,0.11472245
YDL006W,0.087260467
YDR238C,0.779423873
YDR381C-A,0.119522792
YDL083C,2.455296511
YDR057W,0.067941143
YDR487C,0.292769161
YDR066C,0.030163823
YDR079C-A,0.060613146
YDR204W,0.085878898
YDR109C,0.068354537
YDR427W,0.611215472
YDL044C,0.120716841
YDL079C,0.219185062
YDR305C,0.096695214
YDR377W,0.915674877
YDR416W,0.119204434
YDR365C,0.329845164
YDR287W,0.056297011
YDR448W,0.096626383
YDR180W,0.167843404
YDR294C,0.380632718
YDR198C,0.089978027
YDL119C,0.04394512
YDR501W,0.020506984
YDR264C,0.374256183
YDR343C,4.355239036
YDR373W,0.133148907
YDR354W,0.609972309
YDR316W,0.131608852
YDL142C,0.076972536
YDL112W,0.331701296
YDR545W,0.363453774
YDR284C,0.256972404
YDR050C,2.196035033
YDL065C,0.116151468
YDL234C,0.295965811
YDR118W,0.049619849
YDR111C,0.127771772
YDR128W,0.139785883
YDR065W,0.073675706
YDL004W,0.705376187
YDR024W,0.002088798
YDL171C,0.5485071
