chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrV,33563,33869,165,chrV,31693,33466,YEL063C,137,-,-98,33716,-250
chrXIV,529432,529952,451,chrXIV,529941,531411,YNL053W,5171,+,0,529692,-249
chrII,145628,146253,11,chrII,146186,146885,YBL038W,939,+,0,145940.5,-245.5
chrVII,953408,954019,250,chrVII,953959,954646,YGR232W,4215,+,0,953713.5,-245.5
chrX,667113,667688,309,chrX,667643,669293,YJR131W,817,+,0,667400.5,-242.5
chrXIV,89832,90288,431,chrXIV,90302,91424,YNL288W,4923,+,-15,90060,-242
chrXI,608345,608867,340,chrXI,605632,608365,YKR089C,2881,-,0,608606,-241
chrIV,1497708,1498272,147,chrIV,1498231,1499335,YDR531W,2151,+,0,1497990,-241
chrXI,154423,155076,317,chrXI,154990,158232,YKL157W,2620,+,0,154749.5,-240.5
chrXIII,483652,484036,407,chrXIII,484083,486147,YMR108W,6419,+,-48,483844,-239
chrXVI,801859,802384,547,chrXVI,802358,804080,YPR137W,5745,+,0,802121.5,-236.5
chrXII,130687,131010,348,chrXII,129329,130613,YLL010C,4344,-,-75,130848.5,-235.5
chrVII,472317,472922,219,chrVII,472854,474276,YGL012W,3950,+,0,472619.5,-234.5
chrVII,953408,954019,250,chrVII,952547,953480,YGR231C,4214,-,0,953713.5,-233.5
chrXI,559170,559697,338,chrXI,559665,560652,YKR062W,2853,+,0,559433.5,-231.5
chrIV,131914,132214,76,chrIV,130870,131833,YDL183C,1382,-,-82,132064,-231
chrIV,1249815,1250283,128,chrIV,1248153,1249821,YDR387C,2000,-,0,1250049,-228
chrII,121995,122207,9,chrII,119378,121874,YBL052C,923,-,-122,122101,-227
chrXII,86957,87396,346,chrXII,87402,88155,YLL027W,4327,+,-7,87176.5,-225.5
chrXIV,597608,597920,456,chrXIV,595622,597539,YNL020C,5206,-,-70,597764,-225
chrII,568414,568883,38,chrII,567874,568426,YBR164C,1162,-,0,568648.5,-222.5
chrIV,1497708,1498272,147,chrIV,1496790,1497768,YDR530C,2150,-,0,1497990,-222
chrXI,407844,408577,332,chrXI,407464,407989,YKL016C,2774,-,0,408210.5,-221.5
chrXV,737769,738426,502,chrXV,738319,738532,YOR210W,3307,+,0,738097.5,-221.5
chrII,392651,393151,26,chrII,393122,394742,YBR078W,1065,+,0,392901,-221
chrXIII,168462,168687,393,chrXIII,168795,168883,tY(GUA)M1,6153,+,-109,168574.5,-220.5
chrVII,609162,609567,230,chrVII,609584,609696,snR48,5827,+,-18,609364.5,-219.5
chrXII,260428,261091,355,chrXII,260978,262766,YLR060W,4415,+,0,260759.5,-218.5
chrV,15830,16445,164,chrV,16354,17845,YEL071W,129,+,0,16137.5,-216.5
chrVI,58420,58712,194,chrVI,58781,62837,YFL036W,2441,+,-70,58566,-215
chrVII,904648,905394,248,chrVII,905236,905683,YGR203W,4185,+,0,905021,-215
chrXVI,797148,797701,545,chrXVI,795977,797210,YPR133C,5740,-,0,797424.5,-214.5
chrIX,73567,73767,152,chrIX,69790,73453,YIL147C,2195,-,-115,73667,-214
chrII,145628,146253,11,chrII,143988,145728,YBL039C,937,-,0,145940.5,-212.5
chrXII,260428,261091,355,chrXII,259737,260547,YLR059C,4414,-,0,260759.5,-212.5
chrVI,54444,55372,193,chrVI,53259,54696,YFL039C,2438,-,0,54908,-212
chrII,488420,488762,31,chrII,487198,488380,YBR125C,1118,-,-41,488591,-211
chrIX,211958,212619,153,chrIX,212498,214703,YIL078W,2269,+,0,212288.5,-209.5
