peakName,factorName,gene,geneLabel,Km_western,n_western,Km_nls,Vmax_nls,R2_nls
chrI_9070_9404,TFIIB,SEO1,chrI_9070_9404:SEO1,42.60731778,4.284817099,46.04420823,1.047125438,0.991465647
chrI_11150_11437,TFIIB,YAL065C,chrI_11150_11437:YAL065C,42.60731778,4.284817099,43.6344556,1.186063396,0.895291833
chrI_23873_24419,TFIIB,YAL063C-A,chrI_23873_24419:YAL063C-A,42.60731778,4.284817099,40.34412344,0.725339282,0.776170301
chrI_24678_25052,TFIIB,YAL063C-A,chrI_24678_25052:YAL063C-A,42.60731778,4.284817099,42.47383996,1.807267941,0.749820946
chrI_30727_31783,TFIIB,GDH3,chrI_30727_31783:GDH3,42.60731778,4.284817099,46.26392592,0.989082482,0.993943472
chrI_32591_33448,TFIIB,BDH2,chrI_32591_33448:BDH2,42.60731778,4.284817099,46.83536075,0.949825803,0.933578304
chrI_34639_35245,TFIIB,BDH1,chrI_34639_35245:BDH1,42.60731778,4.284817099,49.01079808,0.983568727,0.982599172
chrI_36362_36584,TFIIB,ECM1,chrI_36362_36584:ECM1,42.60731778,4.284817099,44.02004073,1.382951932,0.85591982
chrI_39089_39341,TFIIB,GPB2,chrI_39089_39341:GPB2,42.60731778,4.284817099,52.24183302,0.967609981,0.986605623
chrI_44935_45332,TFIIB,ACS1,chrI_44935_45332:ACS1,42.60731778,4.284817099,54.19142496,1.270778389,0.921590819
chrI_45632_45894,TFIIB,FLC2,chrI_45632_45894:FLC2,42.60731778,4.284817099,40.9233473,1.083908659,0.982593068
chrI_48412_48635,TFIIB,OAF1,chrI_48412_48635:OAF1,42.60731778,4.284817099,41.34997882,1.288322479,0.838305703
chrI_57262_57631,TFIIB,BOL3,chrI_57262_57631:BOL3,42.60731778,4.284817099,47.66362457,0.910068746,0.947558786
chrI_58333_58652,TFIIB,GCV3,chrI_58333_58652:GCV3,42.60731778,4.284817099,43.54441357,1.108384846,0.978538568
