chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIII,228140,229370,4.977105127,chrIII,228094,228505,YCR064C,3643,-,0,228755,-250
chrVII,107382,108125,11.88390979,chrVII,102542,107504,YGL206C,3750,-,0,107753.5,-249.5
chrXI,205185,205728,3.630700674,chrXI,205706,207749,YKL126W,2654,+,0,205456.5,-249.5
chrXV,709788,710603,12.08429102,chrXV,710445,711576,YOR193W,3290,+,0,710195.5,-249.5
chrII,191640,192024,1.571166586,chrII,186843,191583,YBL017C,961,-,-58,191832,-249
chrVII,797817,798769,11.48113622,chrVII,798542,800066,YGR155W,4130,+,0,798293,-249
chrXV,683328,684232,12.71739812,chrXV,684029,685343,YOR187W,3281,+,0,683780,-249
chrVIII,551372,552123,4.186409353,chrVIII,551199,551499,YHR214C-E,6144,-,0,551747.5,-248.5
chrII,544423,545059,4.452739741,chrII,541208,544493,YBR150C,1147,-,0,544741,-248
chrXIV,545882,546432,4.352940462,chrXIV,545588,545909,YNL043C,5181,-,0,546157,-248
chrVIII,143406,144088,10.34051315,chrVIII,143995,146062,YHR020W,5910,+,0,143747,-248
chrXIV,34119,34775,7.022888246,chrXIV,34695,37422,YNL321W,4890,+,0,34447,-248
chrVII,78807,79402,6.063363991,chrVII,78014,78857,YGL224C,3732,-,0,79104.5,-247.5
chrXII,866711,867500,17.16102813,chrXII,867353,868391,YLR372W,4764,+,0,867105.5,-247.5
chrXV,675378,676003,10.08900343,chrXV,675938,677840,YOR181W,3274,+,0,675690.5,-247.5
chrIII,24063,24977,13.83372566,chrIII,24767,26906,YCL057W,3520,+,0,24520,-247
chrIV,681590,682264,2.964242928,chrIV,682174,682492,YDR115W,1699,+,0,681927,-247
chrXI,499727,500341,6.325666049,chrXI,500281,501103,YKR030W,2820,+,0,500034,-247
chrXII,588770,589442,7.62819099,chrXII,589353,590541,YLR226W,4602,+,0,589106,-247
chrXVI,254164,254968,10.62977095,chrXVI,254813,255761,YPL157W,5441,+,0,254566,-247
chrIX,204630,205169,4.699312608,chrIX,203555,204653,YIL083C,2265,-,0,204899.5,-246.5
chrVII,426681,427420,7.72112216,chrVII,425361,426804,YGL038C,3923,-,0,427050.5,-246.5
chrVII,667519,668364,8.865053412,chrVII,668188,669907,YGR092W,4062,+,0,667941.5,-246.5
chrXIV,112716,113331,6.067093014,chrXIV,113270,116453,YNL278W,4935,+,0,113023.5,-246.5
chrIV,1497674,1498297,3.078151977,chrIV,1498231,1499335,YDR531W,2151,+,0,1497985.5,-245.5
chrXIII,43465,44132,9.278389101,chrXIII,44044,44791,YML113W,6175,+,0,43798.5,-245.5
chrIV,768841,769649,14.92050542,chrIV,768511,769000,YDR155C,1740,-,0,769245,-245
chrIX,415520,416204,5.395793054,chrIX,415029,415617,YIR032C,2397,-,0,415862,-245
chrVII,190240,191186,4.924560767,chrVII,187615,190468,YGL167C,3791,-,0,190713,-245
chrXI,466073,466559,7.369492183,chrXI,465366,466071,YKR014C,2804,-,-3,466316,-245
chrXIV,263312,263584,8.22462321,chrXIV,260626,263203,YNL201C,5013,-,-110,263448,-245
chrV,337391,338015,12.99064279,chrV,337948,339472,YER090W,326,+,0,337703,-245
chrXVI,644807,646601,13.95915302,chrXVI,645949,646153,YPR036W-A,5642,+,0,645704,-245
chrIII,95728,96287,2.112111889,chrIII,94620,95763,YCL016C,3562,-,0,96007.5,-244.5
chrII,792310,792897,4.112531799,chrII,792848,796499,YBR295W,1304,+,0,792603.5,-244.5
chrXI,559058,559783,15.54388182,chrXI,559665,560652,YKR062W,2853,+,0,559420.5,-244.5
chrV,141370,141924,14.87876845,chrV,141891,143892,YEL007W,205,+,0,141647,-244
chrX,667039,667759,4.201038685,chrX,667643,669293,YJR131W,817,+,0,667399,-244
chrXV,106189,106741,11.91570951,chrXV,106709,108188,YOL112W,2957,+,0,106465,-244
chrXII,874777,875294,2.359976321,chrXII,873745,874792,YLR377C,4769,-,0,875035.5,-243.5
chrVII,756372,756932,4.697037131,chrVII,756895,757447,YGR133W,4107,+,0,756652,-243
chrXIV,646876,647500,9.795098093,chrXIV,647431,648937,YNR012W,5239,+,0,647188,-243
chrII,107306,107991,5.89997993,chrII,105315,107406,YBL061C,913,-,0,107648.5,-242.5
chrII,311410,311979,4.986805077,chrII,310564,311452,YBR037C,1020,-,0,311694.5,-242.5
chrV,241597,241890,9.61678302,chrV,240031,241501,YER045C,264,-,-97,241743.5,-242.5
chrX,109466,109941,7.106783456,chrX,106893,109461,YJL165C,512,-,-6,109703.5,-242.5
chrXV,683328,684232,12.71739812,chrXV,683328,683538,YOR186C-A,3280,-,0,683780,-242
chrXII,165979,166609,11.16541694,chrXII,166536,167136,YLR009W,4363,+,0,166294,-242
chrXII,439822,440626,16.01279069,chrXII,440466,441288,YLR150W,4509,+,0,440224,-242
chrV,484230,484861,6.878068693,chrV,484787,487193,YER157W,405,+,0,484545.5,-241.5
chrVI,196483,196698,17.1872236,chrVI,196832,199034,YFR022W,2510,+,-135,196590.5,-241.5
chrVII,115475,116158,10.98045999,chrVII,116058,117561,YGL202W,3754,+,0,115816.5,-241.5
chrVIII,207125,207698,4.833110611,chrVIII,207653,209303,YHR050W,5947,+,0,207411.5,-241.5
chrX,646948,647781,15.40594886,chrX,647606,649142,YJR121W,808,+,0,647364.5,-241.5
chrXII,371077,371678,12.64198909,chrXII,371619,372927,YLR113W,4469,+,0,371377.5,-241.5
chrII,297677,298289,4.795166509,chrII,296368,297742,YBR029C,1012,-,0,297983,-241
chrIV,77874,78540,16.32673818,chrIV,77288,77966,YDL213C,1351,-,0,78207,-241
chrVI,102902,103834,10.96127255,chrVI,101627,103127,YFL018C,2462,-,0,103368,-241
chrX,434473,435311,8.30496601,chrX,433220,434651,YJL002C,683,-,0,434892,-241
chrXIII,583918,584406,5.710027555,chrXIII,578950,583921,YMR162C,6480,-,0,584162,-241
chrVII,953396,954045,7.243195246,chrVII,952547,953480,YGR231C,4214,-,0,953720.5,-240.5
chrVIII,261726,261937,7.084421118,chrVIII,258243,261591,YHR079C,5987,-,-136,261831.5,-240.5
chrXII,737216,738360,11.63400341,chrXII,735211,737548,YLR304C,4689,-,0,737788,-240
chrII,490300,490963,12.61368959,chrII,488904,490392,YBR126C,1119,-,0,490631.5,-239.5
chrVII,283809,284544,10.88441843,chrVII,281633,283937,YGL120C,3839,-,0,284176.5,-239.5
chrIX,249428,250073,10.35028336,chrIX,249990,251913,YIL056W,2294,+,0,249750.5,-239.5
chrVIII,488064,488769,13.52236317,chrVIII,488656,490396,YHR194W,6115,+,0,488416.5,-239.5
chrX,521468,522147,16.59108586,chrX,522047,523862,YJR046W,732,+,0,521807.5,-239.5
chrX,611897,612448,7.358650657,chrX,612412,612931,YJR097W,783,+,0,612172.5,-239.5
chrXII,906383,907294,11.50802194,chrXII,907078,907918,YLR393W,4785,+,0,906838.5,-239.5
chrXIII,619266,619969,4.144191085,chrXIII,619857,622134,YMR179W,6500,+,0,619617.5,-239.5
chrIV,171908,172574,13.97402525,chrIV,172480,174028,YDL159W,1408,+,0,172241,-239
chrXIII,513914,514518,3.224428905,chrXIII,514455,517287,YMR124W,6437,+,0,514216,-239
chrXIV,619433,620221,18.21744254,chrXIV,620066,620978,YNL006W,5220,+,0,619827,-239
chrXVI,69110,69380,2.595931044,chrXVI,69484,70951,YPL254W,5339,+,-105,69245,-239
chrVIII,38301,39192,9.891428415,chrVIII,36378,38508,YHL032C,5849,-,0,38746.5,-238.5
chrXV,1060904,1061683,6.086691578,chrXV,1060440,1061055,YOR383C,3491,-,0,1061293.5,-238.5
chrVII,953396,954045,7.243195246,chrVII,953959,954646,YGR232W,4215,+,0,953720.5,-238.5
chrXIV,646876,647500,9.795098093,chrXIV,644319,646950,YNR011C,5238,-,0,647188,-238
chrX,136581,137440,9.785306865,chrX,136371,136773,YJL151C,527,-,0,137010.5,-237.5
chrII,704181,704682,11.13468368,chrII,704669,705386,YBR242W,1250,+,0,704431.5,-237.5
chrIV,1168609,1169270,12.4989552,chrIV,1169177,1170143,YDR347W,1952,+,0,1168939.5,-237.5
chrIV,167150,167832,3.158925319,chrIV,164986,167254,YDL164C,1401,-,0,167491,-237
chrXV,127914,128400,2.678435127,chrXV,126981,127920,YOL101C,2970,-,0,128157,-237
chrXVI,373329,373781,7.344000486,chrXVI,373792,375169,YPL092W,5510,+,-12,373555,-237
chrII,362439,363062,11.65067985,chrII,360651,362514,YBR060C,1046,-,0,362750.5,-236.5
chrIV,190463,191182,13.14046036,chrIV,188153,190586,YDL148C,1420,-,0,190822.5,-236.5
chrXII,245101,245716,5.092913721,chrXII,243885,245172,YLR049C,4404,-,0,245408.5,-236.5
chrXII,423386,424033,5.585031578,chrXII,421541,423473,YLR139C,4496,-,0,423709.5,-236.5
chrIV,1288826,1289511,4.416779192,chrIV,1289405,1292120,YDR409W,2023,+,0,1289168.5,-236.5
chrXI,608281,608921,11.64510818,chrXI,605632,608365,YKR089C,2881,-,0,608601,-236
chrXVI,169219,169929,8.310898048,chrXVI,168087,169338,YPL202C,5394,-,0,169574,-236
chrIV,593368,593944,13.37882568,chrIV,593892,596583,YDR074W,1655,+,0,593656,-236
chrIV,675561,676169,3.920564622,chrIV,676101,677802,YDR110W,1694,+,0,675865,-236
chrVII,914655,915353,13.4982691,chrVII,915240,916701,YGR211W,4194,+,0,915004,-236
chrXII,363719,364228,16.5788133,chrXII,349005,363738,YLR106C,4462,-,0,363973.5,-235.5
chrXVI,286111,286482,5.772468569,chrXVI,283463,286061,YPL141C,5458,-,-51,286296.5,-235.5
chrIV,690224,691331,16.55926956,chrIV,691013,691214,YDR119W-A,1705,+,0,690777.5,-235.5
chrII,360129,360715,8.298814804,chrII,356860,360187,YBR059C,1045,-,0,360422,-235
chrXII,130672,131024,12.46652011,chrXII,129329,130613,YLL010C,4344,-,-60,130848,-235
chrIX,113185,113955,7.176458811,chrIX,113805,116904,YIL128W,2216,+,0,113570,-235
chrXIV,91517,91999,11.46891028,chrXIV,91993,94801,YNL287W,4924,+,0,91758,-235
chrXV,103686,104494,3.60652563,chrXV,104325,106293,YOL113W,2956,+,0,104090,-235
chrXV,316510,316894,9.666048004,chrXV,316937,321548,YOL004W,3076,+,-44,316702,-235
chrIV,602781,603426,6.948447858,chrIV,602197,602869,YDR078C,1659,-,0,603103.5,-234.5
chrXI,106814,107347,9.343316749,chrXI,107315,108599,YKL181W,2595,+,0,107080.5,-234.5
chrXII,965361,965962,11.78565069,chrXII,965896,971695,YLR422W,4819,+,0,965661.5,-234.5
chrXV,128833,129170,5.970841227,chrXV,129236,132482,YOL100W,2971,+,-67,129001.5,-234.5
chrXV,271459,271749,6.734616593,chrXV,270632,271370,YOL028C,3049,-,-90,271604,-234
chrXV,841887,842945,14.48686661,chrXV,841958,842182,snR31,6166,-,0,842416,-234
chrV,27022,27822,8.202187856,chrV,27656,29543,YEL065W,135,+,0,27422,-234
chrIII,61057,61756,6.852444723,chrIII,60840,61173,YCL035C,3542,-,0,61406.5,-233.5
chrVIII,341358,341827,12.55733952,chrVIII,340108,341359,YHR115C,6025,-,0,341592.5,-233.5
chrII,145575,146347,11.38460251,chrII,143988,145728,YBL039C,937,-,0,145961,-233
chrIV,1249795,1250313,5.710135464,chrIV,1248153,1249821,YDR387C,2000,-,0,1250054,-233
chrXIV,380685,381443,10.69851205,chrXIV,379557,380831,YNL130C,5088,-,0,381064,-233
chrXVI,301214,301708,4.816321088,chrXVI,299887,301228,YPL133C,5467,-,0,301461,-233
chrXIV,529374,530042,8.782817088,chrXIV,529941,531411,YNL053W,5171,+,0,529708,-233
chrV,522564,523239,6.591909338,chrV,521028,522669,YER168C,419,-,0,522901.5,-232.5
chrIX,320903,321538,8.576392829,chrIX,321453,321933,YIL016W,2340,+,0,321220.5,-232.5
chrXI,213807,214010,4.445799596,chrXI,214141,216700,YKL121W,2659,+,-132,213908.5,-232.5
chrVII,510914,511554,8.441516171,chrVII,509046,511002,YGR009C,3972,-,0,511234,-232
chrXIV,365690,366208,7.839524561,chrXIV,360923,365717,YNL139C,5078,-,0,365949,-232
chrXII,853049,854609,9.27623896,chrXII,854061,854391,YLR364W,4755,+,0,853829,-232
chrXVI,801817,802435,14.46854072,chrXVI,802358,804080,YPR137W,5745,+,0,802126,-232
chrIV,42190,42761,10.75684862,chrIV,38866,42244,YDL231C,1333,-,0,42475.5,-231.5
chrIV,1349900,1350439,6.508826383,chrIV,1345675,1349938,YDR443C,2057,-,0,1350169.5,-231.5
chrV,159026,159673,6.510578305,chrV,157735,159118,YER003C,214,-,0,159349.5,-231.5
chrXII,982502,982821,5.277489915,chrXII,982893,986817,YLR425W,4822,+,-73,982661.5,-231.5
chrXII,1022141,1022644,6.152492859,chrXII,1022624,1023971,YLR443W,4842,+,0,1022392.5,-231.5
chrXIII,867040,867604,9.776592945,chrXIII,865558,867091,YMR300C,6632,-,0,867322,-231
chrVI,90438,91070,5.296000514,chrVI,90985,93376,YFL023W,2456,+,0,90754,-231
chrVII,368198,368844,3.08194101,chrVII,368752,371254,YGL073W,3886,+,0,368521,-231
chrX,90020,91088,14.54870632,chrX,90785,91657,YJL177W,500,+,0,90554,-231
chrXIV,622329,623037,10.0831891,chrXIV,622914,624621,YNL004W,5222,+,0,622683,-231
chrII,121940,122269,3.578933515,chrII,119378,121874,YBL052C,923,-,-67,122104.5,-230.5
chrIII,289154,289661,10.09868821,chrIII,289638,289797,YCR095W-A,3676,+,0,289407.5,-230.5
chrX,587231,587742,8.374103267,chrX,587717,590582,YJR089W,774,+,0,587486.5,-230.5
chrIV,560617,561093,4.691783273,chrIV,558510,560625,YDR052C,1633,-,0,560855,-230
chrIV,1410050,1410598,5.230556992,chrIV,1407463,1410094,YDR475C,2090,-,0,1410324,-230
chrVII,950865,951393,13.50190244,chrVII,949381,950899,YGR229C,4212,-,0,951129,-230
chrXV,423744,424180,4.569511822,chrXV,422667,423732,YOR049C,3134,-,-13,423962,-230
chrIV,1116563,1117227,6.191402689,chrIV,1117125,1120233,YDR325W,1930,+,0,1116895,-230
chrVIII,400836,401570,4.783923867,chrVIII,401433,401955,YHR152W,6067,+,0,401203,-230
chrIV,271828,272433,5.993403003,chrIV,270221,271901,YDL106C,1465,-,0,272130.5,-229.5
chrIV,975877,976146,1.319654255,chrIV,974630,975782,YDR259C,1855,-,-96,976011.5,-229.5
chrVII,244983,245500,8.461999945,chrVII,241352,245012,YGL140C,3818,-,0,245241.5,-229.5
chrV,159026,159673,6.510578305,chrV,159579,160275,YER004W,215,+,0,159349.5,-229.5
chrIV,1135322,1135998,7.814410044,chrIV,1133259,1135431,YDR333C,1938,-,0,1135660,-229
chrIII,279746,280351,9.973801117,chrIII,276763,279820,YCR092C,3672,-,0,280048.5,-228.5
chrVII,482503,483285,18.00106273,chrVII,479909,482666,YGL008C,3954,-,0,482894,-228
chrVII,640266,640932,6.032354114,chrVII,639771,640371,YGR078C,4048,-,0,640599,-228
chrVIII,364142,364620,6.526048848,chrVIII,362998,364153,YHR129C,6039,-,0,364381,-228
chrXII,260413,261137,9.774179196,chrXII,259737,260547,YLR059C,4414,-,0,260775,-228
chrXIII,145777,146729,16.21705072,chrXIII,146481,147249,YML063W,6230,+,0,146253,-228
chrII,501407,501932,8.554513029,chrII,499651,501442,YBR132C,1128,-,0,501669.5,-227.5
chrXVI,272765,273320,4.068692449,chrXVI,272293,272815,YPL148C,5451,-,0,273042.5,-227.5
chrIII,246565,247055,2.821277426,chrIII,242587,246583,YCR073C,3652,-,0,246810,-227
chrIV,1035544,1036060,1.449203494,chrIV,1035230,1035575,YDR286C,1886,-,0,1035802,-227
chrXIV,597583,597949,7.660149029,chrXIV,595622,597539,YNL020C,5206,-,-45,597766,-227
chrVII,904630,905388,15.35636782,chrVII,905236,905683,YGR203W,4185,+,0,905009,-227
chrXI,34005,34625,10.80935474,chrXI,34542,36414,YKL212W,2565,+,0,34315,-227
chrII,568357,568948,12.03274739,chrII,567874,568426,YBR164C,1162,-,0,568652.5,-226.5
chrXV,302999,303524,11.97102688,chrXV,301379,303035,YOL013C,3067,-,0,303261.5,-226.5
chrI,168893,169402,7.480866777,chrI,169374,170295,YAR015W,93,+,0,169147.5,-226.5
chrII,473868,474436,5.03587369,chrII,469747,473926,YBR115C,1107,-,0,474152,-226
chrVII,420413,421149,15.56714195,chrVII,419526,420555,YGL040C,3921,-,0,420781,-226
chrVIII,315854,316534,5.05098113,chrVIII,314873,315968,YHR101C,6011,-,0,316194,-226
chrXIII,494375,495067,4.813021273,chrXIII,494099,494495,YMR112C,6423,-,0,494721,-226
chrXIII,382800,383352,6.897916909,chrXIII,383302,385975,YMR054W,6362,+,0,383076,-226
chrII,132023,132508,6.346056132,chrII,127894,132040,YBL047C,928,-,0,132265.5,-225.5
chrVI,54419,55424,17.18605621,chrVI,53259,54696,YFL039C,2438,-,0,54921.5,-225.5
chrVII,494136,494663,10.5575405,chrVII,492473,494174,YGL003C,3961,-,0,494399.5,-225.5
chrXI,237037,237582,13.31329275,chrXI,237535,238891,YKL106W,2675,+,0,237309.5,-225.5
chrXV,537139,537548,5.195873813,chrXV,537569,538454,YOR114W,3202,+,-22,537343.5,-225.5
chrV,467471,467919,4.432590483,chrV,466207,467470,YER149C,396,-,-2,467695,-225
chrII,145575,146347,11.38460251,chrII,146186,146885,YBL038W,939,+,0,145961,-225
chrIV,452457,453181,12.3553565,chrIV,453044,453650,YDR002W,1577,+,0,452819,-225
chrVII,996286,997000,6.840881781,chrVII,996868,998188,YGR252W,4236,+,0,996643,-225
chrVIII,97874,98449,6.565462325,chrVIII,95117,97937,YHL007C,5879,-,0,98161.5,-224.5
chrIV,428642,429041,5.231956404,chrIV,429066,430926,YDL013W,1562,+,-26,428841.5,-224.5
chrXVI,739501,740170,6.061306051,chrXVI,740060,741392,YPR106W,5712,+,0,739835.5,-224.5
chrVII,157586,158054,10.67647937,chrVII,157272,157596,YGL182C,3776,-,0,157820,-224
chrXIV,400356,401166,9.749244648,chrXIV,398683,400537,YNL121C,5098,-,0,400761,-224
chrIV,1150354,1150958,9.346706857,chrIV,1150880,1151183,YDR340W,1945,+,0,1150656,-224
chrV,13162,13828,10.20617223,chrV,13719,14415,YEL072W,128,+,0,13495,-224
chrXVI,230734,231250,8.24736155,chrXVI,231216,232509,YPL168W,5430,+,0,230992,-224
chrXI,489616,490141,8.521905201,chrXI,488737,489655,YKR026C,2816,-,0,489878.5,-223.5
chrXIII,43465,44132,9.278389101,chrXIII,42042,43575,YML114C,6174,-,0,43798.5,-223.5
chrXV,504206,504897,10.50045041,chrXV,503551,504328,YOR095C,3182,-,0,504551.5,-223.5
chrIV,42190,42761,10.75684862,chrIV,42699,43707,YDL230W,1334,+,0,42475.5,-223.5
chrIV,817295,818156,14.09296591,chrIV,817949,818495,YDR178W,1765,+,0,817725.5,-223.5
chrIX,270761,271112,1.386458224,chrIX,271160,272777,YIL045W,2307,+,-49,270936.5,-223.5
chrXII,406862,407228,11.96939779,chrXII,404509,406822,YLR131C,4488,-,-41,407045,-223
chrXIV,11125,11331,4.447551858,chrXIV,11451,12129,YNL335W,4876,+,-121,11228,-223
chrVIII,436946,437395,5.638844187,chrVIII,429706,436948,YHR165C,6080,-,0,437170.5,-222.5
chrXI,401985,402620,7.037230783,chrXI,398831,402080,YKL020C,2769,-,0,402302.5,-222.5
chrXII,17585,18086,11.86086493,chrXII,16638,17613,YLL062C,4292,-,0,17835.5,-222.5
chrXV,96311,96856,3.334461494,chrXV,94855,96361,YOL119C,2950,-,0,96583.5,-222.5
