peakName,factorName,gene,geneLabel,Km_western,n_western,Km_nls,Vmax_nls,R2_nls
chrI_8969_9501,TFIIE,SEO1,chrI_8969_9501:SEO1,40.33515662,2.936909628,47.15996809,1.104904975,0.992649837
chrI_11040_11486,TFIIE,YAL065C,chrI_11040_11486:YAL065C,40.33515662,2.936909628,60.92737446,1.193364893,0.962033755
chrI_23719_24123,TFIIE,YAL063C-A,chrI_23719_24123:YAL063C-A,40.33515662,2.936909628,43.42339607,0.964073576,0.971955568
chrI_24686_25038,TFIIE,YAL063C-A,chrI_24686_25038:YAL063C-A,40.33515662,2.936909628,43.16244054,0.94237804,0.965677041
chrI_29964_30267,TFIIE,GDH3,chrI_29964_30267:GDH3,40.33515662,2.936909628,56.66562472,1.188064486,0.96926363
chrI_30677_31759,TFIIE,GDH3,chrI_30677_31759:GDH3,40.33515662,2.936909628,57.57914812,1.138896629,0.983030465
chrI_32467_33479,TFIIE,BDH2,chrI_32467_33479:BDH2,40.33515662,2.936909628,52.43745147,1.102977264,0.999109044
chrI_34311_35301,TFIIE,BDH1,chrI_34311_35301:BDH1,40.33515662,2.936909628,60.18699098,1.189489002,0.987325431
chrI_36297_36673,TFIIE,ECM1,chrI_36297_36673:ECM1,40.33515662,2.936909628,58.88047691,1.152090685,0.982581913
chrI_37223_37499,TFIIE,CNE1,chrI_37223_37499:CNE1,40.33515662,2.936909628,44.99628814,1.127343152,0.987248131
chrI_39064_39357,TFIIE,GPB2,chrI_39064_39357:GPB2,40.33515662,2.936909628,54.88278171,0.962657538,0.944848937
chrI_42080_42226,TFIIE,PEX22,chrI_42080_42226:PEX22,40.33515662,2.936909628,45.27309795,1.06131687,0.988010175
chrI_44978_45231,TFIIE,ACS1,chrI_44978_45231:ACS1,40.33515662,2.936909628,51.26113895,1.138829931,0.99015913
chrI_45565_46019,TFIIE,FLC2,chrI_45565_46019:FLC2,40.33515662,2.936909628,57.79239863,1.189277904,0.96417917
chrI_48389_48641,TFIIE,OAF1,chrI_48389_48641:OAF1,40.33515662,2.936909628,62.53032643,1.100963735,0.993200652
chrI_52586_52819,TFIIE,AIM2,chrI_52586_52819:AIM2,40.33515662,2.936909628,42.4791676,1.110678548,0.980526103
chrI_54690_54958,TFIIE,GEM1,chrI_54690_54958:GEM1,40.33515662,2.936909628,51.46310099,0.996348366,0.959027204
chrI_56808_56962,TFIIE,SPC72,chrI_56808_56962:SPC72,40.33515662,2.936909628,43.22341817,1.064408017,0.984688942
chrI_57265_57640,TFIIE,BOL1,chrI_57265_57640:BOL1,40.33515662,2.936909628,43.78318083,1.059573692,0.998134863
chrI_58293_58639,TFIIE,GCV3,chrI_58293_58639:GCV3,40.33515662,2.936909628,49.70380789,1.168111908,0.985167626
