chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIV,703958,704509,7.707717202,chrIV,704483,709250,YDR127W,1713,+,0,704233.5,-249.5
chrII,87649,88233,8.884701976,chrII,88190,88277,snR56,5834,+,0,87941,-249
chrXIV,89857,90249,1.442693053,chrXIV,90302,91424,YNL288W,4923,+,-54,90053,-249
chrX,139912,140484,8.585043014,chrX,139761,139950,snR190,5879,-,0,140198,-248
chrXV,377666,378275,7.679968964,chrXV,378218,379562,YOR025W,3108,+,0,377970.5,-247.5
chrXII,795064,795477,7.095383668,chrXII,794937,795024,snR57,5835,-,-41,795270.5,-246.5
chrXII,369958,370728,8.572635288,chrXII,369696,370098,YLR110C,4466,-,0,370343,-245
chrXII,260529,261053,6.377264221,chrXII,259737,260547,YLR059C,4414,-,0,260791,-244
chrVIII,143505,143997,7.81552897,chrVIII,143995,146062,YHR020W,5910,+,0,143751,-244
chrXII,1011973,1012539,7.588597837,chrXII,1012500,1013775,YLR438W,4836,+,0,1012256,-244
chrXV,619423,619768,5.304863347,chrXV,619839,624375,YOR153W,3243,+,-72,619595.5,-243.5
chrVIII,554068,554239,5.677404212,chrVIII,554395,555967,YHR216W,6146,+,-157,554153.5,-241.5
chrXII,672567,673210,5.291364766,chrXII,673130,673334,YLR264W,4644,+,0,672888.5,-241.5
chrII,490348,490917,7.425348396,chrII,488904,490392,YBR126C,1119,-,0,490632.5,-240.5
chrXII,1002087,1002545,6.423889017,chrXII,1002556,1004128,YLR432W,4829,+,-12,1002316,-240
chrXIII,625844,626375,7.279523684,chrXIII,626349,626654,snR83,6218,+,0,626109.5,-239.5
chrIV,699557,699857,6.965727653,chrIV,698553,699468,YDR123C,1709,-,-90,699707,-239
chrIV,341103,341656,7.920559192,chrIV,341618,343985,YDL060W,1513,+,0,341379.5,-238.5
chrIX,96347,97398,7.097593049,chrIX,97111,97246,snR68,5846,+,0,96872.5,-238.5
chrX,139912,140484,8.585043014,chrX,140436,141138,YJL148W,530,+,0,140198,-238
chrVIII,315931,316480,7.25829047,chrVIII,314873,315968,YHR101C,6011,-,0,316205.5,-237.5
chrXI,466121,466492,2.28274834,chrXI,465366,466071,YKR014C,2804,-,-51,466306.5,-235.5
chrXVI,286164,286429,4.218630629,chrXVI,283463,286061,YPL141C,5458,-,-104,286296.5,-235.5
chrXII,1011973,1012539,7.588597837,chrXII,1011621,1012023,YLR437C,4834,-,0,1012256,-233
chrXVI,462061,462335,2.371493585,chrXVI,460778,461966,YPL050C,5552,-,-96,462198,-232
chrXI,519140,519451,2.16743554,chrXI,519526,520624,YKR042W,2833,+,-76,519295.5,-230.5
chrXV,522558,523034,6.616722624,chrXV,523026,524841,YOR108W,3195,+,0,522796,-230
chrXV,83369,83840,4.819352717,chrXV,83833,85264,YOL125W,2944,+,0,83604.5,-228.5
chrX,620251,620799,2.579613852,chrX,620753,622490,YJR103W,789,+,0,620525,-228
chrXVI,644913,646533,7.663868792,chrXVI,645949,646153,YPR036W-A,5642,+,0,645723,-226
chrXV,544268,544468,5.530186405,chrXV,539762,544145,YOR116C,3204,-,-124,544368,-223
chrIV,1171957,1172134,1.195749594,chrIV,1170325,1171825,YDR348C,1953,-,-133,1172045.5,-220.5
chrIV,1002131,1002354,1.412790332,chrIV,1000103,1002023,YDR266C,1866,-,-109,1002242.5,-219.5
chrVII,443017,443239,6.278420904,chrVII,441280,442909,YGL028C,3933,-,-109,443128,-219
chrIV,600157,600992,8.139300804,chrIV,600792,601809,YDR077W,1658,+,0,600574.5,-217.5
chrV,84571,86345,8.075974163,chrV,85675,86149,YEL034W,170,+,0,85458,-217
chrII,490348,490917,7.425348396,chrII,490849,491056,YBR126W-A,1120,+,0,490632.5,-216.5
chrVIII,364255,364479,1.417275303,chrVIII,362998,364153,YHR129C,6039,-,-103,364367,-214
chrVIII,98785,99223,1.632821431,chrVIII,99218,100403,YHL004W,5883,+,0,99004,-214
chrIX,288887,289347,6.606269152,chrIX,287789,288908,YIL035C,2317,-,0,289117,-209
chrVIII,98785,99223,1.632821431,chrVIII,98342,98795,YHL006C,5881,-,0,99004,-209
chrXIII,592734,592940,6.537651807,chrXIII,590039,592628,YMR165C,6483,-,-107,592837,-209
chrIX,353518,353761,1.767868601,chrIX,350590,353431,YIL002C,2357,-,-88,353639.5,-208.5
chrXVI,731482,732429,7.733752454,chrXVI,731223,731748,YPR102C,5708,-,0,731955.5,-207.5
chrXVI,581218,581588,1.420974417,chrXVI,577584,581196,YPR010C,5613,-,-23,581403,-207
chrIV,1288928,1289468,3.207364397,chrIV,1289405,1292120,YDR409W,2023,+,0,1289198,-207
chrXIV,585252,585740,5.647092592,chrXIV,584319,585291,YNL025C,5200,-,0,585496,-205
chrXV,759333,759820,2.310733629,chrXV,759781,760660,YOR223W,3320,+,0,759576.5,-204.5
chrXI,364429,364718,6.208305774,chrXI,364776,364876,snR69,5847,+,-59,364573.5,-202.5
chrXV,316564,316907,5.848411743,chrXV,316937,321548,YOL004W,3076,+,-31,316735.5,-201.5
chrXII,166087,166480,7.003303686,chrXII,165576,166083,YLR008C,4362,-,-5,166283.5,-200.5
chrVII,366493,366845,2.775287886,chrVII,366374,366469,snR39B,6173,-,-25,366669,-200
chrXIV,88854,89167,10.02116945,chrXIV,89210,89306,snR40,6174,+,-44,89010.5,-199.5
chrXV,592513,593058,1.192419472,chrXV,589941,592587,YOR141C,3229,-,0,592785.5,-198.5
chrVIII,280410,280832,1.688874633,chrVIII,280819,281155,YHR087W,5997,+,0,280621,-198
chrVIII,410853,411207,9.037654297,chrVIII,411228,411317,snR71,5849,+,-22,411030,-198
chrXI,34068,34541,6.615811577,chrXI,31959,34107,YKL213C,2564,-,0,34304.5,-197.5
chrXIII,208948,209166,3.241528535,chrXIII,206427,208860,YML035C,6262,-,-89,209057,-197
chrXVI,653603,654335,8.34937015,chrXVI,654165,654847,YPR043W,5649,+,0,653969,-196
chrIV,1355422,1356075,8.04274082,chrIV,1354828,1355553,YDR447C,2061,-,0,1355748.5,-195.5
chrXI,75484,75974,6.221221213,chrXI,74931,75534,YKL196C,2579,-,0,75729,-195
chrXIII,912200,912476,1.438688045,chrXIII,911060,912143,YMR318C,6656,-,-58,912338,-195
chrVIII,143505,143997,7.81552897,chrVIII,141893,143558,YHR019C,5909,-,0,143751,-193
chrXI,321602,321819,5.903021182,chrXI,321014,321518,YKL063C,2723,-,-85,321710.5,-192.5
chrXVI,225804,226062,1.322091523,chrXVI,224352,225741,YPL172C,5426,-,-64,225933,-192
chrVIII,65874,66224,2.189244805,chrVIII,64461,65859,YHL021C,5861,-,-16,66049,-190
chrXII,404128,404376,7.141183489,chrXII,402793,404062,YLR130C,4487,-,-67,404252,-190
chrIX,53646,54148,7.482168101,chrIX,51758,53708,YIL155C,2187,-,0,53897,-189
chrIV,1401245,1401915,7.649536934,chrIV,1401769,1402564,YDR471W,2087,+,0,1401580,-189
chrVIII,74910,75538,7.680712137,chrVIII,75411,75777,YHL015W,5869,+,0,75224,-187
chrVIII,470556,470988,7.856234088,chrVIII,470959,472429,YHR183W,6103,+,0,470772,-187
chrXII,260529,261053,6.377264221,chrXII,260978,262766,YLR060W,4415,+,0,260791,-187
chrV,214677,215075,7.369767356,chrV,215062,217693,YER032W,248,+,0,214876,-186
chrXII,286426,286840,6.326892739,chrXII,286819,287674,YLR079W,4434,+,0,286633,-186
chrXV,259195,259411,8.515115563,chrXV,259489,259578,snR50,5828,+,-79,259303,-186
chrVI,55911,56388,7.014988878,chrVI,56335,57709,YFL037W,2440,+,0,56149.5,-185.5
chrII,297705,298149,6.938312206,chrII,296368,297742,YBR029C,1012,-,0,297927,-185
chrX,373879,374089,1.992017795,chrX,368747,373799,YJL039C,647,-,-81,373984,-185
chrXIV,407963,408347,4.954455348,chrXIV,408340,409909,YNL116W,5103,+,0,408155,-185
chrIV,1178145,1178571,2.244163647,chrIV,1176119,1178174,YDR350C,1955,-,0,1178358,-184
chrXIII,627810,628172,6.95577809,chrXIII,626920,627808,YMR183C,6505,-,-3,627991,-183
chrXVI,404141,404390,7.467137313,chrXVI,398479,404083,YPL082C,5520,-,-59,404265.5,-182.5
chrXV,682053,682522,1.441990436,chrXV,681443,682106,YOR185C,3278,-,0,682287.5,-181.5
chrXV,578286,578477,1.791497253,chrXV,578563,579793,YOR134W,3222,+,-87,578381.5,-181.5
