chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXIII,236050,236624,2.082195876,chrXIII,236587,238731,YML017W,6281,+,0,236337,-250
chrXV,103756,104394,12.19549491,chrXV,104325,106293,YOL113W,2956,+,0,104075,-250
chrIV,365897,366350,2.329641666,chrIV,365067,365874,YDL049C,1524,-,-24,366123.5,-249.5
chrII,625192,625851,2.246065645,chrII,625771,628309,YBR202W,1206,+,0,625521.5,-249.5
chrXIII,901232,901878,1.637798959,chrXIII,899378,901307,YMR313C,6648,-,0,901555,-248
chrVII,190604,191156,2.068508717,chrVII,191128,191806,YGL166W,3792,+,0,190880,-248
chrXI,205204,205712,2.209479491,chrXI,205706,207749,YKL126W,2654,+,0,205458,-248
chrXI,635256,635596,7.431002876,chrXI,633025,635179,YKR098C,2891,-,-78,635426,-247
chrXII,709944,710822,5.443044466,chrXII,708447,710136,YLR286C,4668,-,0,710383,-247
chrX,293945,294510,2.691581628,chrX,291335,293981,YJL078C,604,-,0,294227.5,-246.5
chrV,132395,133350,9.536179439,chrV,133119,135234,YEL011W,199,+,0,132872.5,-246.5
chrVI,81861,82804,4.367580696,chrVI,82579,83875,YFL026W,2453,+,0,82332.5,-246.5
chrXIII,46459,46930,3.958598897,chrXIII,46941,49704,YML111W,6177,+,-12,46694.5,-246.5
chrXVI,901425,902168,10.00333127,chrXVI,902043,906654,YPR184W,5805,+,0,901796.5,-246.5
chrV,214496,215136,1.86886827,chrV,215062,217693,YER032W,248,+,0,214816,-246
chrIII,24065,24980,2.725718847,chrIII,24767,26906,YCL057W,3520,+,0,24522.5,-244.5
chrIV,304691,305292,2.415545576,chrIV,305236,306577,YDL084W,1489,+,0,304991.5,-244.5
chrIV,452470,453130,3.770521079,chrIV,453044,453650,YDR002W,1577,+,0,452800,-244
chrXIV,622374,622966,3.34596868,chrXIV,622914,624621,YNL004W,5222,+,0,622670,-244
chrXVI,526586,527667,3.453163277,chrXVI,525809,526883,YPL015C,5588,-,0,527126.5,-243.5
chrXIII,562523,563181,3.804168006,chrXIII,563095,564193,YMR152W,6467,+,0,562852,-243
chrXIV,237726,238085,4.438140361,chrXIV,235995,237663,YNL219C,4995,-,-64,237905.5,-242.5
chrXIV,622374,622966,3.34596868,chrXIV,621312,622428,YNL005C,5221,-,0,622670,-242
chrXVI,251663,252157,3.983514601,chrXVI,250906,251668,YPL159C,5439,-,0,251910,-242
chrXIII,477424,478218,22.43338275,chrXIII,478063,478258,YMR105W-A,6416,+,0,477821,-242
chrXIV,529450,529948,2.174318849,chrXIV,529941,531411,YNL053W,5171,+,0,529699,-242
chrIX,301298,301699,5.477516435,chrIX,300828,301257,YIL029C,2325,-,-42,301498.5,-241.5
chrXIV,726338,726579,8.727882495,chrXIV,726134,726217,tL(UAA)N,6023,-,-122,726458.5,-241.5
chrVI,58417,58663,9.420652669,chrVI,58781,62837,YFL036W,2441,+,-119,58540,-241
chrXII,588781,589444,2.761532827,chrXII,589353,590541,YLR226W,4602,+,0,589112.5,-240.5
chrVII,427621,428753,13.66661588,chrVII,427296,427947,YGL037C,3924,-,0,428187,-240
chrV,318382,318976,1.663572072,chrV,318919,319552,YER079W,309,+,0,318679,-240
chrXIII,545637,546131,6.000365901,chrXIII,546124,547237,YMR139W,6453,+,0,545884,-240
chrIV,1465796,1466255,2.758874822,chrIV,1462357,1465786,YDR507C,2122,-,-11,1466025.5,-239.5
chrII,490238,491024,9.918050728,chrII,488904,490392,YBR126C,1119,-,0,490631,-239
chrXVI,789676,790012,1.93243619,chrXVI,790082,791120,YPR127W,5734,+,-71,789844,-238
chrII,216877,217586,5.67396318,chrII,217469,220400,YBL005W,975,+,0,217231.5,-237.5
chrIX,270706,271139,11.81693367,chrIX,271160,272777,YIL045W,2307,+,-22,270922.5,-237.5
chrV,298163,299260,3.76770604,chrV,298949,301616,YER070W,297,+,0,298711.5,-237.5
chrXVI,744178,744723,1.707003358,chrXVI,744688,745573,YPR109W,5716,+,0,744450.5,-237.5
chrIV,461252,461957,3.729176329,chrIV,461841,462516,YDR007W,1583,+,0,461604.5,-236.5
chrIV,190535,191109,3.026002425,chrIV,188153,190586,YDL148C,1420,-,0,190822,-236
chrXI,381819,382369,3.872091003,chrXI,380064,381858,YKL032C,2756,-,0,382094,-236
chrXIV,516553,517344,2.339669881,chrXIV,515762,516713,YNL058C,5165,-,0,516948.5,-235.5
chrXV,128905,129096,6.026848589,chrXV,129236,132482,YOL100W,2971,+,-141,129000.5,-235.5
chrII,799869,800705,5.259529807,chrII,800522,801929,YBR297W,1307,+,0,800287,-235
chrIV,1288874,1289466,4.841751366,chrIV,1289405,1292120,YDR409W,2023,+,0,1289170,-235
chrIV,690372,691185,4.014308796,chrIV,691013,691214,YDR119W-A,1705,+,0,690778.5,-234.5
chrXIII,334670,335283,8.594124863,chrXIII,332211,334743,YMR031C,6335,-,0,334976.5,-233.5
chrXIV,613136,613671,2.012527781,chrXIV,611835,613170,YNL011C,5215,-,0,613403.5,-233.5
chrXVI,882821,883466,1.676133883,chrXVI,883377,883563,YPR170W-A,5791,+,0,883143.5,-233.5
chrIV,416523,417359,2.311709121,chrIV,415112,416708,YDL020C,1555,-,0,416941,-233
chrIV,1361997,1362830,4.222094198,chrIV,1361119,1362181,YDR451C,2065,-,0,1362413.5,-232.5
chrII,488469,488755,1.720264543,chrII,487198,488380,YBR125C,1118,-,-90,488612,-232
chrXI,615181,615813,7.676506433,chrXI,615729,617535,YKR093W,2885,+,0,615497,-232
chrII,107388,107886,5.196213533,chrII,105315,107406,YBL061C,913,-,0,107637,-231
chrV,75492,75932,2.618546729,chrV,75943,77431,YEL041W,162,+,-12,75712,-231
chrII,618518,618989,2.09514216,chrII,616126,618523,YBR198C,1200,-,0,618753.5,-230.5
chrIX,47340,48205,3.598365159,chrIX,46948,47542,YIL157C,2183,-,0,47772.5,-230.5
chrVIII,170215,170934,3.493691173,chrVIII,168889,170344,YHR030C,5923,-,0,170574.5,-230.5
chrIV,1222234,1222821,2.90752518,chrIV,1222758,1223331,YDR373W,1983,+,0,1222527.5,-230.5
chrXIV,613136,613671,2.012527781,chrXIV,613634,614360,YNL010W,5216,+,0,613403.5,-230.5
chrVII,856269,856793,11.62804018,chrVII,855263,856301,YGR180C,4162,-,0,856531,-230
chrVIII,396695,397083,11.49717177,chrVIII,394454,396659,YHR149C,6064,-,-37,396889,-230
chrVI,194463,194699,1.992528254,chrVI,194811,196314,YFR021W,2509,+,-113,194581,-230
chrXI,610911,611677,3.013305939,chrXI,611524,612265,YKR091W,2883,+,0,611294,-230
chrII,362545,362942,1.996369823,chrII,360651,362514,YBR060C,1046,-,-32,362743.5,-229.5
chrX,142865,143259,2.0045273,chrX,143291,144701,YJL146W,532,+,-33,143062,-229
chrVIII,315903,316490,2.544638881,chrVIII,314873,315968,YHR101C,6011,-,0,316196.5,-228.5
chrX,434586,435283,3.432504718,chrX,435162,435926,YJL001W,684,+,0,434934.5,-227.5
chrII,544428,545012,5.019432966,chrII,541208,544493,YBR150C,1147,-,0,544720,-227
chrIV,147341,148291,13.0573434,chrIV,145825,147589,YDL174C,1391,-,0,147816,-227
chrXVI,781564,782070,9.811545549,chrXVI,782044,785671,YPR122W,5729,+,0,781817,-227
chrXVI,581177,581668,3.472111083,chrXVI,577584,581196,YPR010C,5613,-,0,581422.5,-226.5
chrVII,853316,853566,5.030268753,chrVII,851046,853215,YGR178C,4160,-,-102,853441,-226
chrIV,847746,848597,2.766658855,chrIV,845951,847946,YDR194C,1784,-,0,848171.5,-225.5
chrXII,703989,704510,1.881575962,chrXII,699998,704024,YLR278C,4659,-,0,704249.5,-225.5
chrXI,118234,118901,5.456352113,chrXI,118792,120304,YKL175W,2601,+,0,118567.5,-224.5
chrXV,267506,268417,2.469088167,chrXV,268186,269641,YOL030W,3047,+,0,267961.5,-224.5
chrXIV,310022,310540,3.46717361,chrXIV,308956,310057,YNL173C,5041,-,0,310281,-224
chrVIII,56241,56607,6.802221232,chrVIII,56648,58790,YHL024W,5858,+,-42,56424,-224
chrXIV,736379,736777,3.4968479,chrXIV,736802,738545,YNR059W,5288,+,-26,736578,-224
chrXIV,355057,355473,4.286274403,chrXIV,352819,355042,YNL144C,5072,-,-16,355265,-223
chrVII,472341,472923,4.722929426,chrVII,472854,474276,YGL012W,3950,+,0,472632,-222
chrXI,589920,590424,2.878225943,chrXI,590394,591357,YKR080W,2872,+,0,590172,-222
chrVII,581469,581846,9.155234339,chrVII,580434,581436,YGR043C,4012,-,-34,581657.5,-221.5
chrV,522495,523285,1.523164547,chrV,521028,522669,YER168C,419,-,0,522890,-221
chrXIV,518380,519752,3.284741342,chrXIV,517993,518845,YNL055C,5168,-,0,519066,-221
chrVIII,266893,267223,9.512400716,chrVIII,262800,266838,YHR080C,5989,-,-56,267058,-220
chrXII,982596,982750,1.344219788,chrXII,982893,986817,YLR425W,4822,+,-144,982673,-220
chrXVI,254269,254917,1.798602825,chrXVI,254813,255761,YPL157W,5441,+,0,254593,-220
chrVIII,151305,151746,3.943576084,chrVIII,151216,151306,YHR022C-A,5914,-,0,151525.5,-219.5
