peakName,factorName,gene,geneLabel,Km_western,n_western,Km_nls,Vmax_nls,R2_nls
chrI_11182_11339,TBP,YAL065C,chrI_11182_11339:YAL065C,33.25744787,4.953749379,32.06693983,0.812101769,0.924988402
chrI_23633_23975,TBP,YAL063C-A,chrI_23633_23975:YAL063C-A,33.25744787,4.953749379,28.83161839,0.929765024,0.87482266
chrI_29995_30147,TBP,GDH3,chrI_29995_30147:GDH3,33.25744787,4.953749379,31.55374181,0.971618264,0.984667698
chrI_30778_31402,TBP,GDH3,chrI_30778_31402:GDH3,33.25744787,4.953749379,33.72327479,0.843665118,0.95430781
chrI_33203_33427,TBP,BDH2,chrI_33203_33427:BDH2,33.25744787,4.953749379,32.49897719,0.854363428,0.958391935
chrI_34284_34500,TBP,BDH1,chrI_34284_34500:BDH1,33.25744787,4.953749379,34.08572814,1.456671756,0.699877387
chrI_34651_35258,TBP,BDH1,chrI_34651_35258:BDH1,33.25744787,4.953749379,34.28754985,1.167800473,0.963406884
chrI_36313_36579,TBP,ECM1,chrI_36313_36579:ECM1,33.25744787,4.953749379,31.94757805,1.011649376,0.989136513
chrI_37196_37401,TBP,CNE1,chrI_37196_37401:CNE1,33.25744787,4.953749379,30.39014818,0.848354626,0.924042007
chrI_42663_43171,TBP,PEX22,chrI_42663_43171:PEX22,33.25744787,4.953749379,29.16728315,1.005687688,0.957936857
chrI_43664_43889,TBP,ACS1,chrI_43664_43889:ACS1,33.25744787,4.953749379,28.48666476,0.976070405,0.917544278
chrI_44527_44709,TBP,ACS1,chrI_44527_44709:ACS1,33.25744787,4.953749379,37.18536786,1.358233504,0.655070659
chrI_44929_45285,TBP,ACS1,chrI_44929_45285:ACS1,33.25744787,4.953749379,38.42985628,1.046836493,0.988889778
chrI_45603_45869,TBP,FLC2,chrI_45603_45869:FLC2,33.25744787,4.953749379,32.58393789,0.867368418,0.949789697
chrI_58363_58701,TBP,GCV3,chrI_58363_58701:GCV3,33.25744787,4.953749379,32.32538464,1.245578888,0.935498053
chrI_61011_61359,TBP,ERV46,chrI_61011_61359:ERV46,33.25744787,4.953749379,34.48923923,1.321936109,0.839805965
chrI_65394_65792,TBP,CLN3,chrI_65394_65792:CLN3,33.25744787,4.953749379,31.09789183,0.813926216,0.905324961
chrI_66373_66616,TBP,CLN3,chrI_66373_66616:CLN3,33.25744787,4.953749379,29.29394004,0.788220637,0.896376273
chrI_67743_68092,TBP,CLN3,chrI_67743_68092:CLN3,33.25744787,4.953749379,33.82535103,1.081681802,0.948390364
chrI_69536_69721,TBP,CYC3,chrI_69536_69721:CYC3,33.25744787,4.953749379,29.89982393,0.9638266,0.958159822
chrI_71382_71957,TBP,CDC19,chrI_71382_71957:CDC19,33.25744787,4.953749379,30.94746068,1.078410315,0.936217606
chrI_72127_72768,TBP,CDC19,chrI_72127_72768:CDC19,33.25744787,4.953749379,37.00551622,1.325975904,0.839616148
chrI_73039_73567,TBP,YAL037C-B,chrI_73039_73567:YAL037C-B,33.25744787,4.953749379,30.59532019,0.973421623,0.986269295
chrI_74888_75035,TBP,YAL037W,chrI_74888_75035:YAL037W,33.25744787,4.953749379,31.83093097,0.802678966,0.847502743
chrI_76127_76494,TBP,FUN12,chrI_76127_76494:FUN12,33.25744787,4.953749379,33.28263737,1.345577395,0.898818061
chrI_82538_82752,TBP,POP5,chrI_82538_82752:POP5,33.25744787,4.953749379,30.98023561,1.132785924,0.930249517
chrI_84535_84691,TBP,YAL031W-A,chrI_84535_84691:YAL031W-A,33.25744787,4.953749379,29.4780791,0.820161736,0.90192521
chrI_92434_92622,TBP,MYO4,chrI_92434_92622:MYO4,33.25744787,4.953749379,32.15826988,1.229703411,0.924117649
chrI_101112_101462,TBP,MAK16,chrI_101112_101462:MAK16,33.25744787,4.953749379,30.0004594,1.16070978,0.956153272
chrI_108568_108795,TBP,PMT2,chrI_108568_108795:PMT2,33.25744787,4.953749379,30.33336064,1.185078465,0.945698005
chrI_110459_110661,TBP,FUN26,chrI_110459_110661:FUN26,33.25744787,4.953749379,28.5310983,0.971657272,0.927480005
chrI_124713_124865,TBP,TPD3,chrI_124713_124865:TPD3,33.25744787,4.953749379,36.41272644,1.169039234,0.924337268
chrI_128062_128219,TBP,NTG1,chrI_128062_128219:NTG1,33.25744787,4.953749379,29.29542514,1.050508584,0.92185877
chrI_129009_129284,TBP,DEP1,chrI_129009_129284:DEP1,33.25744787,4.953749379,31.64953981,1.294699702,0.901022402
chrI_130568_130853,TBP,CYS3,chrI_130568_130853:CYS3,33.25744787,4.953749379,33.95892107,1.018450295,0.984856851
chrI_138604_140960,TBP,TRN1,chrI_138604_140960:TRN1,33.25744787,4.953749379,39.93684456,1.227531188,0.950134401
chrI_141141_143644,TBP,SNR18,chrI_141141_143644:SNR18,33.25744787,4.953749379,34.88762425,1.066281758,0.994619126
chrI_151335_151723,TBP,TFC3,chrI_151335_151723:TFC3,33.25744787,4.953749379,29.68841436,0.877731213,0.840132739
chrI_151974_152237,TBP,NUP60,chrI_151974_152237:NUP60,33.25744787,4.953749379,30.18600684,1.033723727,0.948710016
chrI_154711_154962,TBP,ERP1,chrI_154711_154962:ERP1,33.25744787,4.953749379,29.39068689,1.169701072,0.941035583
chrI_158669_158824,TBP,RFA1,chrI_158669_158824:RFA1,33.25744787,4.953749379,32.22475438,1.046197052,0.990381858
chrI_160254_161846,TBP,SEN34,chrI_160254_161846:SEN34,33.25744787,4.953749379,32.004434,0.865169629,0.965412936
chrI_162014_162442,TBP,YAR009C,chrI_162014_162442:YAR009C,33.25744787,4.953749379,30.97287811,0.963791606,0.975846339
chrI_163126_163276,TBP,YAR009C,chrI_163126_163276:YAR009C,33.25744787,4.953749379,31.80899504,1.020544727,0.892159918
chrI_164160_164589,TBP,YAR009C,chrI_164160_164589:YAR009C,33.25744787,4.953749379,34.87182423,1.192534288,0.868222082
chrI_164829_165383,TBP,YAR010C,chrI_164829_165383:YAR010C,33.25744787,4.953749379,32.94301421,1.071287713,0.970089564
chrI_165683_166525,TBP,TGA1,chrI_165683_166525:TGA1,33.25744787,4.953749379,39.63641775,1.308253604,0.925451019
chrI_168951_169361,TBP,ADE1,chrI_168951_169361:ADE1,33.25744787,4.953749379,29.61784531,1.084311355,0.969067568
chrI_171711_172154,TBP,KIN3,chrI_171711_172154:KIN3,33.25744787,4.953749379,31.78276145,0.863453268,0.959633588
chrI_180104_180297,TBP,YAR023C,chrI_180104_180297:YAR023C,33.25744787,4.953749379,33.45158945,0.941887223,0.960041226
chrI_180698_181443,TBP,SUP56,chrI_180698_181443:SUP56,33.25744787,4.953749379,40.97221241,1.285430094,0.937001199
chrI_182350_183164,TBP,tS(AGA)A,chrI_182350_183164:tS(AGA)A,33.25744787,4.953749379,39.49808306,1.203689408,0.967063346
chrI_183509_183701,TBP,UIP3,chrI_183509_183701:UIP3,33.25744787,4.953749379,32.27533552,0.998197084,0.989552519
chrI_189258_189426,TBP,YAT1,chrI_189258_189426:YAT1,33.25744787,4.953749379,30.49455314,0.759906096,0.867763073
chrI_192428_192619,TBP,SWH1,chrI_192428_192619:SWH1,33.25744787,4.953749379,32.1658856,1.05810524,0.958468219
chrI_206260_206518,TBP,YAR053W,chrI_206260_206518:YAR053W,33.25744787,4.953749379,31.4770422,1.16223382,0.90827475
chrI_215261_215499,TBP,YAR060C,chrI_215261_215499:YAR060C,33.25744787,4.953749379,32.44562116,0.728406883,0.845508262
chrI_222851_223151,TBP,YAR068W,chrI_222851_223151:YAR068W,33.25744787,4.953749379,31.72481545,1.081581242,0.973906249
chrI_224858_225111,TBP,YAR070C,chrI_224858_225111:YAR070C,33.25744787,4.953749379,29.97289984,0.933301462,0.971841601
chrII_884_1088,TBP,YBL113W-A,chrII_884_1088:YBL113W-A,33.25744787,4.953749379,30.08273626,1.0001521,0.948886528
chrII_4824_5452,TBP,YBL111C,chrII_4824_5452:YBL111C,33.25744787,4.953749379,31.65081535,0.859886545,0.960238638
chrII_9044_9847,TBP,tL(UAA)B1,chrII_9044_9847:tL(UAA)B1,33.25744787,4.953749379,39.35545054,1.338580978,0.923091917
chrII_17964_18140,TBP,PKC1,chrII_17964_18140:PKC1,33.25744787,4.953749379,35.26887618,1.019705784,0.978127083
chrII_23755_24061,TBP,SFT2,chrII_23755_24061:SFT2,33.25744787,4.953749379,35.16406447,1.200584704,0.901591459
chrII_28289_28456,TBP,YBL100W-C,chrII_28289_28456:YBL100W-C,33.25744787,4.953749379,34.40902947,1.031267932,0.956878484
chrII_29708_29888,TBP,YBL100W-A,chrII_29708_29888:YBL100W-A,33.25744787,4.953749379,30.68600308,0.756864223,0.869055776
chrII_30566_30727,TBP,YBL100W-B,chrII_30566_30727:YBL100W-B,33.25744787,4.953749379,30.26817172,0.873489098,0.934887393
chrII_30862_31076,TBP,YBL100W-B,chrII_30862_31076:YBL100W-B,33.25744787,4.953749379,31.16662742,0.988332084,0.964185655
chrII_31561_31786,TBP,YBL100W-B,chrII_31561_31786:YBL100W-B,33.25744787,4.953749379,30.39575688,0.870197014,0.94879654
chrII_32266_32424,TBP,YBL100W-B,chrII_32266_32424:YBL100W-B,33.25744787,4.953749379,32.49912108,0.950037558,0.952504786
chrII_32527_32679,TBP,YBL100W-B,chrII_32527_32679:YBL100W-B,33.25744787,4.953749379,31.48587318,0.903782844,0.952553082
chrII_34027_34224,TBP,tF(GAA)B,chrII_34027_34224:tF(GAA)B,33.25744787,4.953749379,30.92213617,0.946720727,0.971582315
chrII_34641_34884,TBP,tF(GAA)B,chrII_34641_34884:tF(GAA)B,33.25744787,4.953749379,30.77027961,0.859226713,0.942207414
chrII_34982_35435,TBP,tF(GAA)B,chrII_34982_35435:tF(GAA)B,33.25744787,4.953749379,31.37818185,0.888516532,0.952820473
chrII_35745_36980,TBP,tF(GAA)B,chrII_35745_36980:tF(GAA)B,33.25744787,4.953749379,37.58176166,1.146696269,0.976305384
chrII_38081_38229,TBP,YBL100C,chrII_38081_38229:YBL100C,33.25744787,4.953749379,32.78873584,1.013331747,0.982729493
chrII_38408_39039,TBP,BNA4,chrII_38408_39039:BNA4,33.25744787,4.953749379,31.52256127,0.814404789,0.911968765
chrII_40661_40847,TBP,BRN1,chrII_40661_40847:BRN1,33.25744787,4.953749379,33.26493595,0.928611444,0.991010876
chrII_45380_45847,TBP,RPL32,chrII_45380_45847:RPL32,33.25744787,4.953749379,32.04358323,1.196012285,0.867219545
chrII_46366_46568,TBP,RPL32,chrII_46366_46568:RPL32,33.25744787,4.953749379,31.39356075,0.955004319,0.9152628
chrII_48655_48812,TBP,MRP21,chrII_48655_48812:MRP21,33.25744787,4.953749379,30.70142247,0.894204239,0.975631587
chrII_49372_49540,TBP,AVT5,chrII_49372_49540:AVT5,33.25744787,4.953749379,31.62466687,0.952705647,0.951379072
chrII_59604_59783,TBP,TEL1,chrII_59604_59783:TEL1,33.25744787,4.953749379,30.86867518,0.921223603,0.981373413
chrII_60617_60994,TBP,RPL23A,chrII_60617_60994:RPL23A,33.25744787,4.953749379,34.03815933,1.119230711,0.985156426
chrII_63634_63801,TBP,BOI1,chrII_63634_63801:BOI1,33.25744787,4.953749379,34.81528672,1.27194622,0.940020032
chrII_69508_69664,TBP,CDC27,chrII_69508_69664:CDC27,33.25744787,4.953749379,35.97490632,0.961997828,0.974113604
chrII_75014_75278,TBP,NUP170,chrII_75014_75278:NUP170,33.25744787,4.953749379,32.74637276,1.022312744,0.955017076
chrII_80697_80869,TBP,ATG8,chrII_80697_80869:ATG8,33.25744787,4.953749379,33.12458395,0.927265308,0.958477483
chrII_84173_84474,TBP,ILS1,chrII_84173_84474:ILS1,33.25744787,4.953749379,30.69825037,1.089988551,0.966582067
chrII_87731_88674,TBP,SNR56,chrII_87731_88674:SNR56,33.25744787,4.953749379,34.79474454,1.169103668,0.971480827
chrII_89343_89723,TBP,YBL071C-B,chrII_89343_89723:YBL071C-B,33.25744787,4.953749379,35.34147236,1.249676946,0.926462457
chrII_89855_90005,TBP,KTI11,chrII_89855_90005:KTI11,33.25744787,4.953749379,34.36720037,1.114824492,0.984944841
chrII_90499_90669,TBP,YBL071C,chrII_90499_90669:YBL071C,33.25744787,4.953749379,32.16986327,1.022922807,0.99168189
chrII_92172_92387,TBP,PRS4,chrII_92172_92387:PRS4,33.25744787,4.953749379,33.43878106,1.257873356,0.90346275
chrII_96076_96567,TBP,UBP13,chrII_96076_96567:UBP13,33.25744787,4.953749379,30.30752115,0.946036737,0.975643276
chrII_100040_100509,TBP,SEF1,chrII_100040_100509:SEF1,33.25744787,4.953749379,32.95380934,1.027541104,0.995087376
chrII_101124_101335,TBP,PRX1,chrII_101124_101335:PRX1,33.25744787,4.953749379,34.15050221,1.022690061,0.918984013
chrII_107420_107662,TBP,SKT5,chrII_107420_107662:SKT5,33.25744787,4.953749379,32.044219,1.006703516,0.953168664
chrII_110522_110748,TBP,YBL059W,chrII_110522_110748:YBL059W,33.25744787,4.953749379,30.99536198,1.202058233,0.933655518
chrII_111240_111507,TBP,SHP1,chrII_111240_111507:SHP1,33.25744787,4.953749379,34.20967613,1.117898033,0.967940829
chrII_113461_113766,TBP,PTC3,chrII_113461_113766:PTC3,33.25744787,4.953749379,33.44193442,1.121660424,0.972777517
chrII_115217_115490,TBP,YBL055C,chrII_115217_115490:YBL055C,33.25744787,4.953749379,30.94573882,0.802416392,0.886614654
chrII_117340_117536,TBP,TOD6,chrII_117340_117536:TOD6,33.25744787,4.953749379,30.15348736,1.127484076,0.967315227
chrII_122045_122199,TBP,SAS3,chrII_122045_122199:SAS3,33.25744787,4.953749379,30.80750722,1.158203103,0.96737914
chrII_124757_125107,TBP,PIN4,chrII_124757_125107:PIN4,33.25744787,4.953749379,36.40953959,1.093984922,0.951302238
chrII_132080_132358,TBP,EDE1,chrII_132080_132358:EDE1,33.25744787,4.953749379,31.23367285,0.93155751,0.967544634
chrII_133803_134143,TBP,COR1,chrII_133803_134143:COR1,33.25744787,4.953749379,30.54300056,0.82715423,0.918753062
chrII_134970_135226,TBP,COR1,chrII_134970_135226:COR1,33.25744787,4.953749379,36.27964755,1.144007267,0.84566947
chrII_135510_135900,TBP,COR1,chrII_135510_135900:COR1,33.25744787,4.953749379,37.04686935,1.307064881,0.921548512
chrII_136328_136793,TBP,ECM13,chrII_136328_136793:ECM13,33.25744787,4.953749379,32.74190821,1.00393848,0.98367553
chrII_136909_137130,TBP,ECM13,chrII_136909_137130:ECM13,33.25744787,4.953749379,34.29457558,0.815711525,0.921907001
chrII_137430_137730,TBP,ECM13,chrII_137430_137730:ECM13,33.25744787,4.953749379,28.97097132,0.766958062,0.867838706
chrII_140254_140478,TBP,FUI1,chrII_140254_140478:FUI1,33.25744787,4.953749379,31.28146402,1.043636289,0.975648689
chrII_140895_141332,TBP,PRE7,chrII_140895_141332:PRE7,33.25744787,4.953749379,34.74227332,1.130115841,0.967991948
chrII_142853_143164,TBP,ERD2,chrII_142853_143164:ERD2,33.25744787,4.953749379,33.95776041,1.120266122,0.963763566
chrII_143827_143990,TBP,YBL039W-B,chrII_143827_143990:YBL039W-B,33.25744787,4.953749379,31.52132832,0.91681281,0.906616156
chrII_145701_145984,TBP,URA7,chrII_145701_145984:URA7,33.25744787,4.953749379,30.4845881,1.12212625,0.926436081
chrII_146821_147012,TBP,APL3,chrII_146821_147012:APL3,33.25744787,4.953749379,30.90575236,0.87980418,0.969447308
chrII_158397_158550,TBP,STU1,chrII_158397_158550:STU1,33.25744787,4.953749379,30.17450101,0.924419541,0.935665587
chrII_159629_159892,TBP,RIB1,chrII_159629_159892:RIB1,33.25744787,4.953749379,34.54825798,1.105786363,0.985582202
chrII_162611_164692,TBP,PET9,chrII_162611_164692:PET9,33.25744787,4.953749379,32.8467832,1.085858798,0.971785409
chrII_164768_164962,TBP,YBL029C-A,chrII_164768_164962:YBL029C-A,33.25744787,4.953749379,34.31383999,1.066902791,0.964790045
chrII_168144_168572,TBP,RPL19B,chrII_168144_168572:RPL19B,33.25744787,4.953749379,33.45212093,1.127266599,0.983110099
chrII_169277_169573,TBP,RPL19B,chrII_169277_169573:RPL19B,33.25744787,4.953749379,32.92265333,0.992303646,0.98774168
chrII_170436_170600,TBP,LSM2,chrII_170436_170600:LSM2,33.25744787,4.953749379,33.13640871,1.036649336,0.980293323
chrII_171222_171476,TBP,RRN10,chrII_171222_171476:RRN10,33.25744787,4.953749379,30.337278,1.073757572,0.986131566
chrII_172352_172592,TBP,NCL1,chrII_172352_172592:NCL1,33.25744787,4.953749379,33.77793545,0.978541733,0.988126741
chrII_174653_174836,TBP,NCL1,chrII_174653_174836:NCL1,33.25744787,4.953749379,30.37307359,0.738968157,0.843102855
chrII_181318_181497,TBP,PIM1,chrII_181318_181497:PIM1,33.25744787,4.953749379,33.95827542,1.279733538,0.846486957
chrII_193809_194244,TBP,ACH1,chrII_193809_194244:ACH1,33.25744787,4.953749379,34.32319881,1.277790114,0.883622147
chrII_195625_196110,TBP,tI(AAU)B,chrII_195625_196110:tI(AAU)B,33.25744787,4.953749379,31.53958261,0.907597868,0.984965483
chrII_196982_198202,TBP,tI(AAU)B,chrII_196982_198202:tI(AAU)B,33.25744787,4.953749379,41.11804892,1.342755251,0.91371976
chrII_206953_207185,TBP,YBL010C,chrII_206953_207185:YBL010C,33.25744787,4.953749379,33.94921318,0.998117406,0.980234794
chrII_216296_216528,TBP,SLA1,chrII_216296_216528:SLA1,33.25744787,4.953749379,36.07569753,1.196190347,0.912055799
chrII_217083_217332,TBP,LDB7,chrII_217083_217332:LDB7,33.25744787,4.953749379,35.11593716,1.342189789,0.852658801
chrII_221009_221250,TBP,YBL005W-A,chrII_221009_221250:YBL005W-A,33.25744787,4.953749379,34.09330593,0.91559357,0.983427068
chrII_223002_223517,TBP,YBL005W-B,chrII_223002_223517:YBL005W-B,33.25744787,4.953749379,32.09355181,1.063991741,0.945765466
chrII_223925_224109,TBP,YBL005W-B,chrII_223925_224109:YBL005W-B,33.25744787,4.953749379,34.0565213,0.928111481,0.902994805
chrII_224829_225220,TBP,tS(AGA)B,chrII_224829_225220:tS(AGA)B,33.25744787,4.953749379,31.02686479,0.861705715,0.942867836
chrII_225376_225522,TBP,tS(AGA)B,chrII_225376_225522:tS(AGA)B,33.25744787,4.953749379,31.51602642,0.942075739,0.91188465
chrII_225642_226159,TBP,tS(AGA)B,chrII_225642_226159:tS(AGA)B,33.25744787,4.953749379,32.05938189,0.843908667,0.954041976
chrII_226351_227326,TBP,tS(AGA)B,chrII_226351_227326:tS(AGA)B,33.25744787,4.953749379,38.48767417,1.18803757,0.959627409
chrII_227407_227594,TBP,UTP20,chrII_227407_227594:UTP20,33.25744787,4.953749379,32.3520991,1.163615227,0.973533994
chrII_228760_228916,TBP,UTP20,chrII_228760_228916:UTP20,33.25744787,4.953749379,29.46175225,0.883768325,0.908886401
chrII_235054_237218,TBP,HTA2,chrII_235054_237218:HTA2,33.25744787,4.953749379,33.46454421,0.94949373,0.952084586
chrII_237489_237682,TBP,ECM15,chrII_237489_237682:ECM15,33.25744787,4.953749379,35.51761839,0.899405378,0.929232596
chrII_238104_238445,TBP,ECM15,chrII_238104_238445:ECM15,33.25744787,4.953749379,29.12569776,0.884500701,0.738230734
chrII_241261_241743,TBP,NTH2,chrII_241261_241743:NTH2,33.25744787,4.953749379,32.12264281,0.948502321,0.975129237
chrII_242492_242771,TBP,RER2,chrII_242492_242771:RER2,33.25744787,4.953749379,33.15049747,1.120576307,0.984338264
chrII_245607_245906,TBP,GPI18,chrII_245607_245906:GPI18,33.25744787,4.953749379,29.8636654,0.891024461,0.961336526
chrII_254871_257124,TBP,HHF1,chrII_254871_257124:HHF1,33.25744787,4.953749379,33.11843501,1.005593102,0.949965742
chrII_257863_258191,TBP,IPP1,chrII_257863_258191:IPP1,33.25744787,4.953749379,34.76468347,1.157734011,0.964897414
chrII_258531_258700,TBP,IPP1,chrII_258531_258700:IPP1,33.25744787,4.953749379,35.52377995,1.041371506,0.969173491
chrII_259606_259981,TBP,YBR012W-A,chrII_259606_259981:YBR012W-A,33.25744787,4.953749379,33.9836436,1.033046749,0.994063441
chrII_260225_260394,TBP,YBR012W-B,chrII_260225_260394:YBR012W-B,33.25744787,4.953749379,34.13539345,1.331836083,0.861534568
chrII_260579_261289,TBP,YBR012W-B,chrII_260579_261289:YBR012W-B,33.25744787,4.953749379,31.49683999,1.015843444,0.978835579
chrII_261553_262089,TBP,YBR012W-B,chrII_261553_262089:YBR012W-B,33.25744787,4.953749379,32.98900113,1.026178059,0.959537913
chrII_263381_264169,TBP,YBR013C,chrII_263381_264169:YBR013C,33.25744787,4.953749379,31.16065186,0.911855227,0.981898628
chrII_264491_264695,TBP,YBR013C,chrII_264491_264695:YBR013C,33.25744787,4.953749379,32.16346553,0.886379203,0.916764601
chrII_264835_265348,TBP,YBR013C,chrII_264835_265348:YBR013C,33.25744787,4.953749379,31.09458021,0.912003668,0.981224351
chrII_266218_266613,TBP,tT(AGU)B,chrII_266218_266613:tT(AGU)B,33.25744787,4.953749379,42.70900962,1.308886706,0.921161458
