chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXIII,453447,454081,343,chrXIII,454014,455556,YMR093W,6403,+,0,453764,-250
chrVIII,212308,216208,202,chrVIII,214507,214702,YHR054W-A,5954,+,0,214258,-249
chrIX,343647,344160,121,chrIX,342993,343656,YIL007C,2351,-,0,343903.5,-247.5
chrXIV,283843,284182,372,chrXIV,284259,285888,YNL189W,5025,+,-78,284012.5,-246.5
chrXI,417774,418352,267,chrXI,418309,420061,YKL012W,2778,+,0,418063,-246
chrVII,245100,245411,166,chrVII,241352,245012,YGL140C,3818,-,-89,245255.5,-243.5
chrXII,253079,254154,283,chrXII,253860,254958,YLR056W,4411,+,0,253616.5,-243.5
chrXVI,102693,103195,433,chrXVI,101607,102702,YPL236C,5359,-,0,102944,-242
chrIV,1171921,1172206,90,chrIV,1170325,1171825,YDR348C,1953,-,-97,1172063.5,-238.5
chrXVI,609952,610532,454,chrXVI,610480,612724,YPR024W,5629,+,0,610242,-238
chrXIV,597636,597915,386,chrXIV,595622,597539,YNL020C,5206,-,-98,597775.5,-236.5
chrXI,216855,217369,254,chrXI,217343,218318,YKL120W,2660,+,0,217112,-231
chrIV,1266812,1267444,95,chrIV,1266365,1266898,YDR397C,2010,-,0,1267128,-230
chrV,484256,484886,147,chrV,483324,484341,YER156C,404,-,0,484571,-230
chrVI,131340,131818,155,chrVI,131809,134296,YFL004W,2480,+,0,131579,-230
chrX,109515,109857,220,chrX,106893,109461,YJL165C,512,-,-55,109686,-225
chrIV,524895,525540,61,chrIV,525439,527215,YDR037W,1618,+,0,525217.5,-221.5
chrVIII,488120,488749,211,chrVIII,488656,490396,YHR194W,6115,+,0,488434.5,-221.5
chrXI,188686,189036,253,chrXI,186459,188640,YKL135C,2645,-,-47,188861,-221
chrXV,464301,464797,406,chrXV,464770,466543,YOR073W,3160,+,0,464549,-221
chrII,628737,629165,25,chrII,629167,631942,YBR203W,1207,+,-3,628951,-216
chrV,484256,484886,147,chrV,484787,487193,YER157W,405,+,0,484571,-216
chrIV,171997,172536,53,chrIV,172480,174028,YDL159W,1408,+,0,172266.5,-213.5
chrXVI,373484,373674,448,chrXVI,373792,375169,YPL092W,5510,+,-119,373579,-213
chrXV,830613,830960,421,chrXV,828051,830574,YOR270C,3367,-,-40,830786.5,-212.5
chrIII,77530,78732,37,chrIII,76017,77919,YCL025C,3553,-,0,78131,-212
chrXVI,609952,610532,454,chrXVI,608825,610031,YPR023C,5628,-,0,610242,-211
chrVI,44331,44874,153,chrVI,43627,44392,YFL045C,2432,-,0,44602.5,-210.5
chrIV,1328302,1329056,96,chrIV,1325500,1328470,YDR430C,2044,-,0,1328679,-209
chrXI,237115,237539,256,chrXI,237535,238891,YKL106W,2675,+,0,237327,-208
chrX,554751,555223,242,chrX,555194,555572,YJR063W,749,+,0,554987,-207
chrIV,1416824,1417331,99,chrIV,1415209,1416874,YDR479C,2094,-,0,1417077.5,-203.5
chrXII,704768,705195,308,chrXII,705185,706130,YLR283W,4664,+,0,704981.5,-203.5
chrXV,784382,784923,418,chrXV,784856,786744,YOR239W,3337,+,0,784652.5,-203.5
chrIII,199451,200053,46,chrIII,197620,199549,YCR038C,3619,-,0,199752,-203
chrV,82508,83100,123,chrV,81406,82603,YEL037C,166,-,0,82804,-201
chrX,316333,317018,229,chrX,315758,316475,YJL063C,621,-,0,316675.5,-200.5
chrIX,211952,212643,113,chrIX,212498,214703,YIL078W,2269,+,0,212297.5,-200.5
chrVIII,488120,488749,211,chrVIII,487711,488236,YHR193C,6113,-,0,488434.5,-198.5
chrX,390833,391266,232,chrX,388384,390853,YJL029C,657,-,0,391049.5,-196.5
chrXIII,914529,914940,362,chrXIII,912879,914538,YMR319C,6657,-,0,914734.5,-196.5
chrV,84504,86977,124,chrV,85044,85545,YEL035C,168,-,0,85740.5,-195.5
chrXII,839909,840341,312,chrXII,840320,840914,YLR356W,4745,+,0,840125,-195
chrX,647049,647785,246,chrX,647606,649142,YJR121W,808,+,0,647417,-189
chrVII,114700,115005,161,chrVII,112474,114664,YGL203C,3753,-,-37,114852.5,-188.5
chrXII,921417,922331,314,chrXII,922062,922536,YLR400W,4793,+,0,921874,-188
chrIX,82920,83537,108,chrIX,80509,83041,YIL143C,2199,-,0,83228.5,-187.5
chrIX,148733,149056,110,chrIX,144326,148709,YIL115C,2230,-,-25,148894.5,-185.5
chrII,770397,770794,30,chrII,768942,770415,YBR283C,1292,-,0,770595.5,-180.5
chrIV,264093,264485,56,chrIV,263312,264110,YDL111C,1460,-,0,264289,-179
chrVII,706565,706790,183,chrVII,705358,706501,YGR109C,4079,-,-65,706677.5,-176.5
chrXIII,213749,214275,330,chrXIII,214188,216156,YML031W,6267,+,0,214012,-176
chrIV,998256,998738,82,chrIV,996028,998323,YDR264C,1864,-,0,998497,-174
chrXV,514911,515227,409,chrXV,515243,516173,YOR101W,3188,+,-17,515069,-174
chrXV,421662,421985,405,chrXV,418629,421650,YOR048C,3133,-,-13,421823.5,-173.5
chrVIII,540443,540808,214,chrVIII,540799,541099,YHR213W-B,6138,+,0,540625.5,-173.5
chrXIII,245892,246282,332,chrXIII,245536,245914,YML012C-A,6286,-,0,246087,-173
chrIV,1229420,1230143,94,chrIV,1229348,1229609,YDR378C,1989,-,0,1229781.5,-172.5
chrIV,1344981,1345487,97,chrIV,1344516,1345062,YDR441C,2055,-,0,1345234,-172
chrXII,540398,541015,303,chrXII,540008,540536,YLR193C,4568,-,0,540706.5,-170.5
chrIII,154916,155383,43,chrIII,155319,155556,YCR020W-B,3599,+,0,155149.5,-169.5
chrII,193695,194210,13,chrII,194121,195702,YBL015W,963,+,0,193952.5,-168.5
