chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXV,1014998,1015144,966,chrXV,1013240,1014821,YOR360C,3466,-,-178,1015071,-250
chrXII,187103,187654,642,chrXII,185497,187129,YLR023C,4377,-,0,187378.5,-249.5
chrXIV,619435,620190,867,chrXIV,618506,619565,YNL007C,5219,-,0,619812.5,-247.5
chrXIII,675384,675912,789,chrXIII,675895,676837,YMR206W,6531,+,0,675648,-247
chrII,254357,254554,49,chrII,252562,254209,YBR008C,989,-,-149,254455.5,-246.5
chrXIII,540622,541281,775,chrXIII,541198,542881,YMR136W,6450,+,0,540951.5,-246.5
chrX,434553,435241,524,chrX,433220,434651,YJL002C,683,-,0,434897,-246
chrXIII,768586,768784,794,chrXIII,768369,768441,tA(AGC)M2,5889,-,-146,768685,-244
chrIV,1269481,1270166,217,chrIV,1270067,1270733,YDR399W,2012,+,0,1269823.5,-243.5
chrIV,1015656,1016233,188,chrIV,1014400,1015702,YDR277C,1877,-,0,1015944.5,-242.5
chrXV,96307,96900,885,chrXV,94855,96361,YOL119C,2950,-,0,96603.5,-242.5
chrVII,914732,915263,433,chrVII,915240,916701,YGR211W,4194,+,0,914997.5,-242.5
chrV,241595,241891,285,chrV,240031,241501,YER045C,264,-,-95,241743,-242
chrXV,978077,978544,965,chrXV,977193,978069,YOR344C,3450,-,-9,978310.5,-241.5
chrIV,462898,463486,137,chrIV,463433,464996,YDR009W,1585,+,0,463192,-241
chrXIII,636924,637593,786,chrXIII,637499,640604,YMR189W,6511,+,0,637258.5,-240.5
chrXIV,87381,87932,815,chrXIV,87896,88736,YNL289W,4922,+,0,87656.5,-239.5
chrXIII,901286,901806,807,chrXIII,899378,901307,YMR313C,6648,-,0,901546,-239
chrVIII,320049,320299,475,chrVIII,320413,322972,YHR103W,6013,+,-115,320174,-239
chrIX,301340,301646,251,chrIX,300828,301257,YIL029C,2325,-,-84,301493,-236
chrXVI,453047,453538,1021,chrXVI,451908,453057,YPL057C,5545,-,0,453292.5,-235.5
chrII,126501,126683,31,chrII,126827,127244,YBL049W,926,+,-145,126592,-235
chrXIV,567714,568048,862,chrXIV,568115,568217,tP(UGG)N2,6056,+,-68,567881,-234
chrXI,179086,179779,576,chrXI,179666,180263,YKL141W,2638,+,0,179432.5,-233.5
chrIV,131933,132198,109,chrIV,130870,131833,YDL183C,1382,-,-101,132065.5,-232.5
chrXI,552320,552754,616,chrXI,552769,554620,YKR058W,2849,+,-16,552537,-232
chrXIII,759190,759959,793,chrXIII,759806,761891,YMR246W,6574,+,0,759574.5,-231.5
chrIV,538475,538921,146,chrIV,535191,538467,YDR040C,1621,-,-9,538698,-231
chrXIII,97437,97767,725,chrXIII,95790,97371,YML086C,6206,-,-67,97602,-231
chrXIII,168478,168650,734,chrXIII,168795,168883,tY(GUA)M1,6153,+,-146,168564,-231
chrIII,82520,83007,80,chrIII,82462,82533,tE(UUC)C,5919,-,0,82763.5,-230.5
chrXIII,483713,483992,770,chrXIII,484083,486147,YMR108W,6419,+,-92,483852.5,-230.5
chrIV,1227985,1228775,213,chrIV,1228610,1228916,YDR377W,1988,+,0,1228380,-230
chrXV,303092,303436,909,chrXV,301379,303035,YOL013C,3067,-,-58,303264,-229
chrIV,543419,543773,147,chrIV,542673,543369,YDR043C,1624,-,-51,543596,-227
chrVI,58429,58679,324,chrVI,58781,62837,YFL036W,2441,+,-103,58554,-227
chrIV,802331,802566,168,chrIV,796192,802222,YDR170C,1756,-,-110,802448.5,-226.5
chrXVI,66729,66951,985,chrXVI,64976,66614,YPL256C,5337,-,-116,66840,-226
chrXI,611016,611580,626,chrXI,611524,612265,YKR091W,2883,+,0,611298,-226
chrXII,481409,481884,660,chrXII,481872,482037,YLR157W-E,4528,+,0,481646.5,-225.5
chrXVI,844191,844776,1051,chrXVI,844708,846031,YPR158W-A,5771,+,0,844483.5,-224.5
chrXVI,844191,844776,1051,chrXVI,844708,849980,YPR158W-B,5770,+,0,844483.5,-224.5
chrIV,111274,111439,106,chrIV,111579,114234,YDL194W,1370,+,-141,111356.5,-222.5
chrXVI,455299,455774,1022,chrXVI,455758,456664,YPL054W,5548,+,0,455536.5,-221.5
chrVIII,551625,551815,492,chrVIII,551199,551499,YHR214C-E,6144,-,-127,551720,-221
chrXI,70271,70611,561,chrXI,68231,70220,YKL198C,2577,-,-52,70441,-221
chrVII,667671,668264,404,chrVII,668188,669907,YGR092W,4062,+,0,667967.5,-220.5
chrVII,961983,962579,438,chrVII,961359,962061,YGR235C,4218,-,0,962281,-220
chrVIII,209174,209801,467,chrVIII,209704,210151,YHR051W,5949,+,0,209487.5,-216.5
chrXIV,552101,552301,857,chrXIV,549467,551987,YNL041C,5184,-,-115,552201,-214
chrXII,168721,169057,639,chrXII,169102,169678,YLR011W,4365,+,-46,168889,-213
chrXIV,289141,289428,836,chrXIV,289497,291876,YNL186W,5028,+,-70,289284.5,-212.5
chrIV,1112151,1112859,198,chrIV,1112002,1112293,YDR322C-A,1927,-,0,1112505,-212
chrX,402411,402832,519,chrX,398936,402410,YJL020C,666,-,-2,402621.5,-211.5
chrXIII,475356,475973,767,chrXIII,473419,475453,YMR104C,6414,-,0,475664.5,-211.5
chrXIV,597627,597872,864,chrXIV,595622,597539,YNL020C,5206,-,-89,597749.5,-210.5
chrXV,741684,741873,949,chrXV,738923,741569,YOR211C,3308,-,-116,741778.5,-209.5
chrIV,171998,172544,114,chrIV,172480,174028,YDL159W,1408,+,0,172271,-209
chrXII,84426,84762,634,chrXII,84803,86564,YLL028W,4326,+,-42,84594,-209
chrXV,446513,447380,926,chrXV,446078,446738,YOR064C,3149,-,0,446946.5,-208.5
chrIV,42251,42652,102,chrIV,38866,42244,YDL231C,1333,-,-8,42451.5,-207.5
chrIV,368180,368652,125,chrIV,366738,368211,YDL048C,1525,-,0,368416,-205
chrIV,1416812,1417346,224,chrIV,1415209,1416874,YDR479C,2094,-,0,1417079,-205
chrX,542582,542832,541,chrX,541791,542502,YJR056C,742,-,-81,542707,-205
