chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIX,84801,85431,23,chrIX,85365,87837,YIL140W,2203,+,0,85116,-249
chrIX,73519,73863,22,chrIX,69790,73453,YIL147C,2195,-,-67,73691,-238
chrXVI,603433,603753,116,chrXVI,600648,603357,YPR021C,5626,-,-77,603593,-236
chrVII,409678,409934,48,chrVII,406859,409604,YGL049C,3911,-,-75,409806,-202
chrXV,546529,546782,104,chrXV,546856,548560,YOR118W,3206,+,-75,546655.5,-200.5
chrX,184210,184567,65,chrX,182297,184220,YJL127C,555,-,0,184388.5,-168.5
chrIV,276548,276874,8,chrIV,276871,280165,YDL102W,1469,+,0,276711,-160
chrVIII,402645,403038,58,chrVIII,402085,402682,YHR153C,6068,-,0,402841.5,-159.5
chrVII,875048,875487,52,chrVII,872043,875109,YGR188C,4170,-,0,875267.5,-158.5
chrV,434617,434909,35,chrV,434541,434612,tH(GUG)E2,5964,-,-6,434763,-151
chrXII,778914,779217,75,chrXII,779214,780786,YLR324W,4711,+,0,779065.5,-148.5
chrIX,345411,345679,26,chrIX,345691,347797,YIL005W,2353,+,-13,345545,-146
chrIV,373604,373895,11,chrIV,372687,373608,YDL045C,1529,-,0,373749.5,-141.5
chrX,468239,468599,66,chrX,467231,468281,YJR019C,705,-,0,468419,-138
chrII,283403,283803,5,chrII,283737,284271,YBR022W,1005,+,0,283603,-134
chrXVI,37755,38313,109,chrXVI,38168,38798,YPL267W,5324,+,0,38034,-134
chrXVI,921617,921837,117,chrXVI,921859,922777,YPR192W,5813,+,-23,921727,-132
chrIV,276548,276874,8,chrIV,275147,276581,YDL103C,1468,-,0,276711,-130
chrI,86965,87355,1,chrI,84748,87031,YAL031C,51,-,0,87160,-129
chrI,86965,87355,1,chrI,87285,87752,YAL030W,52,+,0,87160,-125
chrVIII,402645,403038,58,chrVIII,402965,406178,YHR154W,6069,+,0,402841.5,-123.5
chrVII,174286,174562,43,chrVII,174544,175345,YGL174W,3784,+,0,174424,-120
chrXVI,944285,944680,118,chrXVI,944602,947701,YPR204W,5825,+,0,944482.5,-119.5
chrXIII,720614,720926,87,chrXIII,718574,720653,YMR224C,6549,-,0,720770,-117
chrXII,778914,779217,75,chrXII,778172,778952,YLR323C,4710,-,0,779065.5,-113.5
chrIV,302630,302936,9,chrIV,302463,302670,YDL085C-A,1487,-,0,302783,-113
chrX,184210,184567,65,chrX,184500,185424,YJL126W,556,+,0,184388.5,-111.5
chrXIII,108617,108783,81,chrXIII,108805,110077,YML080W,6213,+,-23,108700,-105
chrVII,174286,174562,43,chrVII,173284,174322,YGL175C,3783,-,0,174424,-102
chrIX,403392,403726,27,chrIX,403658,404765,YIR025W,2389,+,0,403559,-99
chrV,5883,6173,29,chrV,6125,6464,YEL074W,126,+,0,6028,-97
