chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXV,592503,593113,479,chrXV,593056,594046,YOR142W,3230,+,0,592808,-248
chrV,84621,86962,160,chrV,85044,85545,YEL035C,168,-,0,85791.5,-246.5
chrVIII,20970,21465,247,chrVIII,19087,20971,YHL040C,5840,-,0,21217.5,-246.5
chrVIII,143500,144006,257,chrVIII,143995,146062,YHR020W,5910,+,0,143753,-242
chrXII,88077,88684,336,chrXII,88622,91349,YLL026W,4328,+,0,88380.5,-241.5
chrXV,316582,316814,470,chrXV,316937,321548,YOL004W,3076,+,-124,316698,-239
chrX,109533,109864,280,chrX,106893,109461,YJL165C,512,-,-73,109698.5,-237.5
chrXIV,518606,519556,439,chrXIV,517993,518845,YNL055C,5168,-,0,519081,-236
chrVII,914771,915240,243,chrVII,915240,916701,YGR211W,4194,+,-1,915005.5,-234.5
chrII,544515,544938,38,chrII,541208,544493,YBR150C,1147,-,-23,544726.5,-233.5
chrIII,24209,24859,43,chrIII,24767,26906,YCL057W,3520,+,0,24534,-233
chrXII,406937,407163,348,chrXII,404509,406822,YLR131C,4488,-,-116,407050,-228
chrII,458349,458825,34,chrII,457918,458362,YBR109C,1099,-,0,458587,-225
chrXII,827777,828418,369,chrXII,826976,827873,YLR348C,4737,-,0,828097.5,-224.5
chrIV,964672,964901,118,chrIV,963989,964565,YDR253C,1849,-,-108,964786.5,-221.5
chrXV,592503,593113,479,chrXV,589941,592587,YOR141C,3229,-,0,592808,-221
chrVIII,209190,209776,262,chrVIII,209704,210151,YHR051W,5949,+,0,209483,-221
chrXIV,633665,634732,447,chrXIV,634419,634518,YNR003W-A,5230,+,0,634198.5,-220.5
chrX,293975,294424,286,chrX,291335,293981,YJL078C,604,-,0,294199.5,-218.5
chrXVI,214062,214298,519,chrXVI,213041,213962,YPL177C,5421,-,-101,214180,-218
chrXV,866554,867209,500,chrXV,867097,867852,YOR293W,3390,+,0,866881.5,-215.5
chrIV,741711,741919,99,chrIV,740472,741600,YDR142C,1727,-,-112,741815,-215
chrVII,798017,798637,236,chrVII,798542,800066,YGR155W,4130,+,0,798327,-215
chrXVI,551526,552082,539,chrXVI,552019,553408,YPL003W,5600,+,0,551804,-215
chrVII,558971,559194,225,chrVII,558148,558868,YGR036C,4003,-,-104,559082.5,-214.5
chrXII,166086,166508,338,chrXII,165576,166083,YLR008C,4362,-,-4,166297,-214
chrX,543768,543928,296,chrX,544061,544712,YJR057W,743,+,-134,543848,-213
chrX,236922,237178,284,chrX,237262,239086,YJL100W,582,+,-85,237050,-212
chrIV,998322,998745,120,chrIV,996028,998323,YDR264C,1864,-,0,998533.5,-210.5
chrXVI,918983,919520,549,chrXVI,917076,919041,YPR190C,5811,-,0,919251.5,-210.5
chrIV,462852,463595,78,chrIV,463433,464996,YDR009W,1585,+,0,463223.5,-209.5
chrIII,24209,24859,43,chrIII,24031,24325,YCL057C-A,3519,-,0,24534,-209
chrV,546340,546874,190,chrV,546816,548079,YER178W,431,+,0,546607,-209
chrXV,579808,580282,478,chrXV,580249,581359,YOR136W,3224,+,0,580045,-204
chrVII,557396,557853,224,chrVII,557071,557422,YGR035C,4001,-,0,557624.5,-202.5
chrXV,127966,128279,461,chrXV,126981,127920,YOL101C,2970,-,-47,128122.5,-202.5
chrIV,703978,704584,96,chrIV,704483,709250,YDR127W,1713,+,0,704281,-202
chrXI,34114,34502,307,chrXI,31959,34107,YKL213C,2564,-,-8,34308,-201
chrXVI,108146,108755,511,chrXVI,108651,114315,YPL231W,5364,+,0,108450.5,-200.5
chrI,34651,35258,3,chrI,35154,36303,YAL060W,15,+,0,34954.5,-199.5
chrII,221009,221250,23,chrII,221329,222652,YBL005W-A,977,+,-80,221129.5,-199.5
chrII,221009,221250,23,chrII,221329,226598,YBL005W-B,976,+,-80,221129.5,-199.5
chrV,503746,504213,187,chrV,503083,503782,YER163C,413,-,0,503979.5,-197.5
chrVIII,143500,144006,257,chrVIII,141893,143558,YHR019C,5909,-,0,143753,-195
chrVIII,38354,39050,249,chrVIII,36378,38508,YHL032C,5849,-,0,38702,-194
chrII,490395,490775,36,chrII,488904,490392,YBR126C,1119,-,-4,490585,-193
chrXVI,254293,254712,521,chrXVI,252033,254310,YPL158C,5440,-,0,254502.5,-192.5
chrXII,65078,65720,334,chrXII,64061,65207,YLL039C,4315,-,0,65399,-192
chrIX,353544,353701,154,chrIX,350590,353431,YIL002C,2357,-,-114,353622.5,-191.5
chrXIV,289160,289455,423,chrXIV,289497,291876,YNL186W,5028,+,-43,289307.5,-189.5
chrIV,936339,936511,115,chrIV,936614,937493,YDR237W,1832,+,-104,936425,-189
chrIV,286647,287092,65,chrIV,287058,289512,YDL095W,1476,+,0,286869.5,-188.5
chrIV,334269,334896,69,chrIV,334216,334396,YDL067C,1506,-,0,334582.5,-186.5
chrVIII,193609,193853,261,chrVIII,192804,193545,YHR043C,5939,-,-65,193731,-186
chrXV,970205,970579,504,chrXV,970577,971894,YOR343W-A,3449,+,0,970392,-185
chrXV,970205,970579,504,chrXV,970577,975891,YOR343W-B,3448,+,0,970392,-185
chrXV,682152,682428,485,chrXV,681443,682106,YOR185C,3278,-,-47,682290,-184
chrII,618525,618923,41,chrII,618908,620303,YBR199W,1201,+,0,618724,-184
chrXII,909876,910421,371,chrXII,909728,909965,YLR395C,4787,-,0,910148.5,-183.5
chrXI,402061,402463,322,chrXI,398831,402080,YKL020C,2769,-,0,402262,-182
chrXIII,343574,343826,396,chrXIII,341855,343520,YMR036C,6342,-,-55,343700,-180
chrXVI,408657,409188,531,chrXVI,408009,408744,YPL078C,5524,-,0,408922.5,-178.5
chrXVI,742100,742450,544,chrXVI,742453,743743,YPR108W,5714,+,-4,742275,-178
chrVIII,101969,102151,254,chrVIII,100647,101883,YHL003C,5884,-,-87,102060,-177
chrV,214680,215090,167,chrV,215062,217693,YER032W,248,+,0,214885,-177
chrIV,926840,927332,114,chrIV,926292,926910,YDR231C,1826,-,0,927086,-176
chrXVI,328775,329037,527,chrXVI,327863,328730,YPL117C,5484,-,-46,328906,-176
chrXIII,654707,655091,406,chrXIII,655075,658342,YMR196W,6521,+,0,654899,-176
chrIX,148777,148992,145,chrIX,144326,148709,YIL115C,2230,-,-69,148884.5,-175.5
chrIV,1261333,1261677,130,chrIV,1261680,1262967,YDR394W,2007,+,-4,1261505,-175
chrIV,286647,287092,65,chrIV,285390,286695,YDL097C,1474,-,0,286869.5,-174.5
chrIV,835571,835762,105,chrIV,832858,835492,YDR186C,1776,-,-80,835666.5,-174.5
chrXIII,236016,236230,393,chrXIII,234770,235952,YML018C,6280,-,-65,236123,-171
chrXIII,16717,16976,380,chrXIII,15134,16676,YML128C,6159,-,-42,16846.5,-170.5
chrV,364214,364621,176,chrV,364588,366517,YER103W,342,+,0,364417.5,-170.5
chrVII,720063,720414,233,chrVII,720408,724764,YGR116W,4088,+,0,720238.5,-169.5
chrXVI,534691,535053,538,chrXVI,533641,534703,YPL011C,5592,-,0,534872,-169
chrVIII,422350,422558,268,chrVIII,420372,422286,YHR161C,6076,-,-65,422454,-168
chrIV,1228135,1228752,128,chrIV,1228610,1228916,YDR377W,1988,+,0,1228443.5,-166.5
chrXV,943378,943724,503,chrXV,939620,943385,YOR330C,3433,-,0,943551,-166
chrXI,615313,615815,330,chrXI,615729,617535,YKR093W,2885,+,0,615564,-165
chrXIII,902413,902855,412,chrXIII,902799,903849,YMR315W,6650,+,0,902634,-165
chrXII,541482,541992,355,chrXII,540808,541573,YLR194C,4569,-,0,541737,-164
chrVIII,107426,107896,255,chrVIII,107825,108122,YHR001W-A,5889,+,0,107661,-164
chrV,400802,401208,179,chrV,399495,400842,YER119C,358,-,0,401005,-163
chrIV,1277278,1277687,131,chrIV,1277645,1278437,YDR405W,2018,+,0,1277482.5,-162.5
chrIV,550597,550879,87,chrIV,548761,550576,YDR046C,1627,-,-22,550738,-162
chrVII,291762,291979,213,chrVII,292032,293001,YGL115W,3844,+,-54,291870.5,-161.5
chrIX,193167,193544,146,chrIX,191029,193195,YIL091C,2257,-,0,193355.5,-160.5
chrIX,45814,46267,143,chrIX,46200,46815,YIL158W,2182,+,0,46040.5,-159.5
chrII,63634,63801,10,chrII,63875,66818,YBL085W,886,+,-75,63717.5,-157.5
chrVIII,54210,54436,250,chrVIII,53218,54166,YHL026C,5856,-,-45,54323,-157
chrIII,258615,259000,53,chrIII,258414,258651,YCR081C-A,3660,-,0,258807.5,-156.5
chrVII,1007337,1007586,246,chrVII,1006204,1007305,YGR257C,4241,-,-33,1007461.5,-156.5
chrXVI,267533,267849,523,chrXVI,266179,267535,YPL151C,5448,-,0,267691,-156
chrIV,1362635,1362807,133,chrIV,1362877,1364902,YDR452W,2066,+,-71,1362721,-156
chrVI,27838,28312,195,chrVI,28231,29629,YFL052W,2425,+,0,28075,-156
chrIV,871827,872084,108,chrIV,872111,873428,YDR210W-A,1803,+,-28,871955.5,-155.5
chrIV,871827,872084,108,chrIV,872111,877425,YDR210W-B,1802,+,-28,871955.5,-155.5
chrXVI,506388,506694,536,chrXVI,506696,509999,YPL022W,5581,+,-3,506541,-155
chrXI,255444,255784,316,chrXI,253696,255460,YKL100C,2681,-,0,255614,-154
chrXI,75484,75891,308,chrXI,74931,75534,YKL196C,2579,-,0,75687.5,-153.5
chrX,265630,265913,285,chrX,265925,268415,YJL089W,593,+,-13,265771.5,-153.5
chrVIII,129216,129438,256,chrVIII,129480,130448,YHR012W,5902,+,-43,129327,-153
chrXII,921502,922316,372,chrXII,922062,922536,YLR400W,4793,+,0,921909,-153
chrX,90382,90883,275,chrX,90785,91657,YJL177W,500,+,0,90632.5,-152.5
chrIV,431967,432391,74,chrIV,432329,433025,YDL010W,1565,+,0,432179,-150
chrXV,158834,159211,462,chrXV,159172,159445,YOL086W-A,2986,+,0,159022.5,-149.5
chrXIII,34010,34178,382,chrXIII,34242,37647,YML117W,6170,+,-65,34094,-148
chrXVI,551526,552082,539,chrXVI,550631,551657,YPL004C,5599,-,0,551804,-147
chrXV,87264,88128,454,chrXV,87843,89448,YOL123W,2946,+,0,87696,-147
chrVI,115739,116040,200,chrVI,115107,115743,YFL010C,2475,-,0,115889.5,-146.5
chrXII,568278,568561,357,chrXII,568566,570627,YLR214W,4589,+,-6,568419.5,-146.5
chrIV,1476482,1476761,137,chrIV,1474973,1476476,YDR516C,2132,-,-7,1476621.5,-145.5
chrXVI,534691,535053,538,chrXVI,535017,535587,YPL010W,5593,+,0,534872,-145
chrXV,813663,814014,494,chrXV,813983,815720,YOR260W,3357,+,0,813838.5,-144.5
chrXII,727945,728348,365,chrXII,727910,728003,YLR299C-A,4684,-,0,728146.5,-143.5
chrVII,643719,644080,227,chrVII,644043,644595,YGR082W,4052,+,0,643899.5,-143.5
