chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXII,1056721,1057447,112,chrXII,1057333,1058518,YLR459W,4858,+,0,1057084,-249
chrXII,602633,602788,107,chrXII,600018,602463,YLR228C,4606,-,-171,602710.5,-247.5
chrIV,111209,111478,25,chrIV,111579,114234,YDL194W,1370,+,-102,111343.5,-235.5
chrIV,820897,821229,32,chrIV,821294,825776,YDR180W,1768,+,-66,821063,-231
chrIX,343611,344140,53,chrIX,342993,343656,YIL007C,2351,-,0,343875.5,-219.5
chrXVI,568869,569528,155,chrXVI,567268,568996,YPR006C,5609,-,0,569198.5,-202.5
chrXVI,264239,264539,151,chrXVI,261726,264192,YPL153C,5445,-,-48,264389,-197
chrX,378422,378836,94,chrX,378824,380096,YJL036W,650,+,0,378629,-195
chrII,323955,324323,9,chrII,321875,323945,YBR043C,1026,-,-11,324139,-194
chrXV,682060,682523,145,chrXV,681443,682106,YOR185C,3278,-,0,682291.5,-185.5
chrIX,343611,344140,53,chrIX,344061,345183,YIL006W,2352,+,0,343875.5,-185.5
chrII,331425,331873,10,chrII,331832,332360,YBR047W,1030,+,0,331649,-183
chrXIII,362585,363031,119,chrXIII,361304,362627,YMR046C,6352,-,0,362808,-181
chrXIII,362585,363031,119,chrXIII,357358,362627,YMR045C,6351,-,0,362808,-181
chrVII,196464,196698,66,chrVII,193706,196403,YGL163C,3795,-,-62,196581,-178
chrXI,242640,242882,98,chrXI,239184,242583,YKL105C,2676,-,-58,242761,-178
chrIV,1342115,1342513,41,chrIV,1342492,1344241,YDR440W,2054,+,0,1342314,-178
chrVIII,490429,490727,85,chrVIII,490746,491712,YHR195W,6116,+,-20,490578,-168
chrII,649998,650405,17,chrII,650367,651192,YBR213W,1217,+,0,650201.5,-165.5
chrXIII,279609,279991,117,chrXIII,279959,280340,YMR007W,6309,+,0,279800,-159
chrXIII,552962,553442,123,chrXIII,553361,554390,YMR144W,6459,+,0,553202,-159
chrII,547126,547489,15,chrII,547459,548194,YBR153W,1150,+,0,547307.5,-151.5
chrIV,670998,671368,31,chrIV,669015,671034,YDR107C,1691,-,0,671183,-149
chrXV,111778,112131,138,chrXV,112101,113130,YOL107W,2962,+,0,111954.5,-146.5
chrXI,5647,5881,97,chrXI,3502,5620,YKL222C,2555,-,-28,5764,-144
chrII,645188,645629,16,chrII,645549,645978,YBR210W,1214,+,0,645408.5,-140.5
chrII,331425,331873,10,chrII,330506,331511,YBR046C,1029,-,0,331649,-138
chrXII,614439,614794,108,chrXII,614754,616191,YLR238W,4616,+,0,614616.5,-137.5
chrXV,658472,658747,144,chrXV,658746,659601,YOR174W,3267,+,0,658609.5,-136.5
chrV,184207,184603,58,chrV,184540,186775,YER015W,229,+,0,184405,-135
chrIII,133136,133381,21,chrIII,132272,133124,YCR010C,3586,-,-13,133258.5,-134.5
chrXIV,373395,374034,136,chrXIV,372450,373581,YNL134C,5084,-,0,373714.5,-133.5
chrXV,467504,467935,141,chrXV,466674,467589,YOR074C,3161,-,0,467719.5,-130.5
chrXVI,775158,775464,157,chrXVI,773874,775182,YPR120C,5727,-,0,775311,-129
chrIV,485249,485728,30,chrIV,484162,485365,YDR019C,1596,-,0,485488.5,-123.5
chrXIV,274094,274395,135,chrXIV,274367,276044,YNL193W,5021,+,0,274244.5,-122.5
chrXIII,279609,279991,117,chrXIII,277560,279681,YMR006C,6308,-,0,279800,-119
chrVII,521902,522381,72,chrVII,522260,522833,YGR016W,3979,+,0,522141.5,-118.5
chrXIII,352026,352305,118,chrXIII,352280,352370,tF(GAA)M,5938,+,0,352165.5,-114.5
chrI,105852,106116,4,chrI,101564,105872,YAL024C,59,-,0,105984,-112
chrXII,797134,797503,109,chrXII,797429,799592,YLR335W,4722,+,0,797318.5,-110.5
chrI,52586,52819,2,chrI,51854,52595,YAL049C,25,-,0,52702.5,-107.5
chrVII,216004,216326,67,chrVII,216272,217298,YGL153W,3805,+,0,216165,-107
chrVIII,377685,377922,83,chrVIII,377354,377699,YHR138C,6051,-,0,377803.5,-104.5
chrX,313879,314159,93,chrX,313015,313915,YJL068C,616,-,0,314019,-104
chrII,451972,452171,13,chrII,450880,451969,YBR105C,1095,-,-4,452071.5,-102.5
chrVII,459639,459885,71,chrVII,459109,459664,YGL018C,3943,-,0,459762,-98
chrXIV,439219,439543,137,chrXIV,438566,439283,YNL099C,5121,-,0,439381,-98
chrVIII,302534,302793,81,chrVIII,302760,313995,YHR099W,6009,+,0,302663.5,-96.5
chrII,441278,441558,12,chrII,441514,443590,YBR098W,1088,+,0,441418,-96
chrXIII,564189,564491,124,chrXIII,564434,565862,YMR153W,6468,+,0,564340,-94
chrXV,594841,595193,142,chrXV,595111,596434,YOR142W-A,3232,+,0,595017,-94
chrXV,594841,595193,142,chrXV,595111,600380,YOR142W-B,3231,+,0,595017,-94
chrVIII,250839,251174,80,chrVIII,251100,252225,YHR076W,5984,+,0,251006.5,-93.5
chrIV,1075118,1075408,37,chrIV,1073734,1075171,YDR306C,1906,-,0,1075263,-92
chrVII,459639,459885,71,chrVII,459853,461365,YGL017W,3944,+,0,459762,-91
chrVI,191549,191857,62,chrVI,191513,191613,tS(GCU)F,6101,-,0,191703,-90
chrVII,942182,942428,76,chrVII,940868,942215,YGR223C,4206,-,0,942305,-90
chrVIII,69459,69779,78,chrVIII,69707,70070,YHL018W,5865,+,0,69619,-88
chrXIV,122613,122976,132,chrXIV,122882,126599,YNL273W,4941,+,0,122794.5,-87.5
chrXVI,563738,563971,154,chrXVI,561503,563768,YPR003C,5606,-,0,563854.5,-86.5
chrIV,670998,671368,31,chrIV,671268,673365,YDR108W,1692,+,0,671183,-85
chrIII,248727,249066,22,chrIII,248032,248815,YCR075C,3654,-,0,248896.5,-81.5
chrXIV,224353,224747,134,chrXIV,222723,224469,YNL225C,4989,-,0,224550,-81
chrV,366575,366871,59,chrV,366801,367428,YER104W,343,+,0,366723,-78
chrIII,248727,249066,22,chrIII,248974,249202,YCR075W-A,3655,+,0,248896.5,-77.5
chrVII,352248,352499,68,chrVII,350615,352298,YGL084C,3875,-,0,352373.5,-75.5
chrXIII,733272,733665,127,chrXIII,733544,736634,YMR231W,6557,+,0,733468.5,-75.5
chrXIV,122091,122398,131,chrXIV,121117,122170,YNL274C,4940,-,0,122244.5,-74.5
chrXIV,128973,129342,133,chrXIV,126804,129084,YNL272C,4942,-,0,129157.5,-73.5
chrXII,159855,160095,105,chrXII,160048,161434,YLR005W,4359,+,0,159975,-73
chrXI,625624,625957,101,chrXI,625863,626205,YKR095W-A,2888,+,0,625790.5,-72.5
chrVII,718688,718953,74,chrVII,718892,719924,YGR113W,4085,+,0,718820.5,-71.5
chrVIII,69459,69779,78,chrVIII,67730,69548,YHL019C,5864,-,0,69619,-71
chrIX,237719,237940,48,chrIX,235723,237760,YIL067C,2282,-,0,237829.5,-69.5
chrVII,216004,216326,67,chrVII,215277,216096,YGL154C,3804,-,0,216165,-69
chrVII,969894,970349,77,chrVII,969186,970053,YGR239C,4222,-,0,970121.5,-68.5
chrXV,111778,112131,138,chrXV,111430,111886,YOL108C,2961,-,0,111954.5,-68.5
chrX,254410,254606,91,chrX,251820,254442,YJL094C,588,-,0,254508,-66
chrVII,521902,522381,72,chrVII,521089,522076,YGR015C,3978,-,0,522141.5,-65.5
chrX,517417,517737,96,chrX,516460,517513,YJR043C,729,-,0,517577,-64
chrX,313879,314159,93,chrX,314083,314434,YJL067W,617,+,0,314019,-64
chrI,181005,181151,5,chrI,181141,181254,tL(CAA)A,6006,+,0,181078,-63
chrVII,359265,359499,69,chrVII,359443,360100,YGL079W,3880,+,0,359382,-61
chrV,26479,26734,55,chrV,26666,27206,YEL066W,134,+,0,26606.5,-59.5
chrIX,307868,308108,52,chrIX,304476,307929,YIL026C,2328,-,0,307988,-59
chrIV,473825,474151,29,chrIV,474045,475989,YDR014W,1590,+,0,473988,-57
chrIX,380950,381107,54,chrIX,381085,381814,YIR014W,2372,+,0,381028.5,-56.5
chrXVI,184644,184826,149,chrXVI,183596,184679,YPL191C,5405,-,0,184735,-56
chrIX,62644,62920,45,chrIX,61012,62728,YIL150C,2192,-,0,62782,-54
chrIV,963285,963434,35,chrIV,963411,963861,YDR252W,1848,+,0,963359.5,-51.5
chrIII,46825,47087,20,chrIII,44622,46905,YCL045C,3531,-,0,46956,-51
chrIX,229887,230199,47,chrIX,228659,229994,YIL071C,2277,-,0,230043,-49
chrIII,17120,17360,19,chrIII,17289,18561,YCL063W,3514,+,0,17240,-49
chrVI,80112,80404,61,chrVI,79343,80213,YFL028C,2451,-,0,80258,-45
chrXIII,173008,173183,116,chrXIII,173138,174074,YML050W,6246,+,0,173095.5,-42.5
chrXV,1066703,1066890,147,chrXV,1066838,1068536,YOR386W,3494,+,0,1066796.5,-41.5
chrXV,389050,389294,140,chrXV,389212,389422,YOR031W,3114,+,0,389172,-40
chrXVI,703917,704100,156,chrXVI,702113,703970,YPR081C,5688,-,0,704008.5,-38.5
chrII,684847,685030,18,chrII,684976,685261,YBR233W-A,1241,+,0,684938.5,-37.5
chrIV,1185956,1186186,40,chrIV,1186106,1188941,YDR356W,1962,+,0,1186071,-35
chrXVI,423830,424023,153,chrXVI,422884,423892,YPL069C,5533,-,0,423926.5,-34.5
chrI,79565,79801,3,chrI,79717,80587,YAL034W-A,46,+,0,79683,-34
chrVII,31776,31980,64,chrVII,31909,32635,YGL250W,3705,+,0,31878,-31
chrVIII,498375,498528,86,chrVIII,497489,498422,YHR199C,6120,-,0,498451.5,-29.5
chrXV,196322,196639,139,chrXV,196506,196995,YOL071W,3004,+,0,196480.5,-25.5
