peakName,gene,TBP,TFIIA,TFIIB,TFIIE,TFIIF
chrXV_592503_593113,YOR142W,<1,NA,NA,NA,NA
chrV_84621_86962,YEL035C,<1,NA,NA,NA,NA
chrVIII_20970_21465,YHL040C,<1,NA,NA,NA,NA
chrVIII_143500_144006,YHR020W,<1,NA,NA,NA,NA
chrXII_88077_88684,YLL026W,<1,NA,NA,NA,NA
chrXV_316582_316814,YOL004W,<1,NA,NA,NA,NA
chrX_109533_109864,YJL165C,<1,NA,NA,NA,NA
chrVII_914771_915240,YGR211W,<1,NA,NA,NA,NA
chrII_544515_544938,YBR150C,<1,NA,NA,NA,NA
chrIII_24209_24859,YCL057W,<1,NA,NA,NA,NA
chrII_458349_458825,YBR109C,<1,NA,NA,NA,NA
chrXII_827777_828418,YLR348C,<1,NA,NA,NA,NA
chrXV_592503_593113,YOR141C,<1,NA,NA,NA,NA
chrVIII_209190_209776,YHR051W,<1,NA,NA,NA,NA
chrXIV_633665_634732,YNR003W-A,<1,NA,NA,NA,NA
chrX_293975_294424,YJL078C,<1,NA,NA,NA,NA
chrXV_866554_867209,YOR293W,<1,NA,NA,NA,NA
chrVII_798017_798637,YGR155W,<1,NA,NA,NA,NA
chrXVI_551526_552082,YPL003W,<1,NA,NA,NA,NA
chrXII_166086_166508,YLR008C,<1,NA,NA,NA,NA
chrX_543768_543928,YJR057W,<1,NA,NA,NA,NA
chrX_236922_237178,YJL100W,<1,NA,NA,NA,NA
chrIV_998322_998745,YDR264C,<1,NA,NA,NA,NA
chrXVI_918983_919520,YPR190C,<1,NA,NA,NA,NA
chrIV_462852_463595,YDR009W,<1,NA,NA,NA,NA
chrIII_24209_24859,YCL057C-A,<1,NA,NA,NA,NA
chrV_546340_546874,YER178W,<1,NA,NA,NA,NA
chrXV_579808_580282,YOR136W,<1,NA,NA,NA,NA
chrVII_557396_557853,YGR035C,<1,NA,NA,NA,NA
chrXV_127966_128279,YOL101C,<1,NA,NA,NA,NA
chrIV_703978_704584,YDR127W,<1,NA,NA,NA,NA
chrXI_34114_34502,YKL213C,<1,NA,NA,NA,NA
chrXVI_108146_108755,YPL231W,<1,NA,NA,NA,NA
chrI_34651_35258,YAL060W,<1,NA,NA,NA,NA
chrII_221009_221250,YBL005W-A,<1,NA,NA,NA,NA
chrII_221009_221250,YBL005W-B,<1,NA,NA,NA,NA
chrV_503746_504213,YER163C,<1,NA,NA,NA,NA
chrVIII_143500_144006,YHR019C,<1,NA,NA,NA,NA
chrVIII_38354_39050,YHL032C,<1,NA,NA,NA,NA
chrII_490395_490775,YBR126C,<1,NA,NA,NA,NA
chrXVI_254293_254712,YPL158C,<1,NA,NA,NA,NA
chrXII_65078_65720,YLL039C,<1,NA,NA,NA,NA
chrXIV_289160_289455,YNL186W,<1,NA,NA,NA,NA
chrIV_936339_936511,YDR237W,<1,NA,NA,NA,NA
chrIV_286647_287092,YDL095W,<1,NA,NA,NA,NA
chrIV_334269_334896,YDL067C,<1,NA,NA,NA,NA
chrVIII_193609_193853,YHR043C,<1,NA,NA,NA,NA
chrXV_970205_970579,YOR343W-A,<1,NA,NA,NA,NA
chrXV_970205_970579,YOR343W-B,<1,NA,NA,NA,NA
chrXV_682152_682428,YOR185C,<1,NA,NA,NA,NA
chrII_618525_618923,YBR199W,<1,NA,NA,NA,NA
chrXII_909876_910421,YLR395C,<1,NA,NA,NA,NA
chrXI_402061_402463,YKL020C,<1,NA,NA,NA,NA
chrXIII_343574_343826,YMR036C,<1,NA,NA,NA,NA
chrXVI_408657_409188,YPL078C,<1,NA,NA,NA,NA
chrXVI_742100_742450,YPR108W,<1,NA,NA,NA,NA
chrVIII_101969_102151,YHL003C,<1,NA,NA,NA,NA
chrV_214680_215090,YER032W,<1,NA,NA,NA,NA
chrIV_926840_927332,YDR231C,<1,NA,NA,NA,NA
chrXVI_328775_329037,YPL117C,<1,NA,NA,NA,NA
chrXIII_654707_655091,YMR196W,<1,NA,NA,NA,NA
chrIX_148777_148992,YIL115C,<1,NA,NA,NA,NA
chrIV_1261333_1261677,YDR394W,<1,NA,NA,NA,NA
chrIV_286647_287092,YDL097C,<1,NA,NA,NA,NA
chrIV_835571_835762,YDR186C,<1,NA,NA,NA,NA
chrXIII_236016_236230,YML018C,<1,NA,NA,NA,NA
chrXIII_16717_16976,YML128C,<1,NA,NA,NA,NA
chrV_364214_364621,YER103W,<1,NA,NA,NA,NA
chrVII_720063_720414,YGR116W,<1,NA,NA,NA,NA
chrXVI_534691_535053,YPL011C,<1,NA,NA,NA,NA
chrVIII_422350_422558,YHR161C,<1,NA,NA,NA,NA
chrIV_1228135_1228752,YDR377W,<1,NA,NA,NA,NA
chrXV_943378_943724,YOR330C,<1,NA,NA,NA,NA
chrXI_615313_615815,YKR093W,<1,NA,NA,NA,NA
chrXIII_902413_902855,YMR315W,<1,NA,NA,NA,NA
chrXII_541482_541992,YLR194C,<1,NA,NA,NA,NA
chrVIII_107426_107896,YHR001W-A,<1,NA,NA,NA,NA
chrV_400802_401208,YER119C,<1,NA,NA,NA,NA
chrIV_1277278_1277687,YDR405W,<1,NA,NA,NA,NA
chrIV_550597_550879,YDR046C,<1,NA,NA,NA,NA
chrVII_291762_291979,YGL115W,<1,NA,NA,NA,NA
chrIX_193167_193544,YIL091C,<1,NA,NA,NA,NA
chrIX_45814_46267,YIL158W,<1,NA,NA,NA,NA
chrII_63634_63801,YBL085W,<1,NA,NA,NA,NA
chrVIII_54210_54436,YHL026C,<1,NA,NA,NA,NA
chrIII_258615_259000,YCR081C-A,<1,NA,NA,NA,NA
chrVII_1007337_1007586,YGR257C,<1,NA,NA,NA,NA
chrXVI_267533_267849,YPL151C,<1,NA,NA,NA,NA
chrIV_1362635_1362807,YDR452W,<1,NA,NA,NA,NA
chrVI_27838_28312,YFL052W,<1,NA,NA,NA,NA
chrIV_871827_872084,YDR210W-A,<1,NA,NA,NA,NA
chrIV_871827_872084,YDR210W-B,<1,NA,NA,NA,NA
chrXVI_506388_506694,YPL022W,<1,NA,NA,NA,NA
chrXI_255444_255784,YKL100C,<1,NA,NA,NA,NA
chrXI_75484_75891,YKL196C,<1,NA,NA,NA,NA
chrX_265630_265913,YJL089W,<1,NA,NA,NA,NA
chrVIII_129216_129438,YHR012W,<1,NA,NA,NA,NA
chrXII_921502_922316,YLR400W,<1,NA,NA,NA,NA
chrX_90382_90883,YJL177W,<1,NA,NA,NA,NA
chrIV_431967_432391,YDL010W,<1,NA,NA,NA,NA
chrXV_158834_159211,YOL086W-A,<1,NA,NA,NA,NA
chrXIII_34010_34178,YML117W,<1,NA,NA,NA,NA
chrXVI_551526_552082,YPL004C,<1,NA,NA,NA,NA
chrXV_87264_88128,YOL123W,<1,NA,NA,NA,NA
chrVI_115739_116040,YFL010C,<1,NA,NA,NA,NA
chrXII_568278_568561,YLR214W,<1,NA,NA,NA,NA
chrIV_1476482_1476761,YDR516C,<1,NA,NA,NA,NA
chrXVI_534691_535053,YPL010W,<1,NA,NA,NA,NA
chrXV_813663_814014,YOR260W,<1,NA,NA,NA,NA
chrXII_727945_728348,YLR299C-A,<1,NA,NA,NA,NA
chrVII_643719_644080,YGR082W,<1,NA,NA,NA,NA
chrXIV_117102_117313,YNL277W,<1,NA,NA,NA,NA
chrIII_40668_41060,YCL049C,<1,NA,NA,NA,NA
chrXIII_271865_272240,YMR002W,<1,NA,NA,NA,NA
chrXVI_211868_212167,YPL178W,<1,NA,NA,NA,NA
chrXI_278759_279207,YKL085W,<1,NA,NA,NA,NA
chrXV_755016_755360,YOR220W,<1,NA,NA,NA,NA
chrXII_286544_286851,YLR078C,<1,NA,NA,NA,NA
chrXII_646000_646183,YLR255C,<1,NA,NA,NA,NA
chrII_515348_515701,YBR139W,<1,NA,NA,NA,NA
chrV_214680_215090,YER031C,<1,NA,NA,NA,NA
chrX_106048_106543,YJL166W,<1,NA,NA,NA,NA
chrXV_170845_171020,YOL081W,<1,NA,NA,NA,NA
chrIV_104560_104814,YDL198C,<1,NA,NA,NA,NA
chrX_104456_104671,YJL168C,<1,NA,NA,NA,NA
chrXIV_440535_440874,YNL098C,<1,NA,NA,NA,NA
chrXV_770501_770828,YOR230W,<1,NA,NA,NA,NA
chrVII_384848_385274,YGL062W,<1,NA,NA,NA,NA
chrI_61011_61359,YAL043C,<1,NA,NA,NA,NA
chrXIII_29716_30164,YML120C,<1,NA,NA,NA,NA
chrII_181318_181497,YBL022C,<1,NA,NA,NA,NA
chrII_140895_141332,YBL041W,<1,NA,NA,NA,NA
chrVII_609038_609865,snR48,<1,NA,NA,NA,NA
chrXI_75484_75891,YKL195W,<1,NA,NA,NA,NA
chrV_153239_153536,YER001W,<1,NA,NA,NA,NA
chrX_150422_150620,YJL141C,<1,NA,NA,NA,NA
chrXV_813663_814014,YOR259C,<1,NA,NA,NA,NA
chrIV_867987_868198,YDR208W,<1,NA,NA,NA,NA
chrIV_316379_316657,YDL078C,<1,NA,NA,NA,NA
chrI_61011_61359,YAL042W,<1,NA,NA,NA,NA
chrVIII_517187_517615,YHR208W,<1,NA,NA,NA,NA
chrVIII_374361_376098,YHR136C,<1,NA,NA,NA,NA
chrV_400802_401208,YER120W,<1,NA,NA,NA,NA
chrXIV_452178_452378,YNL091W,<1,NA,NA,NA,NA
chrVII_97072_97345,YGL208W,<1,NA,NA,NA,NA
chrXVI_918983_919520,YPR191W,<1,NA,NA,NA,NA
chrXVI_425750_426458,YPL066W,<1,NA,NA,NA,NA
chrX_94845_95082,YJL174W,<1,NA,NA,NA,NA
chrII_444594_445046,YBR101C,<1,NA,NA,NA,NA
chrXV_273620_274080,YOL027C,<1,NA,NA,NA,NA
chrXVI_171114_171447,YPL201C,<1,NA,NA,NA,NA
chrXV_285917_286174,YOL020W,<1,NA,NA,NA,NA
chrVII_299727_299979,YGL112C,<1,NA,NA,NA,NA
chrXV_211949_212291,YOL062C,<1,NA,NA,NA,NA
