peakName,factorName,gene,geneLabel,Km_western,n_western,Km_nls,Vmax_nls,R2_nls
chrI_231_446,TFIIF,YAL069W,chrI_231_446:YAL069W,42.24546901,6.578412469,57.49784139,1.541478189,0.719846973
chrI_11134_11439,TFIIF,YAL065C,chrI_11134_11439:YAL065C,42.24546901,6.578412469,41.96617171,0.913802907,0.984009289
chrI_30940_31662,TFIIF,GDH3,chrI_30940_31662:GDH3,42.24546901,6.578412469,40.62039114,1.067459899,0.986867222
chrI_32955_33457,TFIIF,BDH2,chrI_32955_33457:BDH2,42.24546901,6.578412469,45.69091841,1.093817473,0.927975965
chrI_34657_35232,TFIIF,BDH1,chrI_34657_35232:BDH1,42.24546901,6.578412469,46.60641592,1.141387758,0.934069433
chrI_37292_37478,TFIIF,CNE1,chrI_37292_37478:CNE1,42.24546901,6.578412469,45.22919895,0.845378841,0.960025859
chrI_39058_39308,TFIIF,GPB2,chrI_39058_39308:GPB2,42.24546901,6.578412469,42.14320715,0.899399964,0.972799111
chrI_44916_45299,TFIIF,ACS1,chrI_44916_45299:ACS1,42.24546901,6.578412469,39.28208902,1.207306474,0.935740613
chrI_45602_45944,TFIIF,FLC2,chrI_45602_45944:FLC2,42.24546901,6.578412469,41.06732105,0.983211943,0.993753951
chrI_57307_57528,TFIIF,BOL3,chrI_57307_57528:BOL3,42.24546901,6.578412469,41.45298103,1.126269707,0.913720576
chrI_58375_58619,TFIIF,GCV3,chrI_58375_58619:GCV3,42.24546901,6.578412469,44.69211307,1.303786273,0.796267532
chrI_61037_61336,TFIIF,ERV46,chrI_61037_61336:ERV46,42.24546901,6.578412469,53.68794022,1.396679619,0.836070233
chrI_62652_62870,TFIIF,CDC24,chrI_62652_62870:CDC24,42.24546901,6.578412469,53.54889541,1.275782217,0.865789982
chrI_67690_68235,TFIIF,CLN3,chrI_67690_68235:CLN3,42.24546901,6.578412469,44.85157605,0.997390705,0.96419299
chrI_69509_69720,TFIIF,CYC3,chrI_69509_69720:CYC3,42.24546901,6.578412469,39.63416834,0.968201528,0.984242967
chrI_71400_71887,TFIIF,CDC19,chrI_71400_71887:CDC19,42.24546901,6.578412469,41.8824636,0.902594254,0.977523428
chrI_76122_76506,TFIIF,FUN12,chrI_76122_76506:FUN12,42.24546901,6.578412469,56.82675344,1.36764585,0.838504593
chrI_81820_82201,TFIIF,FUN19,chrI_81820_82201:FUN19,42.24546901,6.578412469,36.43138054,1.209559847,0.886280488
chrI_82497_82718,TFIIF,POP5,chrI_82497_82718:POP5,42.24546901,6.578412469,43.04477601,0.89752222,0.977325562
chrI_84459_84611,TFIIF,PRP45,chrI_84459_84611:PRP45,42.24546901,6.578412469,43.81903994,0.896994129,0.973133829
chrI_87023_87310,TFIIF,SNC1,chrI_87023_87310:SNC1,42.24546901,6.578412469,45.78711645,1.070678334,0.972413943
chrI_108580_108785,TFIIF,PMT2,chrI_108580_108785:PMT2,42.24546901,6.578412469,43.73769238,0.961427154,0.98105076
chrI_119738_119959,TFIIF,LDS1,chrI_119738_119959:LDS1,42.24546901,6.578412469,45.11856043,1.120855254,0.957072934
chrI_124616_124879,TFIIF,TPD3,chrI_124616_124879:TPD3,42.24546901,6.578412469,42.63683045,1.01582546,0.97039847
