peakName,factorName,gene,geneLabel,Km_western,n_western,Km_nls,Vmax_nls,R2_nls
chrI_59_383,TFIIA,YAL069W,chrI_59_383:YAL069W,57.96088845,3.84547478,66.67326611,1.069929997,0.988767293
chrI_473_670,TFIIA,YAL068W-A,chrI_473_670:YAL068W-A,57.96088845,3.84547478,64.90421031,1.083815193,0.992040762
chrI_1129_1304,TFIIA,YAL068W-A,chrI_1129_1304:YAL068W-A,57.96088845,3.84547478,62.01970207,1.014948277,0.975500586
chrI_11129_11393,TFIIA,YAL065C,chrI_11129_11393:YAL065C,57.96088845,3.84547478,60.1626139,1.294965363,0.905981292
chrI_24669_25112,TFIIA,YAL063C-A,chrI_24669_25112:YAL063C-A,57.96088845,3.84547478,62.47033688,1.083958733,0.990209005
chrI_30663_31779,TFIIA,GDH3,chrI_30663_31779:GDH3,57.96088845,3.84547478,69.51797519,1.168162436,0.985216156
chrI_32453_33518,TFIIA,BDH2,chrI_32453_33518:BDH2,57.96088845,3.84547478,69.89660263,1.155700799,0.989540306
chrI_34252_35438,TFIIA,BDH1,chrI_34252_35438:BDH1,57.96088845,3.84547478,69.94440457,1.249348806,0.951113143
chrI_37295_37494,TFIIA,CNE1,chrI_37295_37494:CNE1,57.96088845,3.84547478,67.19290192,1.100589557,0.990346542
chrI_39073_39377,TFIIA,GPB2,chrI_39073_39377:GPB2,57.96088845,3.84547478,58.01345667,1.176886609,0.958363187
chrI_44931_45375,TFIIA,ACS1,chrI_44931_45375:ACS1,57.96088845,3.84547478,60.21585098,1.11959666,0.984421667
chrI_45530_46038,TFIIA,FLC2,chrI_45530_46038:FLC2,57.96088845,3.84547478,63.67254059,1.123323592,0.991630981
chrI_48393_48545,TFIIA,OAF1,chrI_48393_48545:OAF1,57.96088845,3.84547478,64.31289286,1.119139472,0.989791667
chrI_54722_54967,TFIIA,GEM1,chrI_54722_54967:GEM1,57.96088845,3.84547478,65.49001645,1.117336951,0.986049026
chrI_56814_57094,TFIIA,SPC72,chrI_56814_57094:SPC72,57.96088845,3.84547478,74.06180462,1.096715239,0.972972645
chrI_57204_57772,TFIIA,BOL1,chrI_57204_57772:BOL1,57.96088845,3.84547478,72.92470141,1.147851292,0.991414217
chrI_58171_58687,TFIIA,GCV3,chrI_58171_58687:GCV3,57.96088845,3.84547478,76.91397055,1.167921187,0.993911152
chrI_60981_61445,TFIIA,ERV46,chrI_60981_61445:ERV46,57.96088845,3.84547478,60.78975107,1.191741973,0.964255548
chrI_62603_62910,TFIIA,CDC24,chrI_62603_62910:CDC24,57.96088845,3.84547478,73.01877687,1.169611691,0.991053601
chrI_67617_68875,TFIIA,CLN3,chrI_67617_68875:CLN3,57.96088845,3.84547478,67.39951183,1.190337735,0.976600839
chrI_69462_69848,TFIIA,CYC3,chrI_69462_69848:CYC3,57.96088845,3.84547478,63.71590896,1.169001619,0.976018086
chrI_69923_70076,TFIIA,CYC3,chrI_69923_70076:CYC3,57.96088845,3.84547478,60.47414363,1.146858168,0.975681098
chrI_71103_72520,TFIIA,CDC19,chrI_71103_72520:CDC19,57.96088845,3.84547478,70.05415528,1.203621697,0.972521083
chrI_72547_73477,TFIIA,YAL037C-B,chrI_72547_73477:YAL037C-B,57.96088845,3.84547478,64.67748531,1.147147981,0.961939244
chrI_76093_76609,TFIIA,FUN12,chrI_76093_76609:FUN12,57.96088845,3.84547478,60.75641819,1.281271491,0.916456615
chrI_81822_82801,TFIIA,FUN19,chrI_81822_82801:FUN19,57.96088845,3.84547478,63.0238088,1.126525747,0.986688847
chrI_84382_84614,TFIIA,PRP45,chrI_84382_84614:PRP45,57.96088845,3.84547478,70.05332115,1.176977249,0.983341691
chrI_86986_87370,TFIIA,SNC1,chrI_86986_87370:SNC1,57.96088845,3.84547478,62.97158163,1.130026676,0.982258254
chrI_92383_92787,TFIIA,FRT2,chrI_92383_92787:FRT2,57.96088845,3.84547478,65.50922233,1.102943684,0.995254727
chrI_94450_94688,TFIIA,SAW1,chrI_94450_94688:SAW1,57.96088845,3.84547478,59.01103767,1.122034261,0.985317157
chrI_99712_99957,TFIIA,DRS2,chrI_99712_99957:DRS2,57.96088845,3.84547478,61.82220149,1.124528702,0.981899262
chrI_108466_108806,TFIIA,PMT2,chrI_108466_108806:PMT2,57.96088845,3.84547478,60.95313264,1.257795318,0.931553739
