gene,TATA_class
YAL002W,TATA-less
YAL003W,TATA-less
YAL005C,TATA-containing
YAL007C,TATA-less
YAL008W,TATA-less
YAL010C,TATA-less
YAL011W,TATA-less
YAL012W,TATA-less
YAL013W,TATA-less
YAL014C,TATA-less
YAL016W,TATA-less
YAL019W,TATA-less
YAL020C,TATA-less
YAL021C,TATA-less
YAL022C,TATA-less
YAL023C,TATA-less
YAL024C,TATA-less
YAL025C,TATA-less
YAL026C,TATA-less
YAL027W,TATA-containing
YAL028W,TATA-less
YAL029C,TATA-less
YAL031C,TATA-less
YAL032C,TATA-less
YAL034W-A,TATA-less
YAL035W,TATA-less
YAL036C,TATA-less
YAL038W,TATA-less
YAL039C,TATA-less
YAL040C,TATA-containing
YAL041W,TATA-less
YAL042W,TATA-less
YAL043C,TATA-less
YAL044C,TATA-containing
YAL046C,TATA-containing
YAL047C,TATA-containing
YAL049C,TATA-less
YAL051W,TATA-less
YAL053W,TATA-less
YAL056W,TATA-less
YAL058W,TATA-less
YAL060W,TATA-containing
YAR002C-A,TATA-less
YAR002W,TATA-less
YAR003W,TATA-containing
YAR007C,TATA-less
YAR014C,TATA-less
YAR015W,TATA-containing
YAR018C,TATA-less
YAR019C,TATA-less
YAR028W,TATA-less
YAR033W,TATA-less
YAR042W,TATA-less
YAR073W,TATA-containing
YBL002W,TATA-containing
YBL003C,TATA-containing
YBL004W,TATA-less
YBL005W,TATA-less
YBL006C,TATA-less
YBL007C,TATA-containing
YBL008W,TATA-less
YBL009W,TATA-less
YBL010C,TATA-less
YBL011W,TATA-less
YBL013W,TATA-less
YBL014C,TATA-less
YBL015W,TATA-containing
YBL016W,TATA-containing
YBL017C,TATA-less
YBL018C,TATA-less
YBL020W,TATA-less
YBL021C,TATA-less
YBL022C,TATA-less
YBL024W,TATA-less
YBL025W,TATA-less
YBL026W,TATA-less
YBL027W,TATA-less
YBL028C,TATA-less
YBL029C-A,TATA-less
YBL029W,TATA-containing
YBL030C,TATA-containing
YBL031W,TATA-less
YBL032W,TATA-less
YBL033C,TATA-containing
YBL034C,TATA-less
YBL035C,TATA-containing
YBL036C,TATA-less
YBL037W,TATA-less
YBL038W,TATA-less
YBL039C,TATA-less
YBL039W-B,TATA-less
YBL040C,TATA-less
YBL041W,TATA-less
YBL042C,TATA-containing
YBL045C,TATA-less
YBL046W,TATA-less
YBL047C,TATA-less
YBL050W,TATA-less
YBL051C,TATA-less
YBL052C,TATA-less
YBL054W,TATA-less
YBL055C,TATA-less
YBL056W,TATA-less
YBL057C,TATA-less
YBL058W,TATA-containing
YBL059W,TATA-less
YBL061C,TATA-less
YBL063W,TATA-less
YBL064C,TATA-containing
YBL067C,TATA-less
YBL068W,TATA-less
YBL069W,TATA-containing
YBL071W-A,TATA-less
YBL072C,TATA-less
YBL074C,TATA-less
YBL076C,TATA-less
YBL078C,TATA-less
YBL079W,TATA-less
YBL080C,TATA-less
YBL081W,TATA-less
YBL082C,TATA-less
YBL084C,TATA-less
YBL085W,TATA-less
YBL087C,TATA-less
YBL088C,TATA-less
YBL090W,TATA-less
YBL091C-A,TATA-containing
YBL092W,TATA-less
YBL093C,TATA-less
YBL095W,TATA-less
YBL097W,TATA-less
YBL099W,TATA-less
YBL100W-C,TATA-less
YBL102W,TATA-less
YBL103C,TATA-less
YBL104C,TATA-less
YBL105C,TATA-less
YBL107C,TATA-containing
YBR001C,TATA-containing
YBR002C,TATA-less
YBR003W,TATA-less
YBR005W,TATA-less
YBR007C,TATA-less
YBR008C,TATA-less
YBR009C,TATA-containing
YBR010W,TATA-containing
YBR011C,TATA-less
YBR014C,TATA-less
YBR015C,TATA-less
YBR016W,TATA-containing
YBR017C,TATA-less
YBR021W,TATA-less
YBR022W,TATA-less
YBR023C,TATA-less
YBR024W,TATA-less
YBR025C,TATA-less
YBR026C,TATA-less
YBR028C,TATA-less
YBR029C,TATA-less
