chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrXIV,569674,570207,5.817799097,chrXIV,568521,569691,YNL035C,5190,-,0,569940.5,-249.5
chrV,559039,559377,4.249807588,chrV,559453,560365,YER185W,439,+,-77,559208,-245
chrXIV,103979,105141,3.145918994,chrXIV,104805,104877,tT(AGU)N1,6114,+,0,104560,-245
chrXVI,165935,166089,3.382360502,chrXVI,166255,167398,YPL203W,5393,+,-167,166012,-243
chrVI,167108,167891,4.050712787,chrVI,166745,167258,YFR011C,2498,-,0,167499.5,-241.5
chrII,347206,347878,5.03707849,chrII,344601,347301,YBR055C,1038,-,0,347542,-241
chrV,130895,131891,4.944703947,chrV,131082,131153,tQ(UUG)E2,6067,-,0,131393,-240
chrV,487154,488127,2.698439325,chrV,487331,487402,tE(UUC)E3,5922,-,0,487640.5,-238.5
chrI,165683,166525,3.62093663,chrI,164543,165866,YAR010C,91,-,0,166104,-238
chrXII,710178,710570,1.649128625,chrXII,708447,710136,YLR286C,4668,-,-43,710374,-238
chrXII,503995,504711,3.367139459,chrXII,504590,505829,YLR174W,4549,+,0,504353,-237
chrV,431007,431906,3.32565812,chrV,431129,431220,snR52,5830,-,0,431456.5,-236.5
chrII,226351,227326,2.833038955,chrII,227075,227156,tS(AGA)B,6090,+,0,226838.5,-236.5
chrVII,185552,186091,4.114146546,chrVII,186058,187339,YGL169W,3789,+,0,185821.5,-236.5
chrVII,197717,198085,1.359112076,chrVII,198137,199037,YGL162W,3796,+,-53,197901,-236
chrVIII,272305,272480,2.041020614,chrVIII,272626,273616,YHR083W,5992,+,-147,272392.5,-233.5
chrXII,975827,976748,2.855156258,chrXII,975983,976056,tN(GUU)L,6042,-,0,976287.5,-231.5
chrIX,324097,325112,3.863367187,chrIX,324303,324374,tD(GUC)I1,5904,-,0,324604.5,-230.5
chrXIII,379044,379669,2.842613852,chrXIII,379585,380200,YMR052W,6359,+,0,379356.5,-228.5
chrIV,488611,489575,3.121073574,chrIV,488797,488870,tV(UAC)D,6140,-,0,489093,-223
chrIV,437562,438087,3.216424728,chrIV,438046,439360,YDL007W,1569,+,0,437824.5,-221.5
chrVIII,358337,358938,3.781626087,chrVIII,358857,359163,YHR125W,6035,+,0,358637.5,-219.5
chrVII,1065084,1065234,6.436036641,chrVII,1063812,1064940,YGR286C,4271,-,-145,1065159,-219
chrXV,281474,282419,4.361030824,chrXV,282164,282234,tG(GCC)O2,5957,+,0,281946.5,-217.5
chrXVI,452981,453553,3.274105333,chrXVI,451908,453057,YPL057C,5545,-,0,453267,-210
chrXV,594018,595246,2.959986661,chrXV,594354,594425,tG(CCC)O,5943,-,0,594632,-207
chrIV,806241,806587,1.271632656,chrIV,806620,807748,YDR171W,1758,+,-34,806414,-206
chrIV,817515,817974,1.312985572,chrIV,817949,818495,YDR178W,1765,+,0,817744.5,-204.5
chrIX,325413,326047,5.382518256,chrIX,325211,325526,YIL014C-A,2342,-,0,325730,-204
chrIX,205288,205572,3.10763066,chrIX,205634,206507,YIL082W,2267,+,-63,205430,-204
chrIX,205288,205572,3.10763066,chrIX,205634,210132,YIL082W-A,2266,+,-63,205430,-204
chrVI,210485,210997,5.82653308,chrVI,210936,212973,YFR029W,2517,+,0,210741,-195
chrXIII,388361,388894,3.325729218,chrXIII,388821,390732,YMR058W,6366,+,0,388627.5,-193.5
chrVII,541113,542201,3.461067457,chrVII,541850,541921,tE(UUC)G3,5925,+,0,541657,-193
chrII,135510,135900,2.00719236,chrII,134142,135516,YBL045C,930,-,0,135705,-189
chrII,23755,24061,1.182869418,chrII,24097,24745,YBL102W,865,+,-37,23908,-189
chrI,164160,164589,1.388787132,chrI,160596,164187,YAR009C,90,-,0,164374.5,-187.5
chrXI,457054,457422,1.077636022,chrXI,454351,457054,YKR009C,2799,-,-1,457238,-184
chrVIII,62480,63001,4.527135941,chrVIII,59122,62563,YHL023C,5859,-,0,62740.5,-177.5
chrVIII,133713,134574,3.715886521,chrVIII,134321,134392,tQ(UUG)H,6068,+,0,134143.5,-177.5
chrVI,226484,227087,7.346620441,chrVI,226962,227337,YFR036W,2528,+,0,226785.5,-176.5
chrII,425724,426156,1.286591919,chrII,424989,425766,YBR088C,1077,-,0,425940,-174
chrVI,255051,255395,1.36122465,chrVI,253591,255049,YFR053C,2547,-,-3,255223,-174
chrII,124757,125107,2.088849926,chrII,122752,124759,YBL051C,924,-,0,124932,-173
chrVII,699806,701198,3.238600924,chrVII,700675,700756,tL(GAG)G,6016,+,0,700502,-173
chrIV,520490,521236,4.813557101,chrIV,520515,520692,YDR034C-A,1614,-,0,520863,-171
chrVII,561298,562528,3.321454939,chrVII,561662,561743,tS(AGA)G,6095,-,0,561913,-170
chrVIII,369786,370142,1.554423294,chrVIII,368501,369794,YHR132C,6043,-,0,369964,-170
chrXIII,808020,808954,5.693629167,chrXIII,808246,808317,tQ(CUG)M,6060,-,0,808487,-170
chrV,354599,355340,3.523939321,chrV,355139,355469,YER097W,336,+,0,354969.5,-169.5
chrX,374263,375065,3.07513162,chrX,374424,374495,tD(GUC)J3,5908,-,0,374664,-169
chrXI,307928,308844,7.031726846,chrXI,308144,308217,tV(AAC)K1,6130,-,0,308386,-169
chrXIII,420369,421291,3.78607055,chrXIII,420588,420661,tV(AAC)M2,6134,-,0,420830,-169
chrX,236434,236615,3.565462717,chrX,234319,236356,YJL101C,581,-,-79,236524.5,-168.5
chrIV,1150459,1151759,2.633711928,chrIV,1150842,1150941,tX(XXX)D,6147,-,0,1151109,-168
chrX,414655,415220,3.642836341,chrX,414284,414770,YJL011C,674,-,0,414937.5,-167.5
chrIV,1334051,1334221,7.081543024,chrIV,1332982,1333969,YDR435C,2049,-,-83,1334136,-167
chrXV,638646,638804,1.352857233,chrXV,636938,638558,YOR161C,3251,-,-89,638725,-167
chrIII,298495,299045,1.285400281,chrIII,297048,298605,YCR098C,3680,-,0,298770,-165
chrX,617254,618256,3.346788679,chrX,617919,618019,tL(UAG)J,6024,+,0,617755,-164
chrVII,793133,793300,2.731547902,chrVII,790458,793053,YGR150C,4125,-,-81,793216.5,-163.5
chrX,540916,541773,3.079190722,chrX,541508,541579,tD(GUC)J4,5909,+,0,541344.5,-163.5
chrXVI,56012,56862,2.491105906,chrXVI,56169,56274,tW(CCA)P,6146,-,0,56437,-163
chrI,165683,166525,3.62093663,chrI,166267,166339,tA(UGC)A,5891,+,0,166104,-163
chrXV,486854,487702,3.789987718,chrXV,487439,487512,tN(GUU)O2,6046,+,0,487278,-161
chrXV,653916,654170,5.630934048,chrXV,652009,653884,YOR171C,3264,-,-33,654043,-159
chrXVI,404131,404351,3.690400504,chrXVI,398479,404083,YPL082C,5520,-,-49,404241,-158
chrIV,416565,417166,1.863394876,chrIV,415112,416708,YDL020C,1555,-,0,416865.5,-157.5
chrIV,1266948,1267162,9.87156969,chrIV,1266365,1266898,YDR397C,2010,-,-51,1267055,-157
chrXIV,173977,174965,1.915023981,chrXIV,172587,174315,YNL251C,4963,-,0,174471,-156
chrXVI,576322,576468,3.681056211,chrXVI,576551,577358,YPR009W,5612,+,-84,576395,-156
chrXVI,859748,860698,5.160463761,chrXVI,860379,860449,tG(GCC)P2,5959,+,0,860223,-156
chrVII,123252,123668,2.127104472,chrVII,122693,123305,YGL200C,3756,-,0,123460,-155
chrXV,772344,772546,2.317006995,chrXV,772600,774127,YOR231W,3328,+,-55,772445,-155
chrXII,641191,641426,3.58703817,chrXII,641463,642057,YLR251W,4629,+,-38,641308.5,-154.5
chrI,182350,183164,3.462739106,chrI,182522,182603,tS(AGA)A,6089,-,0,182757,-154
chrXIII,586431,587293,3.351104797,chrXIII,586636,586709,tV(AAC)M3,6135,-,0,586862,-153
chrIV,593626,593852,6.802921967,chrIV,593892,596583,YDR074W,1655,+,-41,593739,-153
chrXV,226387,227280,4.831855865,chrXV,226611,226681,tG(GCC)O1,5956,-,0,226833.5,-152.5
chrXVI,818968,819787,4.075807296,chrXVI,819529,819602,tI(AAU)P1,5981,+,0,819377.5,-151.5
chrV,27268,27742,1.930255039,chrV,27656,29543,YEL065W,135,+,0,27505,-151
chrXII,874753,875697,2.624803296,chrXII,875376,875471,tK(UUU)L,6003,+,0,875225,-151
chrIII,142137,143251,2.976476635,chrIII,142364,142546,snR33,6168,-,0,142694,-148
chrXIV,374644,375034,2.113886996,chrXIV,374170,374692,YNL133C,5085,-,0,374839,-147
chrXII,488868,489536,5.327314311,chrXII,489349,489469,RDN5-6,6226,+,0,489202,-147
chrIX,247578,249834,3.022883467,chrIX,248850,248931,tS(UGA)I,6105,+,0,248706,-144
chrVI,161662,162506,3.831663487,chrVI,162228,162298,tG(GCC)F1,5949,+,0,162084,-144
chrX,523846,524625,4.01843161,chrX,524012,524093,tS(AGA)J,6097,-,0,524235.5,-142.5
chrVII,422577,423323,3.65490078,chrVII,423092,423205,tL(CAA)G2,6010,+,0,422950,-142
