chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIV,167182,167826,8.925748632,chrIV,164986,167254,YDL164C,1401,-,0,167504,-250
chrIV,768907,769593,3.597784317,chrIV,768511,769000,YDR155C,1740,-,0,769250,-250
chrXVI,299368,300138,3.155910633,chrXVI,298570,299503,YPL134C,5466,-,0,299753,-250
chrVII,510928,511575,7.074755323,chrVII,509046,511002,YGR009C,3972,-,0,511251.5,-249.5
chrXVI,492962,493611,1.387240877,chrXVI,492017,493037,YPL031C,5572,-,0,493286.5,-249.5
chrIII,199927,200456,5.539552946,chrIII,200441,200969,YCR040W,3622,+,0,200191.5,-249.5
chrXII,874662,875420,4.614479332,chrXII,873745,874792,YLR377C,4769,-,0,875041,-249
chrI,92393,92644,13.67941917,chrI,87854,92270,YAL029C,53,-,-124,92518.5,-248.5
chrVIII,170322,170863,2.255934909,chrVIII,168889,170344,YHR030C,5923,-,0,170592.5,-248.5
chrVI,247994,248553,6.782726929,chrVI,248522,248894,YFR049W,2542,+,0,248273.5,-248.5
chrXII,503961,504723,4.273150744,chrXII,504590,505829,YLR174W,4549,+,0,504342,-248
chrII,504316,504895,5.768294719,chrII,504853,505306,YBR135W,1131,+,0,504605.5,-247.5
chrXIII,379007,379668,3.638039766,chrXIII,379585,380200,YMR052W,6359,+,0,379337.5,-247.5
chrV,84567,87017,4.315197535,chrV,85044,85545,YEL035C,168,-,0,85792,-247
chrXIV,622349,623001,13.83174958,chrXIV,621312,622428,YNL005C,5221,-,0,622675,-247
chrXV,709443,710465,3.785564998,chrXV,710201,710272,tM(CAU)O1,6035,+,0,709954,-247
chrIII,61079,61742,7.394361298,chrIII,61657,62722,YCL034W,3543,+,0,61410.5,-246.5
chrV,377643,378077,5.308568354,chrV,375214,377614,YER109C,348,-,-30,377860,-246
chrXII,1041351,1041873,42.54811886,chrXII,1039269,1041366,YLR452C,4851,-,0,1041612,-246
chrVIII,488104,488716,1.860985688,chrVIII,488656,490396,YHR194W,6115,+,0,488410,-246
chrVII,908696,909237,3.929007934,chrVII,909212,910085,YGR205W,4188,+,0,908966.5,-245.5
chrXIII,453404,454133,8.093872214,chrXIII,454014,455556,YMR093W,6403,+,0,453768.5,-245.5
chrII,490369,490905,7.631006108,chrII,488904,490392,YBR126C,1119,-,0,490637,-245
chrVII,756382,756918,4.495548561,chrVII,756895,757447,YGR133W,4107,+,0,756650,-245
chrIX,414672,415175,2.806127924,chrIX,413014,414679,YIR031C,2396,-,0,414923.5,-244.5
chrIV,817394,818016,5.022229053,chrIV,817949,818495,YDR178W,1765,+,0,817705,-244
chrI,168886,169375,4.069330134,chrI,169374,170295,YAR015W,93,+,0,169130.5,-243.5
chrVII,732568,733772,1.628156003,chrVII,731448,732927,YGR121C,4093,-,0,733170,-243
chrXVI,860894,861230,10.26152776,chrXVI,861305,864014,YPR160W,5776,+,-76,861062,-243
chrIX,270807,271028,9.502921413,chrIX,271160,272777,YIL045W,2307,+,-133,270917.5,-242.5
chrXV,767902,768136,3.613815693,chrXV,766868,767777,YOR228C,3325,-,-126,768019,-242
chrII,107388,107991,3.117985528,chrII,107931,109995,YBL060W,914,+,0,107689.5,-241.5
chrIV,1116581,1117186,1.655348578,chrIV,1117125,1120233,YDR325W,1930,+,0,1116883.5,-241.5
chrXII,166049,166540,7.487896996,chrXII,166536,167136,YLR009W,4363,+,0,166294.5,-241.5
chrXIV,57560,58265,3.191263781,chrXIV,58154,58808,YNL306W,4905,+,0,57912.5,-241.5
chrXV,427193,427737,5.187054386,chrXV,426771,427224,YOR052C,3137,-,0,427465,-241
chrVII,732568,733772,1.628156003,chrVII,733411,733627,YGR121W-A,4094,+,0,733170,-241
