chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIX,96217,97507,122,chrIX,97111,97246,snR68,5846,+,0,96862,-249
chrIV,746180,746801,76,chrIV,746737,748357,YDR145W,1730,+,0,746490.5,-246.5
chrIV,1168642,1169222,100,chrIV,1169177,1170143,YDR347W,1952,+,0,1168932,-245
chrXVI,899553,900345,476,chrXVI,900193,900454,YPR182W,5803,+,0,899949,-244
chrVII,481630,484407,191,chrVII,483259,483637,YGL007W,3956,+,0,483018.5,-240.5
chrIII,279774,280344,51,chrIII,276763,279820,YCR092C,3672,-,0,280059,-239
chrIV,77936,78473,54,chrIV,77288,77966,YDL213C,1351,-,0,78204.5,-238.5
chrXII,794857,795659,321,chrXII,794937,795024,snR57,5835,-,0,795258,-234
chrIV,764989,765787,77,chrIV,764177,765155,YDR151C,1736,-,0,765388,-233
chrX,598151,598851,268,chrX,598734,603078,YJR092W,777,+,0,598501,-233
chrXV,882263,882799,428,chrXV,882764,882842,YOR302W,3401,+,0,882531,-233
chrXVI,638906,639596,461,chrXVI,637378,639019,YPR033C,5638,-,0,639251,-232
chrIII,16856,17359,40,chrIII,15797,16880,YCL064C,3513,-,0,17107.5,-227.5
chrX,651112,652235,270,chrX,651900,652578,YJR123W,810,+,0,651673.5,-226.5
chrXIII,170924,171809,341,chrXIII,171593,172901,YML051W,6245,+,0,171366.5,-226.5
chrXV,949102,949568,431,chrXV,946232,949109,YOR335C,3438,-,0,949335,-226
chrXV,841959,842855,423,chrXV,841958,842182,snR31,6166,-,0,842407,-225
chrXI,34041,34596,274,chrXI,34542,36414,YKL212W,2565,+,0,34318.5,-223.5
chrXII,259385,259863,297,chrXII,257991,259401,YLR058C,4413,-,0,259624,-223
chrII,126444,126765,16,chrII,126827,127244,YBL049W,926,+,-63,126604.5,-222.5
chrXII,260424,261087,298,chrXII,260978,262766,YLR060W,4415,+,0,260755.5,-222.5
chrXVI,128188,128431,444,chrXVI,126633,128088,YPL224C,5371,-,-101,128309.5,-221.5
chrIV,77936,78473,54,chrIV,78425,79058,YDL212W,1352,+,0,78204.5,-220.5
chrIX,325659,326104,132,chrIX,326102,327995,YIL014W,2343,+,0,325881.5,-220.5
chrIX,353493,353949,134,chrIX,353939,355481,YIL001W,2358,+,0,353721,-218
chrXI,140686,141130,276,chrXI,137931,140691,YKL165C,2612,-,0,140908,-217
chrIV,1269543,1270157,106,chrIV,1270067,1270733,YDR399W,2012,+,0,1269850,-217
chrXIII,330221,330669,351,chrXIII,328659,330231,YMR029C,6333,-,0,330445,-214
chrVI,248094,248525,167,chrVI,248522,248894,YFR049W,2542,+,0,248309.5,-212.5
chrVIII,187456,187965,232,chrVIII,187923,189024,YHR040W,5936,+,0,187710.5,-212.5
chrXI,34041,34596,274,chrXI,31959,34107,YKL213C,2564,-,0,34318.5,-211.5
chrXIV,715431,716389,396,chrXIV,716120,716284,snR49,6211,+,0,715910,-210
chrIV,1352656,1352941,110,chrIV,1352181,1352589,YDR445C,2059,-,-68,1352798.5,-209.5
chrXII,260424,261087,298,chrXII,259737,260547,YLR059C,4414,-,0,260755.5,-208.5
chrXVI,731408,732502,468,chrXVI,731223,731748,YPR102C,5708,-,0,731955,-207
chrXVI,444077,444665,456,chrXVI,444578,445031,YPL059W,5543,+,0,444371,-207
chrV,156278,156916,146,chrV,156802,157498,YER002W,213,+,0,156597,-205
chrVIII,388682,389179,241,chrVIII,387787,388726,YHR144C,6059,-,0,388930.5,-204.5
