chr,start,end,time,chrGene,startGene,endGene,gene,overlap,strand,dist,peakCenter,distTSStoPeakCenter
chrIV,442433,443123,270,chrIV,443028,443511,YDL004W,1572,+,0,442778,-250
chrXII,672545,673215,1272,chrXII,673130,673334,YLR264W,4644,+,0,672880,-250
chrV,509839,510409,624,chrV,510372,512106,YER165W,415,+,0,510124,-248
chrXVI,132610,132980,1805,chrXVI,133042,135424,YPL221W,5375,+,-63,132795,-247
chrXV,733447,733959,1725,chrXV,730007,733457,YOR207C,3304,-,0,733703,-246
chrXIII,431088,431593,1414,chrXIII,430078,431095,YMR081C,6390,-,0,431340.5,-245.5
chrXVI,455406,455620,1865,chrXVI,455758,456664,YPL054W,5548,+,-139,455513,-245
chrXVI,718449,719651,1901,chrXVI,718700,718806,snR51,5829,-,0,719050,-244
chrIV,369447,369605,257,chrIV,369770,370706,YDL047W,1526,+,-166,369526,-244
chrXVI,685381,685925,1898,chrXVI,685897,687598,YPR070W,5676,+,0,685653,-244
chrVII,953461,953985,826,chrVII,952547,953480,YGR231C,4214,-,0,953723,-243
chrVIII,315963,316459,892,chrVIII,314873,315968,YHR101C,6011,-,0,316211,-243
chrIII,172450,172881,173,chrIII,170885,172424,YCR028C,3609,-,-27,172665.5,-241.5
chrV,39581,39975,514,chrV,36534,39537,YEL061C,139,-,-45,39778,-241
chrVII,667687,668207,772,chrVII,668188,669907,YGR092W,4062,+,0,667947,-241
chrXI,434951,435283,1120,chrXI,433092,434877,YKL005C,2786,-,-75,435117,-240
chrXII,130752,130954,1177,chrXII,129329,130613,YLL010C,4344,-,-140,130853,-240
chrVII,800131,800482,788,chrVII,800545,801823,YGR156W,4131,+,-64,800306.5,-238.5
chrXIII,46488,46917,1346,chrXIII,46941,49704,YML111W,6177,+,-25,46702.5,-238.5
chrX,380943,381534,988,chrX,380248,381001,YJL035C,651,-,0,381238.5,-237.5
chrXIII,275635,275978,1386,chrXIII,276044,277211,YMR005W,6307,+,-67,275806.5,-237.5
chrXIII,636983,637540,1444,chrXIII,637499,640604,YMR189W,6511,+,0,637261.5,-237.5
chrXVI,789684,790005,1914,chrXVI,790082,791120,YPR127W,5734,+,-78,789844.5,-237.5
chrXI,70326,70587,1049,chrXI,68231,70220,YKL198C,2577,-,-107,70456.5,-236.5
chrIV,578262,578589,297,chrIV,578662,579112,YDR063W,1644,+,-74,578425.5,-236.5
